b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ACAD-174","Innovators Forum","M","2.0 units, max 4","Lecture","10200D","001","5:00-7:50pm","Monday","30","0","0","Doug Thomas","SKS404"
"ACAD-176","Rapid Visualization","","4.0 units","Lecture","10202D","001","2:00-4:50pm","Tue, Thu","30","0","0","","SKS404"
"","","","","Lecture","10242R","001","5:00-7:50pm","Tue, Thu","30","10","0","","OFFICE"
"ACAD-177","Digital Toolbox for Design","","2.0 units","Lecture","10208D","001","9:00-11:50am","Tuesday","30","0","0","",""
"","","","","Lecture","10243R","001","5:00-7:50pm","Tuesday","30","18","0","",""
"ACAD-181g","Disruptive Innovation","M","4.0 units","Lecture","10207D","001","9:30-11:50am","Mon, Wed","30","0","0","","SKS404"
"ACAD-182","Case Studies in Innovation","","4.0 units","Lecture","10204R","001","5:00-7:20pm","Mon, Wed","30","3","0","",""
"ACAD-187","Digital Toolbox: 3D Design","","2.0 units","Lecture","10212D","001","9:00-11:50am","Thursday","30","0","0","",""
"ACAD-188","Digital Toolbox: Modeling Products I","","2.0 units","Lecture","10241R","508","6:00-7:50pm","Tue, Thu","30","6","0","",""
"ACAD-189","Digital Toolbox: Modeling Products II","","2.0 units","Lecture","10209R","648","6:00-7:50pm","Tue, Thu","30","5","0","",""
"ACAD-203","Statics","P","3.0 units","Lecture","28709R","001","9:30-10:50am","Tue, Thu","48","1","0","Akshay Potnuru","SOSB44"
"","","","","Lecture","28716R","001","11:00-12:20pm","Tue, Thu","45","6","0","Oussama Safadi","ZHS163"
"","","","","Lecture","28717R","001","12:30-1:50pm","Tue, Thu","48","2","0","Bocheng Jin","GFS118"
"ACAD-204","Strength of Materials","P","3.0 units","Lecture","28718R","001","12:30-1:50pm","Tue, Thu","35","8","0","Cynthia Bir","VHE210"
"","","","","Lecture","28719R","001","2:00-3:20pm","Mon, Wed","34","14","0","Oussama Safadi","ZHS163"
"ACAD-206","Communication and Culture","","4.0 units","Lecture","20388R","001","12:00-1:50pm","Mon, Wed","125","32","0","Taj Frazier","ASC G26"
"","","","","Discussion","20389R","001","10:00-10:50am","Tuesday","25","7","0","","ANN L115"
"","","","","Discussion","20390R","001","11:00-11:50am","Tuesday","25","9","0","","ANN L115"
"","","","","Discussion","20391R","001","11:00-11:50am","Tuesday","25","0","0","","ANN L116"
"","","","","Discussion","20392R","001","12:00-12:50pm","Tuesday","25","5","0","","ANN L116"
"","","","","Discussion","20393R","001","1:00-1:50pm","Tuesday","25","11","0","","ANN L116"
"ACAD-207","Multimedia for Designers and Entrepreneurs I","P","4.0 units","Lecture","10234D","001","12:00-2:50pm","Mon, Wed","30","5","0","Larry Jordan","SKS404"
"ACAD-230","3D Design: Materials and Tools","P","4.0 units","Lecture","33446R","001","9:00-11:40am","Tue, Thu","20","8","0","","HAR112D"
"ACAD-240","Materials: Denim to Nanotubes","","4.0 units","Lecture","10235D","001","10:00-11:50am","Mon, Wed","30","5","0","Michael Crowley","SKS404"
"ACAD-245","Product Design I","P","4.0 units","Lecture","10232R","001","6:00-8:50pm","Tue, Thu","30","5","0","Grant Delgatty","SKS404"
"ACAD-250","Database Systems for Analytics","M","2.0 units","Lecture-Lab","31827R","001","3:30-6:50pm","Tuesday","57","18","0","Calvin Nguyen","GFS118"
"","","","","Lecture-Lab","31830R","001","2:00-3:50pm","Mon, Wed","60","31","0","Nitin Kal\xc3\x83\xc2\xa9","KAP160"
"","","","","Lecture-Lab","32068R","001","5:00-8:20pm","Monday","57","28","0","Nazam Nageer","GFS101"
"","","","","Lecture-Lab","32081R","001","5:00-8:20pm","Wednesday","65","7","0","Eric Coe","LVL17"
"ACAD-275","Dev I","","4.0 units","Lecture","10205R","001","5:00-7:50pm","Mon, Wed","30","11","0","",""
"ACAD-276","Dev II","P","4.0 units","Lecture","10210R","001","2:00-4:50pm","Tue, Thu","30","8","0","Patrick Dent","VPDLL101"
"ACAD-301","Dynamics","P","3.0 units","Lecture","28725R","001","8:00-8:50am","MWF","60","12","0","Geoffrey Shiflett","GFS116"
