b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ACCT-369","Analytical Tools for Accountants","MC","1.0 unit","Lecture","14187D","001","2:00-2:50pm","Tuesday","36","23","0","Julie Suh","BRI5"
"ACCT-370","External Financial Reporting Issues","P","4.0 units","Lecture","14025D","001","8:00-9:50am","Mon, Wed","35","2","0","Smrity Randhawa","ACC236"
"","","","","Lecture","14026D","001","10:00-11:50am","Mon, Wed","35","33","0","Smrity Randhawa","ACC236"
"","","","","Lecture","14027D","001","12:00-1:50pm","Mon, Wed","35","30","0","Smrity Randhawa","ACC236"
"","","","","Lab","14029D","001","10:00-11:50am","Friday","107","59","0","Smrity Randhawa","HOH EDI"
"ACCT-371","Introduction to Accounting Systems","P","4.0 units","Lecture","14040D","001","10:00-11:50am","Tue, Thu","35","27","0","Bob Kiddoo","ACC236"
"","","","","Lecture","14041D","001","12:00-1:50pm","Tue, Thu","35","25","0","Bob Kiddoo","ACC236"
"","","","","Lecture","14042D","001","2:00-3:50pm","Tue, Thu","37","14","0","Bob Kiddoo","ACC236"
"","","","","Discussion","14044D","001","TBA","Friday","110","66","0","","TBA"
"ACCT-372","Internal Reporting Issues","P","2.0 units","Lecture","14050R","442","12:00-1:50pm","Tue, Thu","45","45","0","Cecil Jackson","ACC303"
"","","","","Lecture","14051R","442","2:00-3:50pm","Mon, Wed","45","27","0","Cecil Jackson","JFF236"
"","","","","Lecture","14052R","442","2:00-3:50pm","Tue, Thu","45","35","0","Cecil Jackson","ACC303"
"ACCT-373","Introduction to Auditing and Assurance Services","P","2.0 units","Lecture","14055R","431","8:00-9:50am","Mon, Wed","43","9","0","Rose Layton","ACC303"
"","","","","Lecture","14056R","431","10:00-11:50am","Mon, Wed","46","46","0","Rose Layton","ACC303"
"","","","","Lecture","14057R","431","12:00-1:50pm","Mon, Wed","44","44","0","Rose Layton","ACC303"
"","","","","Discussion","14058R","431","10:00-11:50am","Friday","100","99","0","Rose Layton","JFF LL125"
"ACCT-374","Introduction to Tax Issues","P","2.0 units","Lecture","14060R","431","12:00-1:50pm","Tue, Thu","46","46","0","Charles Swenson","ACC303"
"","","","","Lecture","14061R","431","2:00-3:50pm","Mon, Wed","40","25","0","Charles Swenson","JFF236"
"","","","","Lecture","14062R","431","2:00-3:50pm","Tue, Thu","46","35","0","Charles Swenson","ACC303"
"ACCT-377","Valuation for Financial Statement Purposes","P","2.0 units","Lecture","14065R","442","8:00-9:50am","Mon, Wed","43","10","0","Tom Ryan","ACC303"
"","","","","Lecture","14066R","442","10:00-11:50am","Mon, Wed","45","44","0","Tom Ryan","ACC303"
"","","","","Lecture","14067R","442","12:00-1:50pm","Mon, Wed","45","45","0","Tom Ryan","ACC303"
"ACCT-380x","Introduction to Enterprise Risk Management","","4.0 units","Lecture","14010R","001","10:00-11:50am","Tue, Thu","36","28","0","Kristen Jaconi","ACC205"
"ACCT-385x","Introduction to Risk Management and Insurance","","4.0 units","Lecture","14012R","001","6:00-9:30pm","Tuesday","36","26","0","Ward Ching","ACC236"
"ACCT-387x","Risk Management in Entertainment, Sports and the Arts","","4.0 units","Lecture","14013R","001","4:00-5:50pm","Tue, Thu","39","9","0","Kristen Jaconi","ACC236"
"ACCT-410x","Foundations of Accounting","","4.0 units","Lecture","14090R","001","8:00-9:50am","Mon, Wed","46","7","0","Zivia Wilson Sweeney","JFF236"
"","","","","Lecture","14091R","001","10:00-11:50am","Mon, Wed","46","14","0","Zivia Wilson Sweeney","JFF236"
"","","","","Lecture","14093R","001","12:00-1:50pm","Mon, Wed","46","27","0","Zivia Wilson Sweeney","JFF236"
"","","","","Lecture","14094R","001","2:00-3:50pm","Tue, Thu","47","47","0","Maria Ogneva","ACC201"
"","","","","Lecture","14095R","001","2:00-3:50pm","Tue, Thu","36","36","0","Chrislynn Freed","ACC205"
"","","","","Lecture","14096R","001","4:00-5:50pm","Tue, Thu","47","47","0","Maria Ogneva","ACC201"
"","","","","Lecture","14097R","001","6:00-7:50pm","Tue, Thu","46","46","0","Maria Ogneva","ACC201"
"ACCT-415x","Intermediate Financial Accounting for Non-Accounting Majors","PM","4.0 units","Lecture","14102R","001","10:00-11:50am","Tue, Thu","39","15","0","","ACC303"
"ACCT-416","Financial Reporting and Analysis","P","2.0 units","Lecture","14105R","431","10:00-11:50am","Mon, Wed","45","44","0","Patricia Dechow","ACC201"
"","","","","Lecture","14106R","431","12:00-1:50pm","Mon, Wed","45","27","0","Patricia Dechow","ACC201"
"ACCT-430","Accounting Ethics","P","4.0 units","Lecture","14144R","001","8:00-9:50am","Mon, Wed","48","27","0","Gregory Kling","ACC201"
"","","","","Lecture","14145R","001","12:00-1:50pm","Mon, Wed","48","48","0","Gregory Kling","JFF239"
"","","","","Discussion","14147R","001","12:30-1:50pm","Friday","100","75","0","Gregory Kling","JFF LL125"
"ACCT-462","Detecting Fraudulent Financial Reporting","P","2.0 units","Lecture","14183R","431","10:00-11:50am","Mon, Wed","36","32","0","Cecil Jackson","BRI5"
"","","","","Lecture","14184R","431","2:00-3:50pm","Mon, Wed","36","20","0","Cecil Jackson","BRI5"
"ACCT-470","Advanced External Financial Reporting Issues","P","4.0 units","Lecture","14120R","001","2:00-3:50pm","Mon, Wed","39","39","0","","ACC236"
"","","","","Lecture","14121R","001","4:00-5:50pm","Mon, Wed","39","39","0","","ACC236"
"ACCT-473","Financial Statement Auditing","P","2.0 units","Lecture","14135R","442","10:00-11:50am","Mon, Wed","42","42","0","Rose Layton","BRI5"
"","","","","Lecture","14136R","442","12:00-1:50pm","Mon, Wed","42","23","0","Rose Layton","BRI5"
"","","","","Discussion","14137R","442","10:00-11:50am","Friday","90","65","0","Rose Layton","JFF LL125"
"ACCT-474","Tax Issues for Business","P","2.0 units","Lecture","14140R","442","10:00-11:50am","Mon, Wed","36","24","0","Shiing-Wu Wang","ACC201"
"","","","","Lecture","14141R","442","12:00-1:50pm","Mon, Wed","36","14","0","Shiing-Wu Wang","ACC201"
"","","","","Lab","14142R","442","10:00-11:50am","Friday","66","37","0","","ACC205"
"ACCT-490x","Directed Research","","1.0-8.0 units, max 12","Lecture","14180D","001","TBA","TBA","10","0","0","","OFFICE"
