b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AEST-100a","Aerospace Studies I (Air Force Mission and Organization)","","1.0 unit","Lecture","41710R","001","9:00-9:50am","Friday","24","2","0","","VKC152"
"AEST-110a","Leadership Laboratory I","","1.0 unit","Lecture-Lab","41715R","001","7:00-8:50am","Friday","40","0","0","","WPH B27"
"AEST-200a","Aerospace Studies II (Air Force History)","","1.0 unit","Lecture","41720R","001","10:00-10:50am","Friday","24","12","0","","VKC203"
"AEST-210a","Leadership Laboratory II","","1.0 unit","Lecture-Lab","41725R","001","7:00-8:50am","Friday","30","12","0","","WPH B27"
"AEST-300a","Aerospace Studies III (Air Force Management and Leadership)","","3.0 units","Lecture","41730R","001","9:00-11:50am","Friday","20","2","0","","VKC201"
"AEST-310a","Leadership Laboratory III","","1.0 unit","Lecture-Lab","41735R","001","7:00-8:50am","Friday","30","2","0","","WPH B27"
"AEST-400a","Aerospace Studies IV (National Security Forces in Contemporary American Society)","","3.0 units","Lecture","41740R","001","9:00-11:50am","Friday","22","3","0","","VKC260"
"AEST-410a","Leadership Laboratory IV","","1.0 unit","Lecture-Lab","41745R","001","7:00-8:50am","Friday","30","3","0","","WPH B27"
"AEST-420a","Leadership Laboratory V","","1.0 unit","Lecture-Lab","41751R","001","7:00-8:50am","Friday","10","0","0","","WPH B27"
'
