b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ALI-224","Academic and Professional Speaking Skills I","","2.0 units","Lecture","10101R","001","2:00-3:20pm","Mon, Wed","12","0","0","","VKC103"
"","","","","Lecture","10102R","001","2:00-3:20pm","Tue, Thu","8","0","0","","THH205"
"","","","","Lecture","10103R","001","2:00-3:20pm","Tue, Thu","8","0","0","","SOS B45"
"ALI-225","Academic and Professional Writing Skills I","","2.0 units","Lecture","10105R","001","11:00-12:20pm","Tue, Thu","12","0","0","","VKC153"
"ALI-234","Academic and Professional Speaking Skills II","","2.0 units","Lecture","10111R","001","9:30-10:50am","Tue, Thu","8","0","0","","VKC153"
"","","","","Lecture","10112R","001","9:30-10:50am","Tue, Thu","8","0","0","","THH107"
"","","","","Lecture","10113R","001","2:00-3:20pm","Tue, Thu","8","0","0","","VKC104"
"","","","","Lecture","10114R","001","2:00-3:20pm","Tue, Thu","8","0","0","","THH117"
"","","","","Lecture","10115R","001","2:00-3:20pm","Mon, Wed","12","0","0","","THH117"
"","","","","Lecture","10116R","001","3:30-4:50pm","Tue, Thu","12","0","0","","LVL3B"
"","","","","Lecture","10117R","001","3:30-4:50pm","Mon, Wed","8","0","0","","THH205"
"","","","","Lecture","10118R","001","3:30-4:50pm","Mon, Wed","8","0","0","","THH117"
"ALI-235","Academic and Professional Writing Skills II","","2.0 units","Lecture","10122R","001","11:00-12:20pm","Tue, Thu","12","0","0","","LVL3B"
"","","","","Lecture","10123R","001","2:00-3:20pm","Tue, Thu","12","0","0","","VKC208"
"","","","","Lecture","10125R","001","12:30-1:50pm","Tue, Thu","12","1","0","","SOS B45"
"","","","","Lecture","10126R","001","2:00-3:20pm","Mon, Wed","12","0","0","","SOS B50"
"","","","","Lecture","10128R","001","3:30-4:50pm","Mon, Wed","12","1","0","","LVL3B"
"ALI-242","High Intermediate Pronunciation","","2.0 units","Lecture","10133R","001","9:30-10:50am","Tue, Thu","12","0","0","","THH111"
"","","","","Lecture","10135R","001","12:30-1:50pm","Tue, Thu","12","0","0","","THH105"
"ALI-244","Academic and Professional Speaking Skills III","","2.0 units","Lecture","10137R","001","11:00-12:20pm","Tue, Thu","12","1","0","","THH111"
"","","","","Lecture","10139R","001","2:00-3:20pm","Mon, Wed","12","1","0","","SOSB38"
"ALI-245","Academic and Professional Writing III","","2.0 units","Lecture","10144R","001","8:30-9:50am","Mon, Wed","12","0","0","","SOS B43"
"","","","","Lecture","10145R","001","9:30-10:50am","Tue, Thu","12","0","0","","LVL3B"
"","","","","Lecture","10147R","001","11:00-12:20pm","Tue, Thu","12","0","0","","WPH200"
"","","","","Lecture","10149R","001","5:00-6:20pm","Tue, Thu","12","0","0","","THH207"
"","","","","Lecture","10150R","001","5:00-6:20pm","Mon, Wed","12","0","0","","LVL3B"
"ALI-246","Intermediate Oral Communication for ITAs","","3.0 units","Lecture","10153D","001","10:00-11:50am","Tue, Thu","8","0","0","","WPH400"
"","","","","Lecture","10155D","001","2:00-3:50pm","Tue, Thu","8","0","0","","VKC255"
"","","","","Lecture","10154D","001","12:00-1:50pm","Mon, Wed","8","0","0","","VKC153"
"ALI-252","Advanced Pronunciation","","2.0 units","Lecture","10157D","001","2:00-3:20pm","Mon, Wed","12","0","0","","SOS B43"
"","","","","Lecture","10158R","001","2:00-3:20pm","Tue, Thu","12","0","0","","VKC202"
"ALI-254","Academic and Professional Speaking Skills IV","","2.0 units","Lecture","10161R","001","3:30-4:50pm","Tue, Thu","12","1","0","","SOS B45"
"ALI-255","Academic and Professional Writing Skills IV","","2.0 units","Lecture","10165R","001","2:00-3:20pm","Tue, Thu","12","0","0","","LVL3B"
"","","","","Lecture","10166D","001","12:00-1:50pm","Mon, Wed","12","0","0","","VKC155"
"","","","","Lecture","10167D","001","3:30-4:50pm","Mon, Wed","12","0","0","","SOSB50"
"ALI-270","Advanced Oral Communication for ITAs","","3.0 units","Lecture","10173D","001","10:00-11:50am","Mon, Wed","8","0","0","","VKC153"
"","","","","Lecture","10175D","001","12:00-1:50pm","Mon, Wed","8","0","0","","THH219"
"","","","","Lecture","10176D","001","12:00-1:50pm","Tue, Thu","8","0","0","","WPH400"
"","","","","Lecture","10177D","001","2:00-3:50pm","Tue, Thu","8","0","0","","WPH204"
"","","","","Lecture","10179D","001","4:00-5:50pm","Tue, Thu","8","1","0","","THH117"
"ALI-271","Language Tutorial for International Teaching Assistants","","2.0 units","Lecture","10182D","001","10:00-11:50am","Friday","8","0","0","","VKC153"
"ALI-274","Advanced Academic and Professional Spoken English","","2.0 units","Lecture","10187D","001","12:30-1:50pm","Tue, Thu","8","0","0","","THH107"
"","","","","Lecture","10189D","001","2:00-3:20pm","Tue, Thu","8","0","0","","SOSB38"
"ALI-275","Writing for Publication and Dissertations","","2.0 units","Lecture","10191D","001","2:00-4:50pm","Friday","8","8","0","James Polk","SOS B45"
"","","","","Lecture","10192D","001","4:00-5:20pm","Tue, Thu","8","1","0","Mary Ann Murphy","WPH104"
"","","","","Lecture","10193D","001","3:30-4:50pm","Tue, Thu","8","0","0","James Polk","VKC104"
'
