b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AME-101L","Introduction to Mechanical Engineering and Graphics","","3.0 units","Lecture","28700R","001","8:00-9:20am","Tue, Thu","52","0","0","Paul Ronney","VPD105"
"","","","","Lecture","28701R","001","9:30-10:50am","Tue, Thu","52","0","0","","VPD105"
"","","","","Lab","28702R","001","12:30-1:50pm","Tuesday","35","0","0","Paul Ronney","SAL109"
"","","","","Lab","28703R","001","12:30-1:50pm","Tuesday","35","0","0","Paul Ronney","SAL127"
"","","","","Lab","28704R","001","12:30-1:50pm","Thursday","35","0","0","Paul Ronney","SAL127"
"AME-105","Introduction to Aerospace Engineering","","4.0 units","Lecture","28706R","001","9:30-10:50am","Tue, Thu","35","0","0","Geoffrey Spedding","KAP145"
"","","","","Lab","28707R","001","2:00-4:50pm","Thursday","35","0","0","Geoffrey Spedding","SAL127"
"AME-201","Statics","P","3.0 units","Lecture","28709R","001","9:30-10:50am","Tue, Thu","48","1","0","Akshay Potnuru","SOSB44"
"","","","","Lecture","28716R","001","11:00-12:20pm","Tue, Thu","45","6","0","Oussama Safadi","ZHS163"
"","","","","Lecture","28717R","001","12:30-1:50pm","Tue, Thu","48","2","0","Bocheng Jin","GFS118"
"AME-204","Strength of Materials","P","3.0 units","Lecture","28718R","001","12:30-1:50pm","Tue, Thu","35","8","0","Cynthia Bir","VHE210"
"","","","","Lecture","28719R","001","2:00-3:20pm","Mon, Wed","34","14","0","Oussama Safadi","ZHS163"
"AME-301","Dynamics","P","3.0 units","Lecture","28725R","001","8:00-8:50am","MWF","60","12","0","Geoffrey Shiflett","GFS116"
"","","","","Lecture","28726D","001","9:00-9:50am","MWF","60","55","0","Geoffrey Shiflett","GFS116"
"","","","","Discussion","28727R","001","5:00-5:50pm","Thursday","105","64","0","Geoffrey Shiflett","MHP101"
"AME-302","Dynamic Systems","P","3.0 units","Lecture","28728R","001","2:00-3:20pm","Mon, Wed","36","24","0","Inna Abramova","KAP145"
"","","","","Lecture","28729R","001","10:00-11:50am","Mon, Wed","33","33","0","Inna Abramova","VHE206"
"","","","","Discussion","28731R","001","10:00-11:50am","Friday","69","57","0","Inna Abramova","THH208"
"AME-305","Mechanical Design","P","3.0 units","Lecture","28730R","001","2:00-3:20pm","Tue, Thu","52","52","0","Oussama Safadi","ZHS252"
"AME-308","Computer-Aided Analyses for Aero-Mechanical Design","P","3.0 units","Lecture-Lab","28732R","001","2:00-4:50pm","Monday","34","34","0","Yann Staelens","SAL127"
"","","","","Lecture-Lab","28733R","001","2:00-4:50pm","Tuesday","35","35","0","Yann Staelens","SAL127"
"","","","","Lecture-Lab","28734R","001","9:00-11:50am","Tuesday","30","15","0","Yann Staelens","SAL109"
"AME-309","Dynamics of Fluids","P","4.0 units","Lecture","28736D","001","10:00-11:50am","Tue, Thu","54","54","0","Carlos Pantano-Rubino","KDC240"
"AME-310","Engineering Thermodynamics I","P","3.0 units","Lecture","28738R","001","10:00-11:50am","Mon, Wed","50","7","0","Anita Penkova","THH210"
"","","","","Lecture","28739R","001","12:30-1:50pm","Tue, Thu","50","35","0","Julian Domaradzki","ZHS352"
"","","","","Discussion","28740R","001","5:00-5:50pm","Wednesday","100","42","0","","THH102"
"AME-331","Heat Transfer","P","3.0 units","Lecture","28735D","001","1:00-3:50pm","Friday","27","27","0","Leslie King","KAP166"
"AME-341a","Mechoptronics Laboratory I and II","P","3.0 units","Lecture","28741R","001","8:00-8:50am","MWF","70","70","0","Bocheng Jin,<br />Akshay Potnuru","SGM124"
"","","","","Lecture","28742R","001","8:00-8:50am","MWF","70","36","0","Bocheng Jin,<br />Akshay Potnuru","SGM101"
"","","","","Lab","28743R","001","2:00-4:50pm","Monday","35","10","0","Bocheng Jin,<br />Akshay Potnuru","BHE301"
"","","","","Lab","28745R","001","2:00-4:50pm","Tuesday","35","26","0","Bocheng Jin,<br />Akshay Potnuru","BHE301"
"","","","","Lab","28746R","001","2:00-4:50pm","Wednesday","35","35","0","Bocheng Jin,<br />Akshay Potnuru","BHE301"
"","","","","Lab","28747R","001","2:00-4:50pm","Thursday","35","35","0","Bocheng Jin,<br />Akshay Potnuru","BHE301"
"AME-404","Computational Solutions to Engineering Problems","","3.0 units","Lecture","28754D","001","2:00-3:50pm","Mon, Wed","42","42","0","Takahiro Sakai","GFS118"
"","","","","Lecture","29005D","014","9:30-10:50am","Mon, Wed","10","2","0","Takahiro Sakai","DEN@Viterbi"
"","","","","Lecture","28755D","001","9:30-10:50am","Mon, Wed","44","44","0","Takahiro Sakai","OHE100D"
"AME-408","Computer-Aided Design of Mechanical Systems","P","3.0 units","Lecture","28758R","001","6:30-9:20pm","Tuesday","32","32","0","Babak Boloury-Azad","SAL127"
"","","","","Lecture","28759R","001","6:30-9:20pm","Thursday","32","25","0","Babak Boloury-Azad","SAL127"
"AME-410","Engineering Design Theory and Methodology","C","3.0 units","Lecture","28762R","001","6:30-9:10pm","Wednesday","40","47","0","Yan Jin","GFS101"
"AME-415","Turbine Design and Analysis","M","3.0 units","Lecture","28765D","001","5:00-7:40pm","Thursday","20","19","0","Bogdan Marcu","KAP166"
"AME-430","Thermal Systems Design","P","3.0 units","Lecture","28772R","001","6:40-9:20pm","Monday","30","20","0","Zuhair Ibrahim","KAP140"
"","","","","Lecture","29072D","014","6:40-9:20pm","Monday","10","0","0","Zuhair Ibrahim","DEN@Viterbi"
"AME-441aL","Senior Projects Laboratory","P","3.0 units","Lecture","28774R","001","12:00-1:50pm","Monday","50","50","0","","KDC240"
"","","","","Lecture","28775R","001","12:00-1:50pm","Monday","50","50","0","","GFS106"
"","","","","Lecture","28776R","001","12:00-1:50pm","Monday","50","41","0","","KDC236"
"","","","","Lab","28778R","001","10:00-11:50am","Wednesday","50","50","0","","BHE310"
"","","","","Lab","28779R","001","8:00-9:50am","Tuesday","50","41","0","","BHE310"
"","","","","Lab","28780R","001","12:00-1:50pm","Thursday","50","50","0","","BHE310"
"AME-451","Linear Control Systems I","P","3.0 units","Lecture","28821R","001","5:00-6:20pm","Mon, Wed","54","51","0","Henryk Flashner","OHE122"
"","","","","Discussion","28823R","001","11:00-11:50am","Friday","54","51","0","Henryk Flashner","OHE132"
"","","","","Lecture","29021D","014","5:00-6:20pm","Mon, Wed","30","0","0","Henryk Flashner","DEN@Viterbi"
"","","","","Discussion","29022D","014","11:00-11:50am","Friday","30","0","0","Henryk Flashner","DEN@Viterbi"
"AME-457","Engineering Fluid Dynamics","P","3.0 units","Lecture","28827R","001","6:40-9:20pm","Thursday","30","4","0","Charlie Campbell","OHE100B"
"","","","","Lecture","29027D","014","6:40-9:20pm","Thursday","30","0","0","Charlie Campbell","DEN@Viterbi"
"AME-459","Flight Mechanics","C","3.0 units","Lecture","28829R","001","2:00-4:50pm","Friday","30","8","0","Kamal Shweyk","KAP140"
"AME-461","Formation Data Sensing with Well Logs","","4.0 units","Lecture","32204D","001","9:00-10:50am","Tue, Thu","56","0","0","Birendra Jha","OHE100D"
"","","","","Lecture","32206D","014","9:00-10:50am","Tue, Thu","25","0","0","Birendra Jha","DEN@Viterbi"
"AME-463L","Introduction to Transport Processes in Porous Media","P","4.0 units","Lecture","32208D","001","2:00-3:50pm","Mon, Wed","36","0","0","Kristian Jessen",""
"","","","","Lab","32210R","001","3:30-5:50pm","Monday","12","0","0","","PCE313"
"","","","","Lab","32288R","001","3:30-5:50pm","Tuesday","12","0","0","","PCE313"
"","","","","Lab","32290R","001","3:30-5:50pm","Thursday","12","0","0","","PCE313"
"AME-465L","Drilling Technology and Subsurface Methods","P","3.0 units","Lecture","32212D","001","5:30-8:00pm","Tuesday","30","2","0","","GFS223"
"","","","","Lab","32214R","001","8:10-9:10pm","Tuesday","30","2","0","","PCE313"
