b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AMST-101mgw","Race and Class in Los Angeles","","4.0 units","Lecture","10310R","001","12:30-1:50pm","Tue, Thu","20","20","0","Natalia Molina","THH301"
"","","","","Discussion","10311R","001","12:00-12:50pm","Wednesday","25","4","0","","WPHB26"
"","","","","Discussion","10312R","001","1:00-1:50pm","Thursday","25","0","0","",""
"","","","","Discussion","10313R","001","9:00-9:50am","Wednesday","25","5","0","","THH B10"
"","","","","Discussion","10314R","001","10:00-10:50am","Wednesday","25","9","0","","SOSB48"
"","","","","Discussion","10315R","001","10:00-10:50am","Friday","25","1","0","","WPH107"
"","","","","Discussion","10316R","001","9:00-9:50am","Friday","25","1","0","","WPH107"
"AMST-111g","Sex in America","","4.0 units","Lecture","10319R","001","2:00-3:20pm","Mon, Wed","49","10","0","Nayan Shah","THH114"
"","","","","Discussion","10330R","001","3:30-4:20pm","Monday","25","4","0","","SOSB41"
"","","","","Discussion","10331R","001","3:30-4:20pm","Wednesday","25","6","0","","SOSB41"
"AMST-135mgw","Peoples and Cultures of the Americas","","4.0 units","Lecture","10320R","001","9:30-10:50am","Tue, Thu","20","20","0","Alicia Chavez","SGM101"
"","","","","Discussion","10321R","001","10:00-10:50am","Friday","25","3","0","","VKC210"
"","","","","Discussion","10322R","001","11:00-11:50am","Wednesday","25","2","0","","SOSB48"
"","","","","Discussion","10323R","001","12:00-12:50pm","Thursday","25","4","0","","WPH101"
"","","","","Discussion","10324R","001","1:00-1:50pm","Thursday","25","11","0","","VKC109"
"AMST-200mg","Introduction to American Studies and Ethnicity","","4.0 units","Lecture-Discussion","10347R","001","12:30-1:50pm","Tue, Thu","30","30","0","Alicia Chavez","VKC211"
"AMST-205g","Introduction to American Popular Culture","","4.0 units","Lecture-Discussion","10360R","001","9:30-10:50am","Tue, Thu","30","30","0","Karen Tongson","THH106"
"AMST-206mg","The Politics and Culture of the 1960s","","4.0 units","Lecture","10361R","001","3:00-3:50pm","MWF","30","12","0","Rick Berg","KAP148"
"AMST-220mgw","The Making of Asian America","","4.0 units","Lecture","10371R","001","2:00-3:20pm","Mon, Wed","29","16","0","",""
"AMST-252mgw","Black Social Movements in the U.S.","","4.0 units","Lecture","10381R","001","12:00-1:50pm","Mon, Wed","12","12","0","Francille Wilson","THH202"
"","","","","Discussion","10382R","001","9:00-9:50am","Thursday","25","4","0","","THH110"
"","","","","Discussion","10387R","001","11:00-11:50am","Tuesday","25","8","0","","SOSB48"
"AMST-274mgw","Exploring Ethnicity Through Film","","4.0 units","Lecture","10390R","001","11:00-12:20pm","Tue, Thu","150","13","0","","THH201"
"","","","","Discussion","10391R","001","10:00-10:50am","Wednesday","25","3","0","","SOSB52"
"","","","","Discussion","10392R","001","12:00-12:50pm","Monday","25","3","0","","THHB10"
"","","","","Discussion","10393R","001","11:00-11:50am","Wednesday","26","2","0","","SOSB52"
