b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ANST-505","Clinical Residency in Nurse Anesthesia I","PM","2.0 units","Lecture-Lab","40305D","046","TBA","TBA","16","0","0","","OFFICE"
"ANST-506","Advanced Principles of Nurse Anesthesia Practice","PM","4.0 units","Lecture","40306R","046","8:00-1:00pm","Tuesday","20","0","0","Teresa Norris","CHP233A"
"ANST-507","Clinical Residency in Nurse Anesthesia II","PM","2.0 units","Lecture-Lab","40318R","046","TBA","TBA","16","0","0","","TBA"
"ANST-508","Research: Investigative Inquiry","","3.0 units","Lecture","40308R","046","8:00-11:50am","Monday","36","0","0","Michele Gold,<br />Elizabeth Bamgbose,<br />Charles Griffis","CHP233A"
"ANST-509","Advanced Clinical Residency in Nurse Anesthesia I","PM","2.0 units","Lecture-Lab","40320R","046","TBA","TBA","16","0","0","","TBA"
"ANST-511","Advanced Clinical Residency in Nurse Anesthesia II","PM","2.0 units","Lecture-Lab","40311D","046","TBA","TBA","16","0","0","","TBA"
"ANST-512","Research Integration: Capstone Experience","M","2.0 units","Lecture","40312D","046","TBA","TBA","1","0","0","","OFFICE"
"ANST-513","Advanced Clinical Residency in Nurse Anesthesia III","PM","2.0 units","Lecture-Lab","40319R","046","TBA","TBA","16","0","0","","TBA"
"ANST-590","Directed Research","PM","1.0-12.0 units","Lecture","40315R","046","TBA","TBA","5","0","0","","TBA"
"ANST-591","Special Projects","M","1.0-4.0 units, max 4","Lecture","40316D","046","TBA","TBA","5","0","0","","TBA"
"ANST-603","Anatomy and Advanced Health Assessment","M","4.0 units","Lecture","40324R","046","8:00-12:00pm","Thursday","20","0","0","Michele Gold,<br />Judith Franco,<br />Thomas Mc Neill","CHP233A"
"ANST-604","Healthcare Policy for Advocacy in Health Care","","3.0 units","Lecture","40325R","046","1:00-4:00pm","Tuesday","20","0","0","Michele Gold,<br />Jeffrey Darna","CHP233A"
"ANST-611","Leadership and Collaborative Practice","M","3.0 units","Lecture","40327R","046","8:00-11:50am","Monday","20","0","0","Michele Gold,<br />Jeffrey Darna","TBA"
"ANST-615","Clinical Residency in Nurse Anesthesia II","PM","2.0 units","Lecture-Lab","40330R","046","TBA","TBA","20","0","0","Michele Gold,<br />Teresa Norris,<br />Erica McCall","OFFICE"
"ANST-618","Advanced Clinical Residency in Nurse Anesthesia III","PM","2.0 units","Lecture-Lab","40333D","046","TBA","TBA","20","0","0","Michele Gold,<br />Teresa Norris,<br />Erica McCall","OFFICE"
"ANST-620a","Clinical Synthesis I","PM","1.0 unit","Lecture","40335R","046","12:00-7:00pm","Monday","20","0","0","Michele Gold,<br />Charlotte Garcia","CHP233A"
"ANST-621b","Clinical Synthesis II","PM","1.0 unit","Lecture","40338D","046","11:00-4:00pm","Monday","20","0","0","Jeffrey Darna","CHP233A"
"ANST-694a","Doctoral Capstone Project","PM","1.0 unit","Lecture","40340D","046","TBA","TBA","20","0","0","","OFFICE"
"","","","","Lecture","40340D","046","TBA","TBA","20","0","0","","OFFICE"
"ANST-694b","Doctoral Capstone Project","PMC","1.0 unit","Lecture","40341D","046","TBA","TBA","20","0","0","","OFFICE"
"ANST-694c","Doctoral Capstone Project","PMC","1.0 unit","Lecture","40342D","046","TBA","TBA","20","0","0","Michele Gold","OFFICE"
'
