b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ANTH-140g","Mesoamerican Cosmovision and Culture","","4.0 units","Lecture","10601R","001","2:00-3:20pm","Mon, Wed","100","31","0","Kenneth Seligson","GFS106"
"","","","","Discussion","10602R","001","10:00-10:50am","Monday","25","11","0","","SOSB52"
"","","","","Discussion","10603R","001","11:00-11:50am","Monday","25","9","0","","SOSB48"
"","","","","Discussion","10604R","001","10:00-10:50am","Wednesday","25","6","0","","VKC158"
"","","","","Discussion","10605R","001","11:00-11:50am","Wednesday","25","5","0","","VKC158"
"ANTH-200Lg","The Human Animal","","4.0 units","Lecture","38511R","001","2:00-3:20pm","Mon, Wed","180","22","0","Craig Stanford","SGM123"
"","","","","Lab","38513R","001","8:00-9:50am","Tuesday","20","2","0","","AHF B10"
"","","","","Lab","38515R","001","10:00-11:50am","Monday","20","4","0","","AHF B10"
"","","","","Lab","38516R","001","10:00-11:50am","Wednesday","20","0","0","","AHF B10"
"","","","","Lab","38517R","001","10:00-11:50am","Tuesday","20","2","0","","AHF B10"
"","","","","Lab","38518R","001","12:00-1:50pm","Monday","20","5","0","","AHF B10"
"","","","","Lab","38522R","001","12:00-1:50pm","Wednesday","20","5","0","","AHF B10"
"","","","","Lab","38528R","001","12:00-1:50pm","Tuesday","20","2","0","","AHF B10"
"","","","","Lab","38537R","001","8:00-9:50am","Thursday","20","0","0","","AHF B10"
"","","","","Lab","38538R","001","12:00-1:50pm","Thursday","20","2","0","","AHF B10"
"ANTH-201g","Principles of Human Organization","","4.0 units","Lecture","10610R","001","1:00-1:50pm","MWF","100","7","0","Thomas Ward","SGM101"
"","","","","Discussion","10611R","001","9:00-9:50am","Monday","25","0","0","","SOSB48"
"","","","","Discussion","10612R","001","10:00-10:50am","Monday","25","2","0","","SOSB48"
"","","","","Discussion","10613R","001","9:00-9:50am","Wednesday","25","2","0","","THH B9"
"","","","","Discussion","10614R","001","10:00-10:50am","Wednesday","25","3","0","","THH B9"
"ANTH-202g","Archaeology: Our Human Past","","4.0 units","Lecture","10615R","001","9:30-10:50am","Tue, Thu","50","21","0","Kenneth Seligson","THH114"
"","","","","Discussion","10616R","001","11:00-11:50am","Thursday","25","20","0","",""
"","","","","Discussion","10617R","001","12:00-12:50pm","Thursday","25","1","0","",""
"ANTH-205g","Introduction to Global Studies and Overseas Research","","4.0 units","Lecture-Discussion","10618D","001","5:00-6:20pm","Tue, Thu","25","4","0","","KAP113"
"ANTH-250g","Race and Sexual Politics in Southeast Asia","","4.0 units","Lecture-Discussion","10619R","001","11:00-12:20pm","Tue, Thu","25","19","0","Janet Hoskins","GFS222"
"ANTH-263g","Exploring Culture Through Film","","4.0 units","Lecture","10660R","001","8:30-9:50am","Mon, Wed","100","32","0","","THH202"
"","","","","Discussion","10661R","001","11:00-11:50am","Monday","25","12","0","","VKC158"
"","","","","Discussion","10662R","001","12:00-12:50pm","Monday","25","11","0","","VKC158"
"","","","","Discussion","10663R","001","11:00-11:50am","Wednesday","25","2","0","","THH B9"
"","","","","Discussion","10664R","001","12:00-12:50pm","Wednesday","25","7","0","","THH B9"
"","","","","Lecture","10665R","001","11:00-12:20pm","Tue, Thu","100","30","0","Jennifer Cool","SGM101"
"","","","","Discussion","10666R","001","9:00-9:50am","Tuesday","25","5","0","","WPH206"
"","","","","Discussion","10667R","001","1:00-1:50pm","Tuesday","25","20","0","","VKC109"
"","","","","Discussion","10668R","001","8:00-8:50am","Thursday","25","1","0","","SOSB47"
"","","","","Discussion","10669R","001","2:00-2:50pm","Thursday","25","4","0","",""
"ANTH-300","Evolution, Ecology, and Culture","","4.0 units","Lecture","38529D","001","4:00-6:50pm","Monday","15","8","0","Christopher Boehm","THH106"
"ANTH-306","Primate Social Behavior and Ecology","","4.0 units","Lecture","38531R","001","11:00-12:20pm","Tue, Thu","20","12","0","Caitlin O\'Connell","AHF B10"
"ANTH-308","Origins and Evolution of Human Behavior","","4.0 units","Lecture","38530R","001","2:00-3:20pm","Tue, Thu","45","16","0","","THH116"
"ANTH-314g","The Nature of Maya Civilization","","4.0 units","Lecture","10623R","001","12:30-1:50pm","Tue, Thu","100","41","0","Kenneth Seligson","GFS106"
"","","","","Discussion","10624R","001","8:00-8:50am","Tuesday","25","11","0","","VKC154"
"","","","","Discussion","10625R","001","11:00-11:50am","Tuesday","25","11","0","","WPHB26"
"","","","","Discussion","10626R","001","8:00-8:50am","Thursday","25","6","0","","VKC154"
"","","","","Discussion","10627R","001","11:00-11:50am","Thursday","25","13","0","",""
"ANTH-316mgp","Native Americans in American Public Life","","4.0 units","Lecture","10680R","001","3:30-4:50pm","Tue, Thu","100","25","0","Tok Thompson","THH301"
"","","","","Discussion","10681R","001","9:00-9:50am","Tuesday","25","4","0","","VKC111"
"","","","","Discussion","10682R","001","10:00-10:50am","Tuesday","25","13","0","",""
"","","","","Discussion","10683R","001","9:00-9:50am","Thursday","25","2","0","","SOSB41"
"","","","","Discussion","10684R","001","10:00-10:50am","Thursday","25","6","0","","SOSB41"
"ANTH-338g","Food in Culture and Society","","4.0 units","Lecture","10687D","001","12:30-1:50pm","Tue, Thu","25","0","0","Xochitl Ruiz","VKC107"
"ANTH-370","Sex, Love, and Marriage: An Introduction to Kinship","","4.0 units","Lecture","10732R","001","11:00-12:20pm","Tue, Thu","19","11","0","Erin Moore","GFS221"
"ANTH-372","Interpretation of Myth and Narrative","","4.0 units","Lecture","10632R","001","2:00-3:20pm","Tue, Thu","25","22","0","Tok Thompson","SOSB37"
"ANTH-405","Evolutionary Medicine","P","4.0 units","Lecture","38533R","001","12:30-1:50pm","Tue, Thu","30","20","0","Gioia Polidori","VKC261"
"ANTH-410a","Ethnographic Field Methods and Practicum","P","4.0 units","Lecture","10633D","001","2:00-4:50pm","Tuesday","19","4","0","Dorinne Kondo","KAP164"
"ANTH-415","Global Studies Senior Seminar","","4.0 units","Lecture","10634D","001","2:00-4:50pm","Wednesday","19","4","0","Janet Hoskins","KAP164"
"ANTH-440","History of Anthropological Theory","","4.0 units","Lecture","10635D","001","2:00-4:50pm","Thursday","19","10","0","","GFS202"
"ANTH-441w","Cities of the Middle East","","4.0 units","Lecture","41501R","001","2:00-3:20pm","Mon, Wed","19","8","0","Sara Hughes","THH209"
"ANTH-445","African American Anthropology","","4.0 units","Lecture","10637R","001","2:00-4:50pm","Tuesday","19","5","0","Lanita Jacobs","VKC207"
"ANTH-460","Economic Anthropology","","4.0 units","Lecture","10704D","001","11:00-12:20pm","Tue, Thu","25","0","0","Sayd Randle","OFFICE"
"ANTH-474","Posthuman Anthropology","C","4.0 units","Lecture","10638R","001","5:00-6:20pm","Tue, Thu","19","3","0","","KAP147"
"ANTH-476","Ethnographic Film Theory from an Historical Perspective","","4.0 units","Lecture","10642D","001","TBA","TBA","10","3","0","","OFFICE"
"ANTH-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","10640D","001","TBA","TBA","10","0","0","","OFFICE"
"ANTH-491","Directed Research for Honors","P","4.0 units","Lecture","10641D","001","TBA","TBA","10","0","0","","OFFICE"
"ANTH-562","The Practice of Ethnography","","4.0 units","Lecture","10643R","001","4:00-6:50pm","Tuesday","11","8","0","","SOSB43"
"ANTH-575","Seminar in Ethnographic Film","","4.0 units","Lecture","10645R","001","4:00-6:50pm","Monday","25","1","0","Emily Zeamer","KAP113"
"ANTH-576L","Anthropological Media Seminar","","4.0 units, max 8","Lecture","10647R","001","4:00-6:50pm","Wednesday","25","0","0","","KAP113"
"","","","","Lab","10648R","001","TBA","TBA","25","0","0","","OFFICE"
"ANTH-590","Directed Research","","1.0-12.0 units","Lecture","10651D","001","TBA","TBA","10","0","0","","OFFICE"
'
