b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ARCH-102aL","Architectural Design I","","4.0 units","Lecture-Lab","11200D","001","2:00-5:50pm","Mon, Thu","95","0","0","","WAH B10"
"ARCH-105L","Fundamentals of Design Communication","","2.0 units","Lecture-Lab","11201D","001","2:00-5:50pm","Tue, Fri","95","0","0","","WAH B10"
"ARCH-106x","Workshop in Architecture","","2.0 units","Lecture","11202R","001","2:00-3:50pm","Tuesday","18","5","0","","WAH B7"
"","","","","Lecture","11239R","001","12:00-1:50pm","Monday","16","10","0","","WAH B7"
"ARCH-114","Architecture: Culture and Community","","2.0 units","Lecture","11203R","001","10:00-11:50am","Friday","135","5","0","","MHP101"
"","","","","Lab","11208R","001","12:00-12:50pm","Friday","71","4","0","","WAH1"
"","","","","Lab","11222R","001","1:00-1:50pm","Friday","70","0","0","","WAH1"
"ARCH-202aL","Architectural Design II","P","6.0 units","Lecture-Lab","11204D","001","2:00-5:50pm","MWF","89","2","0","","HAR205"
"ARCH-203","Visualizing and Experiencing the Built Environment","","4.0 units","Lecture","11230D","001","10:00-1:50pm","Friday","17","2","0","","HAR115A"
"ARCH-205aL","Building Science I","P","4.0 units","Lecture-Lab","11205D","001","1:00-3:50pm","Mon, Wed","15","0","0","","WAH B12"
"ARCH-213ag","Building Structures and Seismic Design","","3.0 units","Lecture","11209D","001","2:00-3:20pm","Tue, Thu","91","2","0","","HAR101"
"","","","","Lab","11210R","001","3:30-4:20pm","Thursday","30","2","0","",""
"","","","","Lab","11211R","001","3:30-4:20pm","Thursday","30","0","0","",""
"","","","","Lab","11213R","001","3:30-4:20pm","Thursday","30","0","0","",""
"ARCH-214bg","World History of Architecture","P","3.0 units","Lecture","11214D","001","4:30-5:50pm","Tue, Thu","100","5","0","","HAR101"
"ARCH-215","Design for the Thermal and Atmospheric Environment","","3.0 units","Lecture","11215D","001","9:30-10:50am","Tue, Thu","105","27","0","","HAR101"
"ARCH-220","The Architect\'s Sketchbook","","2.0 units","Lecture-Lab","11302R","001","9:00-11:50am","Friday","15","10","0","","WAH B1"
"ARCH-302aL","Architectural Design III","P","6.0 units","Lecture-Lab","11218D","001","2:00-5:50pm","MWF","67","22","0","","HAR215"
"ARCH-304x","Intensive Survey: Prehistory to the Present","","4.0 units","Lecture","11219R","001","6:30-8:20pm","Tue, Thu","20","6","0","","HAR102"
"ARCH-305aL","Building Science II","P","4.0 units","Lecture-Lab","11220D","001","4:00-5:50pm","Mon, Wed","7","1","0","","WAH B12"
"ARCH-313","Design of Building Structures","P","3.0 units","Lecture","11224D","001","11:00-12:20pm","Tue, Thu","110","24","0","","HAR101"
"ARCH-314","History of Architecture: Contemporary Issues","P","3.0 units","Lecture","11225D","001","10:00-11:50am","Mon, Wed","90","24","0","","MRF340"
"ARCH-316","Place and Culture","","3.0 units","Lecture","11372D","915","TBA","TBA","18","8","0","","OFFICE"
"","","","","Lecture","11379D","861","TBA","TBA","17","6","0","","OFFICE"
"ARCH-370","Architectural Studies- Expanding the Field","","2.0 units","Lecture","11400R","001","12:00-1:50pm","Friday","30","10","0","","HAR102"
"ARCH-402aL","Architectural Design IV","P","6.0 units","Lecture-Lab","11367D","915","TBA","TBA","17","6","0","","OFFICE"
