b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ENGL-172g","The Art of Poetry","","4.0 units","Lecture","32872R","001","2:00-3:20pm","Mon, Wed","20","20","0","Christopher Freeman","THH201"
"","","","","Discussion","32860R","001","4:00-4:50pm","Monday","26","6","0","","SOSB48"
"","","","","Discussion","32861R","001","5:00-5:50pm","Monday","25","0","0","","SOSB48"
"","","","","Discussion","32853R","001","12:00-12:50pm","Wednesday","28","2","0","","SOSB52"
"","","","","Discussion","32854R","001","1:00-1:50pm","Wednesday","27","5","0","","SOSB52"
"","","","","Discussion","32856R","001","11:00-11:50am","Tuesday","26","3","0","","SOSB52"
"","","","","Discussion","32857R","001","12:00-12:50pm","Tuesday","25","4","0","","SOSB52"
"ENGL-176g","Los Angeles: the City, the Novel, the Movie","","4.0 units","Lecture","32876R","001","10:00-11:50am","Mon, Wed","20","20","0","Thomas Gustafson","THH201"
"","","","","Discussion","32891R","001","1:00-1:50pm","Tuesday","25","5","0","","SOSB37"
"","","","","Discussion","32897R","001","12:00-12:50pm","Tuesday","26","3","0","","WPHB26"
"","","","","Discussion","32890R","001","12:00-12:50pm","Thursday","25","3","0","","SOSB37"
"","","","","Discussion","32892R","001","1:00-1:50pm","Thursday","25","1","0","","SOSB37"
"","","","","Discussion","32895R","001","9:00-9:50am","Friday","26","6","0","","THH B10"
"","","","","Discussion","32896R","001","10:00-10:50am","Friday","25","2","0","","THH B10"
"ENGL-230g","Shakespeare and His Times","","4.0 units","Lecture","32889R","001","12:00-1:50pm","Mon, Wed","90","2","0","Heather James","MRF340"
"","","","","Discussion","32885R","001","10:00-10:50am","Monday","25","0","0","","VKC207"
"","","","","Discussion","32886R","001","11:00-11:50am","Monday","25","1","0","","VKC207"
"","","","","Discussion","32887R","001","10:00-10:50am","Wednesday","25","0","0","","VKC161"
"","","","","Discussion","32888R","001","11:00-11:50am","Wednesday","25","1","0","","VKC157"
"PHIL-256g","Science, Religion, and the Making of the Modern Mind","","4.0 units","Lecture","49455R","001","9:00-9:50am","MWF","10","7","0","Zlatan Damnjanovic","THH210"
"","","","","Discussion","49456R","001","9:00-9:50am","Thursday","25","3","0","","MHP102"
"","","","","Discussion","49457R","001","10:00-10:50am","Thursday","25","4","0","","MHP102"
"PHIL-260gw","Ethical Theory and Practice","","4.0 units","Lecture","49472R","001","11:00-12:20pm","Tue, Thu","150","45","0","Robin Jeshion","MHP101"
"","","","","Lecture-Discussion","49473D","001","11:00-12:20pm","Tue, Thu","15","5","0","Robin Jeshion",""
"","","","","Discussion","49474R","001","9:00-9:50am","Monday","25","4","0","","MHP102"
"","","","","Discussion","49475R","001","10:00-10:50am","Monday","25","5","0","","MHP102"
"","","","","Discussion","49476R","001","9:00-9:50am","Wednesday","25","5","0","","MHP102"
"","","","","Discussion","49477R","001","10:00-10:50am","Wednesday","25","21","0","","MHP102"
"","","","","Discussion","49478R","001","10:00-10:50am","Friday","25","8","0","","VKC205"
"","","","","Discussion","49479R","001","11:00-11:50am","Friday","25","3","0","","VKC259"
"REL-359g","Culture in Diaspora: The Jews of Spain","","4.0 units","Lecture-Discussion","60084R","001","11:00-12:20pm","Tue, Thu","19","19","0","Jessica Marglin","THH215"
"SLL-345g","Literature and Philosophy: Dostoevsky","","4.0 units","Lecture","60234D","001","12:30-1:50pm","Tue, Thu","19","13","0","Greta Matzner-Gore","THH214"
'
