b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ART-105","Art and Design Studio I","","4.0 units","Lecture","33796D","001","9:00-11:40am","Tue, Thu","20","1","0","","WAH108"
"","","","","Lecture","33797D","001","12:00-2:40pm","Tue, Thu","20","0","0","","WAH108"
"ART-106","Art and Design Studio II","","4.0 units","Lecture","33798D","001","9:00-11:40am","Tue, Thu","20","5","0","","WAH118"
"ART-110","Drawing for Art and Design","","4.0 units","Lecture","33844D","001","9:00-11:40am","Tue, Thu","18","2","0","","WAH102A"
"","","","","Lecture","33845R","001","6:00-8:40pm","Tue, Thu","18","3","0","","WAH102A"
"","","","","Lecture","33846D","001","12:00-2:40pm","Tue, Thu","18","7","0","","WAH102A"
"","","","","Lecture","33847R","001","9:00-11:40am","Mon, Wed","18","5","0","","WAH102A"
"ART-120","Painting I","","4.0 units","Lecture","33879R","001","3:00-5:40pm","Mon, Wed","15","10","0","","HAR203"
"","","","","Lecture","33880R","001","3:00-5:40pm","Tue, Thu","15","6","0","","HAR203"
"ART-130","Ceramics I","","4.0 units","Lecture","33361R","001","9:00-11:40am","Tue, Thu","20","5","0","","WAH107"
"","","","","Lecture","33362R","001","12:00-2:40pm","Mon, Wed","20","5","0","","WAH107"
"ART-140","Sculpture I","","4.0 units","Lecture","33889R","001","3:00-5:40pm","Mon, Wed","20","5","0","","WAH108"
"ART-141xg","Creating and Understanding Visuals","","4.0 units","Lecture-Lab","33425R","001","9:00-11:40am","Mon, Wed","35","8","0","","WAH118"
"ART-142","Modeling and Mold Making","","2.0 units","Lecture","33890R","001","12:00-2:40pm","Friday","20","11","0","","WAH108"
"ART-150","Introduction to Photography: Process and Concept","","4.0 units","Lecture","33860R","001","12:00-2:40pm","Mon, Wed","16","9","0","","IFT141"
"","","","","Lecture","33861R","001","3:00-5:40pm","Mon, Wed","16","7","0","","IFT141"
"","","","","Lecture","33862R","001","12:00-2:40pm","Tue, Thu","16","6","0","","IFT141"
"ART-210","Drawing II","P","4.0 units","Lecture","33855R","001","3:00-5:40pm","Tue, Thu","18","4","0","","WAH102A"
