b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ASTE-101L","Introduction to Astronautics","","4.0 units","Lecture","29100R","001","3:30-4:50pm","Mon, Wed","45","2","0","Paul Giuliano","ZHS163"
"","","","","Lab","29101R","001","9:30-11:20am","Tuesday","40","2","0","Paul Giuliano","SAL127"
"ASTE-291","Team Projects I","","1.0 units, max 4"
"","Lunar Lander","","1.0","Lecture","29103D","001","9:00-12:50pm","Wednesday","20","0","0","David Barnhart","OFFICE"
"","Microsatellite Project","","1.0","Lecture","29104D","001","5:00-6:20pm","Tuesday","20","0","0","David Barnhart","OFFICE"
"","Rocket Laboratory","","1.0","Lecture","29105D","001","4:00-5:50pm","Friday","20","0","0","Joseph Wang","OFFICE"
"ASTE-470","Spacecraft Propulsion","C","3.0 units","Lecture","29117R","001","3:30-6:20pm","Friday","60","39","0","Mike Gruntman","OHE136"
"","","","","Lecture","29157D","014","3:30-6:20pm","Friday","60","5","0","Mike Gruntman","DEN@Viterbi"
"ASTE-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","29120D","001","TBA","TBA","20","1","0","David Barnhart","OFFICE"
"ASTE-491","Team Projects II","","1.0 units, max 4"
"","Lunar Lander","","1.0","Lecture","29123R","001","9:00-12:50pm","Wednesday","20","0","0","Joseph Wang,<br />David Barnhart","OFFICE"
"","Microsatellite Project","","1.0","Lecture","29124R","001","5:00-6:20pm","Tuesday","20","0","0","Joseph Wang","OFFICE"
"","Rocket Laboratory","","1.0","Lecture","29125R","001","4:00-5:50pm","Friday","35","8","0","Joseph Wang,<br />David Barnhart","GFS106"
"ASTE-505a","Plasma Dynamics","","3.0 units","Lecture","29158R","048","3:30-6:10pm","Thursday","20","4","0","Joseph Wang",""
"ASTE-520","Spacecraft System Design","","3.0 units","Lecture","29132R","048","6:40-9:20pm","Thursday","60","13","0","Mike Gruntman","OHE100D"
"","","","","Lecture","29162D","034","6:40-9:20pm","Thursday","60","11","0","Mike Gruntman","DEN@Viterbi"
"ASTE-524","Human Spaceflight","","3.0 units","Lecture","29122R","048","6:40-9:20pm","Wednesday","30","13","0","Garrett Reisman","OHE100C"
"","","","","Lecture","29152D","034","6:40-9:20pm","Wednesday","30","4","0","Garrett Reisman","DEN@Viterbi"
"ASTE-527","Space Exploration Architectures Concept Synthesis Studio","C","3.0 units","Lecture","29134R","048","6:40-9:20pm","Tuesday","5","2","0","Madhu Thangavelu","OHE114"
"","","","","Lecture","29164D","034","6:40-9:20pm","Tuesday","5","2","0","Madhu Thangavelu","DEN@Viterbi"
"ASTE-535","Space Environments and Spacecraft Interactions","","3.0 units","Lecture","29135R","048","6:40-9:20pm","Tuesday","35","18","0","William Tobiska","OHE100B"
"","","","","Lecture","29165D","034","6:40-9:20pm","Tuesday","40","4","0","William Tobiska","DEN@Viterbi"
"ASTE-554","Spacecraft Sensors","C","3.0 units","Lecture","29140R","048","6:40-9:20pm","Thursday","20","3","0","Mohamed Abid","RTH105"
