b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BAEP-423","Management of Small Businesses","","4.0 units","Lecture","14372R","001","12:00-1:50pm","Tue, Thu","36","21","0","","JFF417"
"","","","","Lecture","14374R","001","10:00-11:50am","Tue, Thu","36","15","0","","JFF417"
"BAEP-450","Fundamentals of Entrepreneurship","","4.0 units","Lecture","14370R","001","6:00-9:20pm","Wednesday","60","45","0","Christopher Harrer","JFF414"
"","","","","Lecture","14375R","001","2:00-3:50pm","Mon, Wed","60","38","0","","JFF414"
"","","","","Lecture","14388R","001","12:00-1:50pm","Mon, Wed","36","36","0","","JFF417"
"BAEP-451","The Management of New Enterprises","","4.0 units","Lecture","14378R","001","2:00-3:50pm","Tue, Thu","60","24","0","","JFF414"
"","","","","Lecture","14379R","001","12:00-1:50pm","Mon, Wed","60","26","0","","JFF414"
"","","","","Lecture","14380R","001","10:00-11:50am","Tue, Thu","60","17","0","Patrick Henry","JFF414"
"BAEP-452","Feasibility Analysis Feasibility Analysis","P","4.0 units","Lecture","14381R","001","10:00-11:50am","Mon, Wed","48","19","0","Helena Yli-Renko","JFF414"
"","","","","Lecture","14382R","001","6:00-9:20pm","Tuesday","48","30","0","","JFF416"
"BAEP-454","Venture Initiation: Launching and Scaling Your Startup","P","4.0 units","Lecture","14384R","001","2:00-3:50pm","Tue, Thu","36","10","0","Albert Napoli","JFF416"
"BAEP-460","Seminar in Entrepreneurship","","2.0 units, max 4"
"","Philanthropy and Social Impact","","2.0","Lecture","14385R","001","12:00-1:50pm","Tuesday","24","24","0","","JFF416"
"BAEP-465","Digital Playbook for Entrepreneurs: Creating a Tech Startup","","2.0 units","Lecture","14389R","001","2:00-3:50pm","Wednesday","42","48","0","Anthony Borquez","JFF416"
"","","","","Lecture","14394R","001","4:00-5:50pm","Wednesday","42","42","0","Anthony Borquez","JFF416"
"BAEP-474","The Entrepreneur\'s Guide to Intellectual Property","","2.0 units","Lecture","14402R","001","6:00-7:50pm","Monday","48","25","0","Luke Dauchot","JFF416"
"BAEP-475","Entertainment Entrepreneurship","C","2.0 units","Lecture","14395R","001","2:00-3:50pm","Monday","48","37","0","Michael Napoliello","JFF416"
"","","","","Lecture","14396R","001","4:00-5:50pm","Monday","42","33","0","Michael Napoliello","JFF416"
"BAEP-480","Entrepreneurial Family Business","C","4.0 units","Lecture","14390R","001","4:00-5:50pm","Tue, Thu","48","37","0","Albert Napoli","JFF416"
"BAEP-491","Introduction to Social Entrepreneurship","","4.0 units","Lecture","14393R","001","10:00-11:50am","Tue, Thu","48","48","0","Adlai Wertman","JFF416"
"BAEP-495","Practicum in Business Issues (Internship)","","1.0 unit","Lecture","14410D","001","TBA","TBA","5","0","0","","OFFICE"
"BAEP-499","Special Topics","","2.0-4.0 units, max 8"
"","Sales Mindset for Entrepreneurs","","2.0","Lecture","14398R","001","6:00-7:50pm","Monday","36","34","0","Garrett Brown,<br />Colin Coggins","JFF417"
"","Entrepreneurial Imagination: Past, Present and Future","","4.0","Lecture","14399R","001","12:00-1:50pm","Tue, Thu","36","4","0","Christina Lubinski","JFF414"
"BAEP-552","Venture Feasibility","MC","3.0 units","Lecture","14414D","033","6:30-9:30pm","Thursday","60","0","0","Albert Napoli","JKP110"
"","","","","Lecture","14415D","033","12:30-1:50pm","Mon, Wed","40","0","0","Helena Yli-Renko",""
"BAEP-553","Cases in New Venture Management","MC","1.5-3.0 units","Lecture","14416D","033","2:00-3:20pm","Mon, Wed","77","0","0","Steven Mednick","JKP112"
"BAEP-556","Technology Feasibility","MC","3.0 units","Lecture","14418D","033","6:30-9:30pm","Monday","60","0","0","Ivan Nikkhoo","JFF414"
"BAEP-558","The Entrepreneurial Advisor: Problem Solving for Early-Stage Companies","MC","1.5-3.0 units","Lecture","14412D","033","6:30-9:30pm","Wednesday","52","0","0","Jeremy Dann","JKP102"
"BAEP-559","Investing in New Ventures","MC","3.0 units","Lecture","14420D","033","6:30-9:30pm","Tuesday","77","0","0","<a href="https://www.marshall.usc.edu/personnel/scott-lenet">Scott Lenet,</a>Selina Troesch","JKP210"
"BAEP-566","Cases in Feasibility Analysis for Social Ventures","","3.0 units","Lecture","14426D","033","9:00-11:50am","Saturday","60","0","0","Jill Kickul","JKP212"
"BAEP-571","Social Innovation Design","MC","3.0 units","Lecture","14424D","033","6:30-9:30pm","Tuesday","63","0","0","Abby Fifer Mandell","JKP212"
"BAEP-585","Seminar: The Entrepreneurial Mindset","MC","1.5 units","Lecture","14407D","411","3:30-6:20pm","Tuesday","15","0","0","Paul Orfalea","ACC312"
"","","","","Lecture","14408D","415","3:30-6:20pm","Tuesday","15","0","0","Michael West","ACC312"
"BAEP-590","Directed Research","","1.0-12.0 units","Lecture","14409D","033","TBA","TBA","10","0","0","","OFFICE"
"BAEP-593","Independent Research in Business Entrepreneurship","C","0.5-4.0 units, max 12","Lecture","14449D","033","TBA","TBA","10","1","0","Pai-Ling Yin","OFFICE"
"BAEP-595","Internship in Business Entrepreneurship","MC","0.5-2.0 units, max 9","Lecture","14411D","033","TBA","TBA","5","0","0","","OFFICE"
"BAEP-596","Research Practicum in Business Entrepreneurship","C","0.5-2.0 units, max 8","Lecture","14405D","033","TBA","TBA","10","0","0","","OFFICE"
"BAEP-597","Consulting Project in Business Entrepreneurship","C","0.5-5.0 units, max 12","Lecture","14406D","033","TBA","TBA","10","0","0","","OFFICE"
'
