b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BIOC-504","Molecular Biology of Cancer","","4.0 units","Lecture","40657D","046","3:00-4:50pm","Mon, Wed","40","0","0","<a href="http://uscmmi.com/josephlandolphlab/">Joseph Landolph,</a>David Cobrinik",""
"BIOC-511","Foundations for Molecular Medicine","","4.0 units","Lecture","40445D","046","2:00-3:50pm","Tue, Thu","50","0","0","Baruch Frenkel,<br />Judd Rice,<br />Sita Reddy,<br />Ansgar Siemer,<br />Mark Frey,<br />Vijay Kalra,<br />Michael Stallcup,<br />Jian Xu,<br />Bangyan Stiles,<br />Yves Declerck,<br />Lucio Comai","MCH156"
"BIOC-522","Applications of Physical Methods in Biochemistry","","2.0 units","Lecture","40354D","046","2:00-3:50pm","Wednesday","40","0","0","Ralf Langen,<br />Ansgar Siemer","TBA"
"BIOC-531","Cell Biology","","4.0 units","Lecture","40654D","046","9:00-10:50am","Tue, Thu","90","0","0","<a href="http:// http://keck.usc.edu/pibbs/faculty/Axel-Schonthal/">Axel Schonthal,</a>Megan McCain,<br />Ebrahim Zandi,<br />Robert Chow,<br />Amir Goldkorn,<br />Chengyu Liang,<br /><a href="http://keck.usc.edu/pathology/faculty/Florence-M-Hofman/">Florence Hofman,</a>Ralf Langen,<br />Sarah Hamm-Alvarez,<br />Curtis Okamoto,<br />Yves Declerck,<br />Randall Widelitz,<br />Steve Swenson,<br /><a href="http://yinglab.usc.edu">Qilong Ying,</a>Josh Neman-Ebrahim",""
"BIOC-561","Molecular Biology","","4.0 units","Lecture","40664D","046","3:00-4:50pm","Tue, Thu","85","0","0","Woojin An,<br />Roger Duncan,<br />Michael Lieber,<br />Sita Reddy,<br />Judd Rice,<br />Stanley Tahara,<br />Ebrahim Zandi,<br />Oliver Bell","TBA"
"BIOC-573","Optimal Research Presentations","","1.0 units, max 12","Lecture","40361D","046","12:00-12:50pm","Friday","90","0","0","Young-Kwon Hong",""
"BIOC-575","Predictive and Prognostic Biomarkers in Cancer Treatment","","2.0 units","Lecture","40360D","001","10:00-11:50am","Wednesday","20","0","0","Peter Danenberg","MMR122"
"BIOC-581","Toolbox for Biochemistry and Molecular Biology","","4.0 units","Lecture","40425D","046","12:00-3:00pm","Mon, Wed","50","0","0","Pragna Patel","CSC250"
"BIOC-590","Directed Research","","1.0-12.0 units","Lecture","40365D","046","TBA","TBA","30","0","0","Judd Rice","OFFICE"
"BIOC-594a","Master\'s Thesis","C","2.0 units","Lecture","40370D","046","TBA","TBA","25","0","0","Judd Rice","OFFICE"
"BIOC-594b","Master\'s Thesis","PC","2.0 units","Lecture","40375D","046","TBA","TBA","25","0","0","Judd Rice","OFFICE"
"BIOC-594z","Master\'s Thesis","PC","0.0 units","Lecture","40380D","046","TBA","TBA","25","0","0","Judd Rice","OFFICE"
"BIOC-596","Internship for Curricular Practical Training","C","1.0-3.0 units, max 3","Lecture","40366D","046","TBA","TBA","30","0","0","Judd Rice","OFFICE"
"BIOC-790","Research","C","1.0-12.0 units","Lecture","40386D","046","TBA","TBA","95","0","0","Peggy Farnham","OFFICE"
"BIOC-794a","Doctoral Dissertation","C","2.0 units","Lecture","40389D","046","TBA","TBA","20","0","0","Peggy Farnham","OFFICE"
"BIOC-794b","Doctoral Dissertation","PC","2.0 units","Lecture","40395D","046","TBA","TBA","40","0","0","Peggy Farnham","OFFICE"
"BIOC-794c","Doctoral Dissertation","PC","2.0 units","Lecture","40405D","046","TBA","TBA","20","0","0","Peggy Farnham","OFFICE"
"BIOC-794d","Doctoral Dissertation","PC","2.0 units","Lecture","40410D","046","TBA","TBA","20","0","0","Peggy Farnham","OFFICE"
"BIOC-794z","Doctoral Dissertation","PC","0.0 units","Lecture","40415D","046","TBA","TBA","40","0","0","Peggy Farnham","OFFICE"
'
