b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BISC-101Lxg","Cellular and Molecular Biology","","4.0 units","Lecture","13102R","001","3:30-4:50pm","Wed, Fri","60","13","0","Raffaella Ghittoni","ZHS159"
"","","","","Lab","13103R","001","11:00-12:50pm","Tuesday","20","4","0","","ZHS258"
"","","","","Lab","13105R","001","11:00-12:50pm","Friday","20","6","0","","ZHS258"
"","","","","Lab","13117R","001","2:00-3:50pm","Tuesday","20","3","0","","ZHS258"
"BISC-102Lxg","Humans and Their Environment","","4.0 units","Lecture","13000R","001","9:30-10:50am","Tue, Thu","144","9","0","<a href="https://dornsife.usc.edu/cf/bisc/meb-faculty-profile.cfm?Person_ID=1016828">Carly Kenkel,</a><a href="https://dornsife.usc.edu/cf/faculty-and-staff/faculty.cfm?pid=1003407">Dale Kiefer</a>","SAL101"
"","","","","Lab","13101R","001","8:00-9:50am","Wednesday","16","1","0","","ZHS257"
"","","","","Lab","13104R","001","10:00-11:50am","Wednesday","16","2","0","","ZHS257"
"","","","","Lab","13106R","001","2:00-3:50pm","Tuesday","16","2","0","","ZHS257"
"","","","","Lab","13107R","001","12:00-1:50pm","Tuesday","16","0","0","","ZHS257"
"","","","","Lab","13108R","001","12:00-1:50pm","Thursday","16","2","0","","ZHS257"
"","","","","Lab","13109R","001","2:00-3:50pm","Thursday","16","0","0","","ZHS257"
"","","","","Lab","13111R","001","4:00-5:50pm","Tuesday","16","1","0","","ZHS257"
"","","","","Lab","13112R","001","12:00-1:50pm","Wednesday","16","1","0","","ZHS257"
"","","","","Lab","13113R","001","2:00-3:50pm","Wednesday","16","0","0","","ZHS257"
"BISC-104Lxg","How the Body Works","","4.0 units","Lecture","13001R","001","1:00-1:50pm","MWF","120","17","0","Bruce Yazejian","THH102"
"","","","","Lab","13120R","001","10:00-11:50am","Tuesday","20","1","0","","ZHS372"
"","","","","Lab","13121R","001","10:00-11:50am","Wednesday","20","6","0","","ZHS372"
