b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BKN-551","Musculoskeletal and Biomechanical Basis of Movement","","4.0 units","Lecture","12405R","046","4:00-6:00pm","Tuesday","15","0","0","","CHP233A, CHP233A"
"BKN-553","Experimental Methods for the Analysis of Human Movement","","4.0 units","Lecture","12407R","046","10:00-11:50am","Mon, Wed","15","0","0","","CHP233D"
"BKN-559","Readings in Biokinesiology","","1.0-4.0 units, max 8","Lecture","12408R","046","TBA","TBA","15","0","0","","OFFICE"
"BKN-563","Biomechanics","","2.0 units","Lecture","12419R","046","3:00-4:50pm","Thursday","15","0","0","","CHP233D"
"BKN-578","Classic Readings in Biokinesiology","","2.0 units","Lecture","12423R","046","5:00-7:00pm","Monday","12","0","0","","CHP233D"
"BKN-590","Directed Research","","1.0-12.0 units","Lecture","12431D","046","TBA","TBA","15","0","0","","OFFICE"
"BKN-593","Behavioral Basis of Motor Control and Learning","","3.0 units","Lecture","12455R","046","9:00-12:00pm","Tuesday","15","0","0","","CHP221"
"BKN-600","Sports Science Internship","P","2.0-4.0 units","Lecture","12458R","046","TBA","TBA","10","0","0","","OFFICE"
"BKN-672","Advanced Independent Study in Biokinesiology","MC","1.0-4.0 units, max 8","Lecture","12457R","046","TBA","TBA","15","0","0","","OFFICE"
"BKN-790","Research","","1.0-12.0 units","Lecture","12459D","046","TBA","TBA","20","0","0","","OFFICE"
"BKN-794a","Doctoral Dissertation","","2.0 units","Lecture","12461R","046","TBA","TBA","15","0","0","","OFFICE"
"BKN-794b","Doctoral Dissertation","P","2.0 units","Lecture","12463R","046","TBA","TBA","15","1","0","","OFFICE"
"BKN-794c","Doctoral Dissertation","P","2.0 units","Lecture","12465R","046","TBA","TBA","15","0","0","","OFFICE"
"BKN-794d","Doctoral Dissertation","P","2.0 units","Lecture","12467R","046","TBA","TBA","10","0","0","","OFFICE"
"BKN-794z","Doctoral Dissertation","P","0.0 units","Lecture","12469R","046","TBA","TBA","10","0","0","","OFFICE"
'
