b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BME-101","Introduction to Biomedical Engineering","","4.0 units","Lecture","29200D","001","2:00-3:20pm","Mon, Wed","40","1","0","Jesse Yen","RTH105"
"","","","","Lab","29201R","001","1:00-2:50pm","Thursday","20","0","0","","DRB351"
"","","","","Lab","29202R","001","3:00-4:50pm","Thursday","20","1","0","","DRB351"
"BME-202","Control and Communication in the Nervous System","P","4.0 units","Lecture","29209D","001","9:30-10:50am","Tue, Thu","40","40","0","Jennifer Treweek","SOS B46"
"","","","","Discussion","29215R","001","10:00-10:50am","Friday","25","20","0","","KAP158"
"","","","","Discussion","29219R","001","11:00-11:50am","Friday","25","20","0","","KAP158"
"","","","","Lecture","29208D","001","12:30-1:50pm","Tue, Thu","40","24","0","Jennifer Treweek","SGM601"
"","","","","Discussion","29216R","001","1:00-1:50pm","Friday","25","18","0","Jennifer Treweek","GFS108"
"","","","","Discussion","29217R","001","2:00-2:50pm","Friday","25","6","0","Jennifer Treweek","GFS108"
"BME-308","Computer-Aided Design for Bio-Mechanical Systems","","3.0 units","Lecture-Lab","31817R","001","5:00-7:50pm","Thursday","19","19","0","Raymond Kim","KAP267"
"BME-403L","Physiological Systems","P","4.0 units","Lecture","29220D","001","8:00-9:20am","Mon, Wed","40","21","0","Stan Yamashiro","ZHS252"
"","","","","Lab","29221R","001","12:30-1:50pm","Tuesday","20","7","0","","DRB351"
"","","","","Lab","29223R","001","2:00-3:20pm","Wednesday","20","14","0","","DRB351"
"BME-404","Biomechanics","P","3.0 units","Lecture","29225D","001","5:00-6:20pm","Mon, Wed","35","34","0","Edward Ebramzadeh","ZHS163"
"BME-405L","Senior Projects: Measurements and Instrumentation","P","4.0 units","Lecture","29230D","001","11:00-12:20pm","Tue, Thu","41","36","0","Jean-Michel Maarek","GFS207"
"","","","","Lab","29228R","001","2:00-4:50pm","Tuesday","20","20","0","","DRB351"
"","","","","Lab","29235R","001","2:00-4:50pm","Monday","21","16","0","","DRB351"
"BME-406","Introduction to Bioengineering in Medicine","","3.0 units","Lecture","29238R","001","3:30-4:50pm","Mon, Wed","24","15","0","Keyue Shen","KAP165"
"BME-413","Bioengineering Signals and Systems","P","4.0 units","Lecture","29240D","001","12:00-1:50pm","Mon, Wed","80","45","0","Brent Liu","SLH100"
"","","","","Discussion","29242R","001","12:00-12:50pm","Friday","25","36","0","","KAP144"
"","","","","Discussion","29243R","001","1:00-1:50pm","Friday","40","9","0","","KAP144"
"BME-423","Statistical Methods in Biomedical Engineering","P","4.0 units","Lecture","29250D","001","10:00-11:50am","Mon, Wed","35","35","0","David D\'Argenio","VKC260"
"","","","","Lecture","29255D","001","10:00-11:50am","Mon, Wed","35","22","0","Brittany Kay","VHE217"
"","","","","Discussion","29256R","001","4:00-5:20pm","Tuesday","33","24","0","","KAP148"
"","","","","Discussion","29257R","001","12:30-1:50pm","Thursday","33","33","0","","WPH107"
"BME-425","Basics of Biomedical Imaging","P","3.0 units","Lecture","29251D","001","2:00-4:50pm","Thursday","50","33","0","Cristina Zavaleta","RTH105"
"BME-451","Fundamentals of Biomedical Microdevices","P","3.0 units","Lecture","29260D","001","9:30-10:50am","Tue, Thu","20","19","0","Ellis Meng","HED103"
"BME-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","29270D","001","TBA","TBA","25","0","0","","OFFICE"
"BME-501","Advanced Topics in Biomedical Systems","","4.0 units","Lecture","29275D","034","9:30-10:50am","Mon, Wed","20","2","0","Stan Yamashiro","DEN@Viterbi"
"","","","","Lecture","29280D","048","9:30-10:50am","Mon, Wed","31","2","0","Stan Yamashiro","RTH109"
"BME-502","Advanced Studies of the Nervous System","","4.0 units","Lecture","29285D","034","12:30-1:50pm","Tue, Thu","70","2","0","Dong Song","DEN@Viterbi"
"","","","","Lecture","29290D","048","12:30-1:50pm","Tue, Thu","70","3","0","Dong Song","OHE122"
"BME-505aL","Laboratory Projects in Biomedical Engineering","","4.0 units","Lecture-Lab","29282D","048","2:00-4:00pm","Friday","25","0","0","Brent Liu","DRB145A"
"BME-511","Physiological Control Systems","","3.0 units","Lecture","29292D","034","3:30-4:50pm","Mon, Wed","60","0","0","","DEN@Viterbi"
"","","","","Lecture","29293D","048","3:30-4:50pm","Mon, Wed","70","7","0","Michael Khoo","OHE132"
"BME-513","Signal and Systems Analysis","","3.0 units","Lecture","29287D","048","12:30-1:50pm","Mon, Wed","60","4","0","Vasilis Marmarelis","VPD106"
"BME-527","Integration of Medical Imaging Systems","","3.0 units","Lecture","29305D","034","9:00-11:50am","Friday","20","0","0","Brent Liu","DEN@Viterbi"
"","","","","Lecture","29310D","048","9:00-11:50am","Friday","28","0","0","Brent Liu","OHE100B"
"BME-533","Seminar in Bioengineering","","1.0 units, max 3","Lecture","29315D","034","12:30-1:50pm","Monday","11","0","0","Qifa Zhou","DEN@Viterbi"
"","","","","Lecture","29320D","048","12:30-1:50pm","Monday","100","10","0","Qifa Zhou",""
"BME-559","Nanomedicine and Drug Delivery","","3.0 units","Lecture","29279D","048","11:00-12:20pm","Tue, Thu","15","0","0","Eun Ji Chung","KAP150"
"BME-566a","Topics in Health, Technology and Engineering","M","2.0 units","Lecture","29273D","048","5:00-6:50pm","Monday","28","0","0","Terence Sanger,<br />George Tolomiczenko","DRB145A"
"BME-566c","Topics in Health, Technology and Engineering","PM","2.0 units","Lecture","29276D","048","5:00-7:30pm","Tue, Thu","25","0","0","Terence Sanger,<br />George Tolomiczenko","KAP165"
"BME-567a","Case Studies in Health, Technology and Engineering","M","1.0 unit","Lecture","29277D","048","TBA","TBA","25","0","0","Terence Sanger,<br />George Tolomiczenko","OFFICE"
"BME-590","Directed Research","","1.0-12.0 units","Lecture","29330D","048","TBA","TBA","28","1","0","","OFFICE"
"BME-594a","Master\'s Thesis","","2.0 units","Lecture","29335D","048","TBA","TBA","15","0","0","","OFFICE"
"BME-594b","Master\'s Thesis","P","2.0 units","Lecture","29340D","048","TBA","TBA","15","0","0","","OFFICE"
"BME-594z","Master\'s Thesis","P","0.0 units","Lecture","29345D","048","TBA","TBA","15","0","0","","OFFICE"
"BME-620L","Applied Electrophysiology","P","4.0 units","Lecture","29350D","048","10:00-12:20pm","Friday","27","7","0","Jerry Loeb","DRB351"
"","","","","Lab","29355R","048","2:00-5:20pm","Friday","27","7","0","","DRB351"
"BME-790","Research","","1.0-12.0 units","Lecture","29370D","048","TBA","TBA","80","4","0","","OFFICE"
"","","","","Lecture","29371D","048","TBA","TBA","15","0","0","","OFFICE"
"BME-794a","Doctoral Dissertation","C","2.0 units","Lecture","29375D","048","TBA","TBA","15","0","0","","OFFICE"
"BME-794b","Doctoral Dissertation","PC","2.0 units","Lecture","29380D","048","TBA","TBA","15","1","0","","OFFICE"
"BME-794c","Doctoral Dissertation","PC","2.0 units","Lecture","29385D","048","TBA","TBA","15","1","0","","OFFICE"
"BME-794d","Doctoral Dissertation","PC","2.0 units","Lecture","29390D","048","TBA","TBA","15","1","0","","OFFICE"
"BME-794z","Doctoral Dissertation","PC","0.0 units","Lecture","29399D","048","TBA","TBA","15","1","0","","OFFICE"
'
