b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BUCO-333mw","Communication in the Working World - Managing Diversity","","4.0 units","Lecture","15168R","001","12:00-1:50pm","Tue, Thu","36","13","0","Naomi Warren","ACC205"
"BUCO-425","Ethics and Professional Communication","","4.0 units","Lecture","15169R","001","10:00-11:50am","Mon, Wed","36","36","0","Stephen Byars","BRI8"
"BUCO-450","Communication for Organizations: Exploring Creativity","","2.0 units","Lecture","15172R","001","12:00-1:50pm","Tuesday","32","32","0","Ellen-Linnea Dipprey","JFF331"
"BUCO-485","Business Communication Management for Nonprofits","","4.0 units","Lecture","15227R","001","2:00-3:50pm","Tue, Thu","36","9","0","James Owens","BRI8"
"BUCO-503","Advanced Managerial Communication","MC","1.5-3.0 units","Lecture","15173R","033","6:30-9:30pm","Monday","30","23","0","Kirk Snyder","OCC"
"BUCO-504t","Writing for Accounting and Tax Professionals","MC","3.0 units","Lecture","15176D","001","11:00-12:20pm","Tue, Thu","28","0","0","Lee Cerling","BRI8"
"","","","","Lecture","15177D","001","12:30-1:50pm","Tue, Thu","28","0","0","Lee Cerling","BRI8"
"BUCO-552","Defining and Communicating Your Professional Value","MC","1.5 units","Lecture","15181R","411","2:00-3:20pm","Mon, Wed","30","8","0","Kirk Snyder","JKP210"
"","","","","Lecture","15188R","415","2:00-3:20pm","Mon, Wed","30","5","0","Kirk Snyder","JKP210"
"BUCO-593","Independent Research in Management Communication","C","0.5-4.0 units, max 12","Lecture","15165D","033","TBA","TBA","10","0","0","","OFFICE"
"BUCO-599","Special Topics","M","1.0-3.0 units, max 9"
"","Communicating Corporate Image and Reputation","","3.0","Lecture","15180R","033","5:00-6:20pm","Tue, Thu","35","11","0","Lindsey Bier","JKP204"
"BUCO-633","Writing a Journal Article for Publication","C","2.0 units, max 4","Lecture","15185D","033","2:00-3:20pm","Tuesday","10","0","0","Lee Cerling","ACC312"
"BUCO-636","Communication for Doctoral Students: Tutorial","PMC","1.0 units, max 4","Lecture","15186D","033","TBA","TBA","5","0","0","Lee Cerling","OFFICE"
'
