b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CBY-561","Molecular Biology","","4.0 units","Lecture","40664D","046","3:00-4:50pm","Tue, Thu","85","0","0","Woojin An,<br />Roger Duncan,<br />Michael Lieber,<br />Sita Reddy,<br />Judd Rice,<br />Stanley Tahara,<br />Ebrahim Zandi,<br />Oliver Bell","TBA"
"CBY-573","Molecular Embryology","","4.0 units","Lecture","22301D","001","","TBA","15","0","0","",", OFFICE"
"CBY-575","Biologic Basis of Oral-Facial Disease","","3.0 units","Lecture","22302D","001","TBA","TBA","45","0","0","","OFFICE"
"CBY-579L","Craniofacial Molecular Genetics","","4.0 units","Lecture-Lab","22303D","001","TBA","TBA","45","0","0","","OFFICE"
"CBY-585","Systematic Research Writing","","3.0 units","Lecture","22305D","001","TBA","TBA","15","0","0","","OFFICE"
"CBY-586x","Scientific Writing Practicum","P","3.0 units","Lecture","22306D","001","TBA","TBA","4","0","0","","OFFICE"
"CBY-590","Directed Research","","1.0-12.0 units","Lecture","22320D","001","TBA","TBA","45","0","0","","OFFICE"
"CBY-594a","Master\'s Thesis","C","2.0 units","Lecture","22321D","001","TBA","TBA","25","0","0","","OFFICE"
"CBY-594b","Master\'s Thesis","PC","2.0 units","Lecture","22322D","001","TBA","TBA","25","0","0","","OFFICE"
"CBY-594z","Master\'s Thesis","PC","0.0 units","Lecture","22323D","001","TBA","TBA","25","0","0","","OFFICE"
"CBY-672","Advances in Development and Differentiation","","2.0 units","Lecture","22331D","001","TBA","TBA","25","0","0","","OFFICE"
"CBY-674","Advanced Oral Microbiology","","2.0 units","Lecture","22332D","001","TBA","TBA","25","0","0","","OFFICE"
"CBY-790","Research","","1.0-12.0 units","Lecture","22324D","001","TBA","TBA","35","0","0","","OFFICE"
"CBY-794a","Doctoral Dissertation","C","2.0 units","Lecture","22325D","001","TBA","TBA","25","0","0","","OFFICE"
"CBY-794b","Doctoral Dissertation","PC","2.0 units","Lecture","22326D","001","TBA","TBA","25","0","0","","OFFICE"
"CBY-794c","Doctoral Dissertation","PC","2.0 units","Lecture","22327D","001","TBA","TBA","25","0","0","","OFFICE"
"CBY-794d","Doctoral Dissertation","PC","2.0 units","Lecture","22328D","001","TBA","TBA","25","0","0","","OFFICE"
"CBY-794z","Doctoral Dissertation","PC","0.0 units","Lecture","22329D","001","TBA","TBA","25","0","0","","OFFICE"
'
