b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CE-106","Introduction to Civil Engineering","","2.0 units","Lecture","29600D","001","9:00-9:50am","Mon, Wed","44","2","0","","KAP163"
"","","","","Lab","29602D","001","11:00-1:50pm","Tuesday","22","1","0","","SAL126"
"","","","","Lab","29603D","001","3:00-5:50pm","Wednesday","22","1","0","","SAL126"
"CE-110","Introduction to Environmental Engineering","","2.0 units","Lecture","29604D","001","9:30-10:50am","Tue, Thu","30","0","0","","KAP140"
"CE-205","Statics","P","2.0 units","Lecture","29608D","001","10:00-10:50am","Mon, Wed","60","19","0","","SLH100"
"","","","","Discussion","29610D","001","10:00-10:50am","Friday","20","7","0","","KAP137"
"","","","","Discussion","29611D","001","11:00-11:50am","Wednesday","20","12","0","","VKC110"
"CE-210L","Introduction to Environmental Engineering Microbiology","","3.0 units","Lecture","29615D","001","12:30-1:45pm","Tue, Thu","20","7","0","","VHE206"
"","","","","Lab","29619D","001","3:30-5:20pm","Monday","20","7","0","","BHE210"
"CE-309","Fluid Mechanics","P","4.0 units","Lecture","29626D","001","10:00-10:50am","MWF","41","0","0","","VKC101"
"","","","","Discussion","29627D","001","9:00-9:50am","Friday","22","0","0","","GFS105"
"","","","","Discussion","29842D","001","11:00-11:50am","Friday","22","0","0","","GFS202"
"CE-334L","Mechanical Behavior of Materials","P","4.0 units","Lecture","29636D","001","2:00-3:20pm","Mon, Wed","38","0","0","","KAP163"
"","","","","Lab","29635D","001","1:00-3:50pm","Friday","9","0","0","","KAP B39"
"","","","","Lab","29638D","001","11:00-1:50pm","Tuesday","9","0","0","","KAP B39"
"","","","","Lab","29640D","001","2:00-4:50pm","Thursday","9","0","0","","KAP B39"
"","","","","Lab","29641D","001","11:00-1:50pm","Monday","9","0","0","","KAP B39"
"CE-358L","Elementary Theory of Structures","P","4.0 units","Lecture","29644D","001","9:30-10:50am","Tue, Thu","55","0","0","","LVL16"
"","","","","Discussion","29645D","001","8:00-9:20am","Tue, Thu","55","0","0","","LVL16"
"CE-408","Risk and Decision Analysis in Civil Engineering","","2.0 units","Lecture","29655D","001","2:00-3:20pm","Tue, Thu","55","0","0","","MHPB7B"
"","","","","Discussion","29653D","001","3:30-4:20pm","Thursday","36","0","0","","VKC154"
"","","","","Discussion","29654D","001","5:00-5:50pm","Tuesday","35","0","0","","VKC155"
"CE-453","Water Quality Science and Engineering","P","4.0 units","Discussion","29671D","001","4:00-4:50pm","Wednesday","10","0","0","",""
"","","","","Discussion","29672D","001","3:30-4:20pm","Tuesday","10","0","0","",""
"CE-456","Structural Design I","P","4.0 units","Lecture","29673D","001","5:00-6:20pm","Tue, Thu","60","0","0","","GFS116"
"CE-459","Introduction to Structural Dynamics","","3.0 units","Lecture","29674D","001","12:00-1:50pm","Tuesday","20","0","0","","THH117"
"CE-460","Construction Engineering","","4.0 units","Lecture","29677D","001","6:30-9:10pm","Tuesday","55","0","0","","GFS116"
"CE-469","Sustainable Design and Construction","","2.0 units","Lecture","29607D","001","11:00-12:40pm","Tuesday","60","0","0","","OHE136"
"","","","","Lecture","29612D","014","11:00-12:40pm","Tuesday","15","1","0","","DEN@Viterbi"
"CE-471","Principles of Transportation Engineering","P","4.0 units","Lecture","29699D","001","6:30-9:10pm","Tuesday","35","0","0","","KAP148"
"CE-476","Design of Hydraulic Systems","P","4.0 units","Lecture","29706D","001","3:30-4:50pm","Tue, Thu","28","0","0","","KAP166"
"CE-478","Timber and Masonry Design","P","3.0 units","Lecture","29707D","001","2:00-3:20pm","Mon, Wed","40","0","0","","VHE217"
