b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CHE-120","Introduction to Chemical Engineering","","4.0 units","Lecture","29490D","001","12:00-1:50pm","Mon, Wed","35","1","0","","WPH205"
"","","","","Discussion","29492R","001","5:00-5:50pm","Monday","25","1","0","",""
"","","","","Discussion","29494R","001","1:00-1:50pm","Monday","35","0","0","",""
"CHE-461","Formation Data Sensing with Well Logs","","4.0 units","Lecture","32204D","001","9:00-10:50am","Tue, Thu","56","0","0","Birendra Jha","OHE100D"
"","","","","Lecture","32206D","014","9:00-10:50am","Tue, Thu","25","0","0","Birendra Jha","DEN@Viterbi"
"CHE-463L","Introduction to Transport Processes in Porous Media","P","4.0 units","Lecture","32208D","001","2:00-3:50pm","Mon, Wed","36","0","0","Kristian Jessen",""
"","","","","Lab","32210R","001","3:30-5:50pm","Monday","12","0","0","","PCE313"
"","","","","Lab","32288R","001","3:30-5:50pm","Tuesday","12","0","0","","PCE313"
"","","","","Lab","32290R","001","3:30-5:50pm","Thursday","12","0","0","","PCE313"
"CHE-465L","Drilling Technology and Subsurface Methods","P","3.0 units","Lecture","32212D","001","5:30-8:00pm","Tuesday","30","3","0","","GFS223"
"","","","","Lab","32214R","001","8:10-9:10pm","Tuesday","30","3","0","","PCE313"
"CHE-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","29428D","001","TBA","TBA","7","0","0","","OFFICE"
"CHE-501","Modeling and Analysis of Chemical Engineering Systems","","3.0 units","Lecture","29430D","048","9:30-10:50am","Mon, Wed","80","0","0","","OHE132"
"","","","","Lecture","29432D","034","9:30-10:50am","Mon, Wed","80","0","0","","DEN@Viterbi"
"CHE-510","Energy and Process Efficiency","C","3.0 units","Lecture","29486D","048","6:40-9:20pm","Thursday","40","1","0","",""
"","","","","Lecture","29487D","034","6:40-9:20pm","Thursday","5","0","0","","DEN@Viterbi"
"CHE-540","Viscous Flow","P","3.0 units","Lecture","29481D","048","11:00-12:20pm","Mon, Wed","75","0","0","","OHE136"
"CHE-542","Chemical Engineering Kinetics","","3.0 units","Lecture","29489D","034","2:00-3:20pm","Tue, Thu","60","0","0","Theo Tsotsis","DEN@Viterbi"
"","","","","Lecture","29497D","048","2:00-3:20pm","Tue, Thu","65","2","0","Theo Tsotsis","OHE136"
"CHE-550a","Seminars in Chemical Engineering","","0.0 units","Lecture","29483D","048","4:00-5:20pm","Tuesday","90","0","0","",""
"CHE-550b","Seminars in Chemical Engineering","","1.0 units, max 2","Lecture","29440D","048","TBA","TBA","70","0","0","","OFFICE"
"CHE-590","Directed Research","","1.0-12.0 units","Lecture","29444D","048","TBA","TBA","35","0","0","","OFFICE"
"CHE-594a","Master\'s Thesis","C","2.0 units","Lecture","29446D","048","TBA","TBA","5","0","0","","OFFICE"
"CHE-594b","Master\'s Thesis","PC","2.0 units","Lecture","29448D","048","TBA","TBA","10","0","0","","OFFICE"
"CHE-594z","Master\'s Thesis","PC","0.0 units","Lecture","29450D","048","TBA","TBA","5","0","0","","OFFICE"
"CHE-690","Directed Research","","1.0-4.0 units, max 8","Lecture","29452D","048","TBA","TBA","5","0","0","","OFFICE"
"CHE-790","Research","","1.0-12.0 units","Lecture","29460D","048","TBA","TBA","40","0","0","","OFFICE"
"CHE-794a","Doctoral Dissertation","C","2.0 units","Lecture","29462D","048","TBA","TBA","10","0","0","","TBA"
"CHE-794b","Doctoral Dissertation","PC","2.0 units","Lecture","29464D","048","TBA","TBA","10","0","0","","TBA"
"CHE-794c","Doctoral Dissertation","PC","2.0 units","Lecture","29466D","048","TBA","TBA","10","0","0","","TBA"
"CHE-794d","Doctoral Dissertation","PC","2.0 units","Lecture","29468D","048","TBA","TBA","10","0","0","","TBA"
"CHE-794z","Doctoral Dissertation","PC","0.0 units","Lecture","29470D","048","TBA","TBA","10","0","0","","OFFICE"
'
