b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CHEM-050x","General Chemistry Tutorial","","2.0 units","Lecture","17200D","001","9:30-10:50am","Tuesday","25","0","0","Surya Prakash","SGM226"
"","","","","Lecture","17202D","001","11:00-12:20pm","Tuesday","28","0","0","Surya Prakash","SGM226"
"CHEM-102","The Molecular World","","4.0 units","Lecture","17204D","001","12:00-12:50pm","MWF","52","2","0","Jasmine Bryant","GFS101"
"","","","","Discussion","17206R","001","3:30-4:50pm","Thursday","52","2","0","","SOSB44"
"CHEM-103Lxg","General Chemistry for the Environment and Life","","4.0 units","Lecture","17208R","001","3:30-4:50pm","Tue, Thu","65","24","0","Jasmine Bryant","SLH100"
"","","","","Lab","17211R","001","9:00-11:50am","Monday","13","3","0","","SGM133C"
"","","","","Lab","17212R","001","9:00-11:50am","Thursday","13","3","0","","SGM133C"
"","","","","Lab","17213R","001","9:00-11:50am","Friday","13","2","0","","SGM133C"
"","","","","Lab","17214R","001","1:00-3:50pm","Monday","13","10","0","","SGM133C"
"","","","","Lab","17215R","001","4:00-6:50pm","Monday","13","6","0","","SGM133C"
"CHEM-105aLg","General Chemistry","P","4.0 units","Lecture","17218R","001","9:00-9:50am","MWF","200","2","0","Thomas Bertolini","SGM123"
"","","","","Lecture","17220R","001","10:00-10:50am","MWF","250","1","0","Smaranda Marinescu","SGM123"
"","","","","Lecture","17222R","001","11:00-11:50am","MWF","260","7","0","Thomas Bertolini","SGM123"
"","","","","Quiz","17224R","001","3:30-4:50pm","Thursday","680","10","0","","SGM123"
"","","","","Lab","17226R","001","9:30-12:20pm","Tuesday","6","0","0","","SGM133A/B"
"","","","","Lab","17228R","001","9:30-12:20pm","Tuesday","6","0","0","","SGM136A/B"
"","","","","Lab","17230R","001","9:30-12:20pm","Tuesday","6","0","0","","SGM136A/B"
"","","","","Lab","17232R","001","9:30-12:20pm","Tuesday","6","0","0","","SGM136A/B"
"","","","","Lab","17238R","001","12:00-2:50pm","Wednesday","6","2","0","","SGM136C/D"
"","","","","Lab","17240R","001","12:00-2:50pm","Wednesday","6","1","0","","SGM136C/D"
"","","","","Lab","17242R","001","12:30-3:20pm","Tuesday","6","1","0","","SGM133A/B"
"","","","","Lab","17244R","001","12:30-3:20pm","Tuesday","6","0","0","","SGM133A/B"
"","","","","Lab","17246R","001","12:30-3:20pm","Tuesday","6","0","0","","SGM136A/B"
"","","","","Lab","17248R","001","12:30-3:20pm","Tuesday","6","0","0","","SGM136A/B"
"","","","","Lab","17250R","001","1:00-3:50pm","Monday","6","2","0","","SGM133A/B"
"","","","","Lab","17252R","001","1:00-3:50pm","Monday","6","0","0","","SGM133A/B"
"","","","","Lab","17254R","001","1:00-3:50pm","Monday","6","0","0","","SGM136A/B"
"","","","","Lab","17256R","001","1:00-3:50pm","Monday","6","0","0","","SGM136A/B"
"","","","","Lab","17258R","001","1:00-3:50pm","Wednesday","6","0","0","","SGM136A/B"
"","","","","Lab","17260R","001","1:00-3:50pm","Wednesday","6","0","0","","SGM136A/B"
