b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CJ-500","Criminology","MC","2.0 units","Lecture","70125D","988","6:00-7:00pm","Wednesday","40","0","0","","ONLINE"
"","","","","Lecture","70126D","988","6:00-7:00pm","Wednesday","40","0","0","Louis Morlier","ONLINE"
"","","","","Lecture","70127D","988","6:00-7:00pm","Wednesday","40","0","0","","ONLINE"
"CJ-505","Analysis of Criminal Justice Systems","MC","2.0 units","Lecture","70131D","988","6:00-7:00pm","Thursday","40","0","0","Steven Lurie","ONLINE"
"","","","","Lecture","70132D","981","6:00-7:00pm","Wednesday","40","0","0","Louis Morlier","ONLINE"
"","","","","Lecture","70133D","981","6:00-7:00pm","Wednesday","40","0","0","","ONLINE"
"CJ-510","Criminal Justice Leadership","MC","2.0 units","Lecture","70135D","988","6:00-7:00pm","Thursday","40","0","0","","ONLINE"
"","","","","Lecture","70136D","988","6:00-7:00pm","Tuesday","40","0","0","Victor Fazio","ONLINE"
"","","","","Lecture","70137D","981","6:00-7:00pm","Wednesday","40","0","0","Mary Looman","ONLINE"
"CJ-515","Applied Research Methods for Criminal Justice","MC","2.0 units","Lecture","70141D","981","6:00-7:00pm","Thursday","40","0","0","Don Hummer","ONLINE"
"","","","","Lecture","70142D","981","6:00-7:00pm","Thursday","40","0","0","Victor Fazio","ONLINE"
"CJ-520","Applied Statistics and Data Analysis in Criminal Justice","MC","2.0 units","Lecture","70145D","988","6:00-7:00pm","Thursday","40","0","0","Don Hummer","ONLINE"
"CJ-525","Ethical Decision-Making in Criminal Justice","MC","2.0 units","Lecture","70150D","988","6:00-7:00pm","Wednesday","40","0","0","Mary Looman","ONLINE"
"CJ-530","Organizational Change in Criminal Justice","MC","2.0 units","Lecture","70155D","981","6:00-7:00pm","Thursday","40","0","0","","ONLINE"
"CJ-535","Youthful Offenders","MC","2.0 units","Lecture","70160D","981","6:00-7:00pm","Wednesday","40","0","0","","ONLINE"
'
