b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CLAS-101gp","State and Society in the Ancient World","","4.0 units","Lecture","37008R","001","8:30-9:50am","Mon, Wed","20","20","0","Maya Maskarinec","THH102"
"","","","","Discussion","37009R","001","10:00-10:50am","Wednesday","25","10","0","","THH B10"
"","","","","Discussion","37010R","001","11:00-11:50am","Wednesday","25","2","0","","THH B10"
"","","","","Discussion","37011R","001","12:00-12:50pm","Wednesday","25","6","0","","THH B10"
"","","","","Discussion","37012R","001","1:00-1:50pm","Wednesday","25","2","0","","THH B10"
"CLAS-150g","The Greeks and their Legacies","","4.0 units","Lecture","19820R","001","11:00-12:20pm","Tue, Thu","50","3","0","Christelle Fischer-Bovet","THH101"
"","","","","Discussion","19822R","001","9:00-9:50am","Friday","25","1","0","","THH121"
"","","","","Discussion","19823R","001","10:00-10:50am","Friday","25","2","0","","THH121"
"CLAS-202g","Archaeology: Our Human Past","","4.0 units","Lecture","10615R","001","9:30-10:50am","Tue, Thu","50","21","0","Kenneth Seligson","THH114"
"","","","","Discussion","10616R","001","11:00-11:50am","Thursday","25","20","0","",""
"","","","","Discussion","10617R","001","12:00-12:50pm","Thursday","25","1","0","",""
"CLAS-280gp","Classical Mythology in Art and Literature","","4.0 units","Lecture","19800R","001","2:00-3:20pm","Tue, Thu","100","4","0","Lucas Herchenroeder","THH102"
"","","","","Discussion","19801R","001","8:00-8:50am","Friday","25","2","0","","VKC160"
"","","","","Discussion","19802R","001","9:00-9:50am","Friday","25","0","0","","VKC160"
"","","","","Discussion","19803R","001","10:00-10:50am","Friday","25","0","0","","VKC160"
"","","","","Discussion","19804R","001","11:00-11:50am","Friday","25","2","0","","VKC160"
"CLAS-300","Women in Antiquity","","4.0 units","Lecture","19830R","001","11:00-12:20pm","Tue, Thu","30","6","0","Susan Lape","VKC210"
"CLAS-305","Roman Law","","4.0 units","Lecture","19842R","001","9:30-10:50am","Tue, Thu","30","14","0","","THH213"
"CLAS-320mgp","Diversity and the Classical Western Tradition","","4.0 units","Lecture","19810R","001","12:30-1:50pm","Tue, Thu","150","20","0","Daniel Richter","THH101"
"","","","","Discussion","19811R","001","8:00-8:50am","Friday","25","0","0","","VKC155"
"","","","","Discussion","19812R","001","9:00-9:50am","Friday","25","6","0","","VKC155"
"","","","","Discussion","19814R","001","10:00-10:50am","Friday","25","3","0","","VKC155"
"","","","","Discussion","19816R","001","11:00-11:50am","Friday","25","4","0","","VKC155"
"","","","","Discussion","19817R","001","12:00-12:50pm","Friday","25","4","0","","VKC155"
"","","","","Discussion","19818R","001","1:00-1:50pm","Friday","25","3","0","","VKC155"
"CLAS-321","Greek Art and Archaeology","","4.0 units","Lecture","11923R","001","2:00-3:20pm","Tue, Thu","25","8","0","John Pollini","VKC260"
"CLAS-325","Ancient Epic","","4.0 units","Lecture","19831R","001","12:30-1:50pm","Tue, Thu","30","17","0","Stefano Rebeggiani","VKC210"
"CLAS-410a","Research in Classical Studies","M","2.0 units","Lecture","19832R","001","TBA","TBA","10","2","0","","OFFICE"
"CLAS-410b","Research in Classical Studies","PM","2.0 units","Lecture","19839R","001","TBA","TBA","10","3","0","","OFFICE"
"CLAS-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","19840D","001","TBA","TBA","10","0","0","","OFFICE"
"CLAS-495x","Honors Research","","4.0 units","Lecture","19841D","001","TBA","TBA","10","0","0","","OFFICE"
"CLAS-515","Topics in Classical Scholarship","","4.0 units, max 12","Lecture","19843R","001","2:00-4:50pm","Thursday","10","1","0","Frederic Clark","OFFICE"
"CLAS-555","Seminar in Greek History, Culture and Society","","4.0 units, max 12","Lecture","19845R","001","11:00-1:50pm","Wednesday","10","0","0","Vincent Farenga","OFFICE"
"CLAS-560","Seminar in Republican Latin Literature","","4.0 units","Lecture","19844R","001","2:00-4:50pm","Tuesday","10","0","0","Anthony Boyle","OFFICE"
"CLAS-590","Directed Research","","1.0-12.0 units","Lecture","19855D","001","TBA","TBA","10","0","0","","OFFICE"
"CLAS-593x","Practicum in Teaching Liberal Arts: Classics","MC","2.0 units","Lecture","19851R","001","TBA","TBA","5","0","0","","OFFICE"
"CLAS-594a","Master\'s Thesis","C","2.0 units","Lecture","19852D","001","TBA","TBA","10","0","0","","OFFICE"
"CLAS-594b","Master\'s Thesis","P","2.0 units","Lecture","19853D","001","TBA","TBA","10","0","0","","OFFICE"
"CLAS-594z","Master\'s Thesis","P","0.0 units","Lecture","19854D","001","TBA","TBA","10","0","0","","OFFICE"
"CLAS-790","Research","","1.0-12.0 units","Lecture","19856D","001","TBA","TBA","8","0","0","","OFFICE"
"CLAS-794a","Doctoral Dissertation","C","2.0 units","Lecture","19860D","001","TBA","TBA","10","0","0","","OFFICE"
"CLAS-794b","Doctoral Dissertation","P","2.0 units","Lecture","19861D","001","TBA","TBA","10","0","0","","OFFICE"
"CLAS-794c","Doctoral Dissertation","P","2.0 units","Lecture","19862D","001","TBA","TBA","10","0","0","","OFFICE"
"CLAS-794d","Doctoral Dissertation","P","2.0 units","Lecture","19864D","001","TBA","TBA","10","0","0","","OFFICE"
"CLAS-794z","Doctoral Dissertation","P","0.0 units","Lecture","19865D","001","TBA","TBA","10","0","0","","OFFICE"
'
