b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CMGT-500","Managing Communication","","4.0 units","Lecture","21734D","169","TBA","TBA","90","1","0","<a href="http://annenberg.usc.edu/faculty/communication/brad-shipley">Brad Shipley,</a>Cynthia Martinez,<br />Andrew Schrock","ONLINE"
"CMGT-502","Strategic Corporate Communication","","4.0 units","Lecture","21704D","001","6:30-9:20pm","Thursday","25","10","0","Rebecca Weintraub","ASC204"
"","","","","Lecture","21705D","169","TBA","TBA","80","0","0","Rebecca Weintraub,<br />Jane MacOubrie,<br />Julia Matthews","ONLINE"
"CMGT-505","Communication in Work Settings","","4.0 units","Lecture","21708D","001","6:00-8:50pm","Wednesday","22","20","3","Colleen Keough","ASC228"
"CMGT-507","Information Management","","4.0 units","Lecture","21711D","001","6:30-9:20pm","Wednesday","25","11","0","Liuning Zhou","ANN210"
"CMGT-510","Communication, Values, Attitudes and Behavior","","4.0 units","Lecture","21715D","001","2:00-4:50pm","Monday","25","7","0","Michael Cody","ANN309"
"CMGT-514","Analytical Tools for Communication Decisions","PM","4.0 units","Lecture","21720D","001","2:00-4:50pm","Monday","20","20","9","Mathew Curtis","ASC228"
"CMGT-520","Social Roles of Communication Media","","4.0 units","Lecture","21722D","001","2:00-4:50pm","Wednesday","25","8","0","Peter Clarke","ASC G34"
"CMGT-528","Web Strategies for Organizations","","4.0 units","Lecture","21723D","001","6:30-9:20pm","Tuesday","25","19","10","Frederick Nager","ANN L101"
"CMGT-530","Social Dynamics of Communication Technologies","","4.0 units","Lecture","21724D","001","6:00-8:50pm","Monday","25","6","0","Dmitri Williams","ANN210"
"CMGT-533","Emerging Communication Technologies","","4.0 units","Lecture","21727D","001","6:30-9:20pm","Wednesday","25","4","0","Andrew Schrock","ASC231"
"CMGT-536","Team Communication and Leadership","","4.0 units","Lecture","21730D","001","6:30-9:20pm","Thursday","25","4","0","Andrea Hollingshead","ANN209"
"CMGT-540","Uses of Communication Research","M","4.0 units","Lecture","21701D","169","TBA","TBA","90","0","0","Mathew Curtis,<br />Yomna Elsayed,<br />Nithya Muthuswamy","ONLINE"
"","","","","Lecture","21732D","001","6:30-9:20pm","Monday","200","0","0","Mathew Curtis,<br /><a href="https://annenberg.usc.edu/faculty/communication/courtney-pade">Courtney Pade,</a><a href="http://annenberg.usc.edu/faculty/communication/brad-shipley">Brad Shipley</a>","ASC G26"
"CMGT-541","Integrated Communication Strategies","","4.0 units","Lecture","21736D","001","2:00-4:50pm","Monday","25","14","0","Nithya Muthuswamy","ANN L101"
"CMGT-544","Creating Organizational Identity: Meaning Through Messages","","4.0 units","Lecture","21739D","001","6:30-9:20pm","Tuesday","25","17","0","Simon Uwins","ANN209"
"","","","","Lecture","21740D","001","6:30-9:20pm","Tuesday","25","19","0","Jeffrey Hirsch","ANN210"
"CMGT-547","Distribution of Recordings: Media, Retail and Online Channel","","4.0 units","Lecture","21743D","001","6:30-9:20pm","Thursday","25","12","0","Morten Bay","ASC328"
"CMGT-552","Visual Storytelling: Production, Management and Culture","","4.0 units","Lecture","21748D","001","6:30-9:20pm","Thursday","25","11","5","David Craig","ASC231"
"CMGT-553","Marketing Communication Theory and Application","M","4.0 units","Lecture","21749D","001","2:00-4:50pm","Monday","25","25","5","Courtney Pade","ASC231"
"CMGT-554","Copywriting and Creativity","","4.0 units","Lecture","21750D","001","6:30-9:20pm","Monday","25","21","14","Gary Wexler","ANN L101"
