b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CMPP-541a","Producing Workshop","M","4.0 units","Lecture","19568D","037","9:00-11:50am","Tuesday","24","0","0","","SCA203, SCA214"
"CMPP-548","Introduction to Producing for Television","M","2.0 units","Lecture","19564D","037","7:00-10:00pm","Wednesday","24","0","0","","SCI207"
"CMPP-550","Script Analysis for the Producer","M","2.0 units","Lecture","19551D","037","10:00-12:50pm","Wednesday","24","0","0","","SCA203"
"CMPP-561","Motion Picture and Television Marketing","M","2.0 units","Lecture","19552D","037","7:30-10:30pm","Tuesday","24","0","0","","SCA214"
"CMPP-563","Producing Symposium","M","1.0 unit","Lecture","19554D","037","2:00-4:50pm","Wednesday","24","0","0","","RZC111, SCA108"
"CMPP-565","Scheduling and Budgeting","M","4.0 units","Lecture","19555D","037","7:30-10:30pm","Wednesday","24","0","0","","SCA214"
"CMPP-566","Finance","M","2.0 units","Lecture","19557D","037","7:30-10:30pm","Thursday","24","0","0","","SCA214"
"CMPP-571","Producing the Screenplay","M","2.0 units","Lecture","19559D","037","7:30-10:30pm","Monday","8","0","0","",""
"","","","","Lecture","19561D","037","7:30-10:30pm","Monday","8","0","0","",""
"","","","","Lecture","19562D","037","7:30-10:30pm","Monday","8","0","0","","SCA259"
"CMPP-589a","Graduate Film Business Seminar","M","3.0 units","Lecture","19567D","037","7:00-10:00pm","Thursday","24","0","0","","SCA203"
'
