b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"COLT-101gp","Masterpieces and Masterminds: Literature and Thought","","4.0 units","Lecture","22000R","001","11:00-12:20pm","Tue, Thu","45","6","0","Vincent Farenga","THH202"
"","","","","Discussion","22001R","001","9:00-9:50am","Friday","10","0","0","","VKC108"
"","","","","Discussion","22002R","001","10:00-10:50am","Friday","10","2","0","","THH213"
"","","","","Discussion","22003R","001","11:00-11:50am","Friday","10","1","0","","VKC108"
"","","","","Discussion","22004R","001","12:00-12:50pm","Friday","10","3","0","","VKC107"
"COLT-250g","Cultures of Latin America","","4.0 units","Lecture","22012R","001","12:00-1:20pm","Mon, Wed","98","19","0","Roberto Diaz","WPHB27"
"","","","","Discussion","22013R","001","9:00-9:50am","Friday","12","4","0","","VKC256"
"","","","","Discussion","22014R","001","10:00-10:50am","Friday","12","6","0","","VKC256"
"","","","","Discussion","22015R","001","11:00-11:50am","Friday","12","5","0","","VKC256"
"","","","","Discussion","22016R","001","12:00-12:50pm","Friday","12","4","0","","VKC256"
"COLT-302","Introduction to Literary Theory","","4.0 units","Lecture","22008R","001","9:30-10:50am","Tue, Thu","19","3","0","Natania Meeker","WPH107"
"COLT-312","Heroes, Myths and Legends in Literature and the Arts","","4.0 units","Lecture","22011R","001","12:00-12:50pm","MWF","19","16","0","Michael Du Plessis","THH119"
"COLT-377","Literature, Theory, Gender","","4.0 units","Lecture","22037R","001","11:00-11:50am","MWF","19","4","0","Michael Du Plessis","THH119"
"COLT-379","Nationalism and Postcolonialism in Southeast Asian Cinema","","4.0 units","Lecture","22038R","001","2:00-3:30pm","Tue, Thu","19","4","0","Panivong Norindr","THH106"
"COLT-426","Utopias","","4.0 units","Lecture","22049R","001","10:00-11:50am","Mon, Wed","19","1","0","Olivia C Harrison","THH214"
"COLT-460","Love, Self and Gender in Japanese Literature","","4.0 units","Lecture","25563R","001","3:30-4:50pm","Tue, Thu","18","5","0","Kathryn Page Lippsmeyer","VKC258"
"COLT-475","Politics and the Novel","","4.0 units","Lecture","22065R","001","3:30-4:50pm","Tue, Thu","19","9","0","Hilary Schor","THH121"
"COLT-480","Dada and Surrealism","","4.0 units","Lecture","22066R","001","3:30-4:50pm","Mon, Wed","19","5","0","Julian Gutierrez-Albilla","THH108"
"COLT-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","22070D","001","TBA","TBA","10","0","0","","OFFICE"
"COLT-495","Senior Honors Thesis","","4.0 units","Lecture","22071D","001","TBA","TBA","10","0","0","","OFFICE"
"COLT-512","Literary and Cinematic Translingualism and Translation","C","4.0 units, max 8","Lecture","22102D","001","2:00-4:50pm","Tuesday","9","8","0","Brian Bernards","VKC103"
"COLT-602","Seminar in Literary Theory","","4.0 units, max 12","Lecture","22088D","001","2:00-4:50pm","Wednesday","9","7","0","Neetu Khanna","THH111"
'
