b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"COMM-200","Communication and Social Science","","4.0 units","Lecture","20327R","001","11:00-12:20pm","Tue, Thu","125","23","0","Jillian Pierson","ANN L105A"
"","","","","Discussion","20328R","001","9:00-9:50am","Wednesday","25","1","0","","ANN406"
"","","","","Discussion","20329R","001","10:00-10:50am","Wednesday","25","3","0","","ANN406"
"","","","","Discussion","20330R","001","11:00-11:50am","Wednesday","25","9","0","","ANN406"
"","","","","Discussion","20331R","001","1:00-1:50pm","Wednesday","25","9","0","","ANN L115"
"","","","","Discussion","20332R","001","1:00-1:50pm","Wednesday","25","1","0","","ANN L116"
"COMM-204","Public Speaking","","4.0 units","Lecture","20374R","001","10:00-11:50am","Mon, Wed","19","12","0","Rook Campbell","ANN210"
"","","","","Lecture","20375R","001","12:30-1:50pm","Tue, Thu","19","9","0","Sonia Jawaid Shaikh","ANN305"
"","","","","Lecture","20376R","001","2:00-3:20pm","Tue, Thu","19","3","0","Tyler Hiebert","ANN L116"
"","","","","Lecture","20377R","001","3:30-4:50pm","Tue, Thu","19","7","0","Sarah Kessler","ASC231"
"","","","","Lecture","20378R","001","3:30-4:50pm","Mon, Wed","19","0","0","Yuehan Wang","ANN305"
"","","","","Lecture","20379R","001","12:00-1:50pm","Mon, Wed","19","8","0","Michael Wissot","ASC231"
"","","","","Lecture","20380R","001","11:00-12:20pm","Tue, Thu","19","13","0","Karen North","ANN211"
"","","","","Lecture","20381R","001","12:00-1:50pm","Mon, Wed","19","7","0","Nazli Senyuva","ANN210"
"","","","","Lecture","20382R","001","9:30-10:50am","Tue, Thu","19","11","0","Karen North","ANN211"
"COMM-205x","Communication Practicum","C","1.0-2.0 units, max 4","Lecture","20385D","001","5:00-6:20pm","Thursday","24","0","0","Laurel Felt","ANN309"
"COMM-206","Communication and Culture","","4.0 units","Lecture","20388R","001","12:00-1:50pm","Mon, Wed","125","32","0","Taj Frazier","ASC G26"
"","","","","Discussion","20389R","001","10:00-10:50am","Tuesday","25","7","0","","ANN L115"
"","","","","Discussion","20390R","001","11:00-11:50am","Tuesday","25","9","0","","ANN L115"
"","","","","Discussion","20391R","001","11:00-11:50am","Tuesday","25","0","0","","ANN L116"
"","","","","Discussion","20392R","001","12:00-12:50pm","Tuesday","25","5","0","","ANN L116"
"","","","","Discussion","20393R","001","1:00-1:50pm","Tuesday","25","11","0","","ANN L116"
"COMM-209","Communication and Media Economics","","4.0 units","Lecture","20402R","001","9:30-10:50am","Tue, Thu","100","57","0","Christopher Smith","ANN L105A"
"","","","","Discussion","20403R","001","11:00-11:50am","Tuesday","25","25","0","","ANN406"
"","","","","Discussion","20404R","001","12:00-12:50pm","Tuesday","25","3","0","","ANN406"
"","","","","Discussion","20405R","001","12:00-12:50pm","Tuesday","25","4","0","","ANN L115"
"","","","","Discussion","20406R","001","1:00-1:50pm","Tuesday","25","25","0","","ANN L115"
"COMM-211x","Professional Effectiveness Through Third Space Thinking","","2.0 units","Lecture","20408R","001","4:30-6:10pm","Wednesday","25","8","0","<a href="https://www.linkedin.com/in/chrisswain1/">Chris Swain,</a>Ernest Wilson","ANN406"
"COMM-301Lg","Empirical Research in Communication","","4.0 units","Lecture-Lab","20458R","001","12:00-1:50pm","Mon, Wed","100","44","0","Carmen Lee","ANN L105A"
"COMM-302","Persuasion","","4.0 units","Lecture","20465R","001","2:00-3:20pm","Tue, Thu","100","50","0","Ken Sereno","ASC G26"
"COMM-304","Interpersonal Communication","","4.0 units","Lecture","20475R","001","2:00-3:20pm","Tue, Thu","25","20","0","Jillian Pierson","ASC231"
"COMM-305","Understanding Social Science Research","","4.0 units","Lecture","20477R","001","10:00-11:50am","Mon, Wed","90","90","0","Carlos Godoy","ANN L105A"
"COMM-307","Sound Clash: Popular Music and American Culture","","4.0 units","Lecture","20479R","001","2:00-3:20pm","Mon, Wed","90","53","0","Josh Kun","ANN L105A"
"COMM-308","Communication and Conflict","","4.0 units","Lecture","20480R","001","12:30-1:50pm","Tue, Thu","25","7","0","Colleen Keough","ANN309"
"COMM-309","Communication and Technology","","4.0 units","Lecture-Discussion","20353R","001","3:30-4:50pm","Mon, Wed","100","32","0","Dmitri Williams","ANN L105A"
"COMM-310","Media and Society","","4.0 units","Lecture","20495R","001","6:30-9:20pm","Tuesday","100","14","0","Robert Scheer","ANN L105A"
"COMM-311","Rhetoric and the Public Sphere","","4.0 units","Lecture-Discussion","20340R","001","12:30-1:50pm","Tue, Thu","75","11","0","Randy Lake","ASC204"
"COMM-313","Communication and Mass Media","","4.0 units","Lecture-Discussion","20366R","001","5:00-7:50pm","Monday","90","64","0","Stacy Smith","ANN L105A"
"COMM-320","Small Group and Team Communication","","4.0 units","Lecture","20505R","001","10:00-11:50am","Mon, Wed","25","21","0","Julianna Kirschner","ANN309"
"COMM-322","Argumentation and Advocacy","","4.0 units","Lecture","20511R","001","2:00-3:20pm","Tue, Thu","18","3","0","Kiranjeet Dhillon","ANN309"
"","","","","Lecture","20512R","001","2:00-3:20pm","Mon, Wed","18","10","0","Julianna Kirschner","ANN L115"
"","","","","Lecture","20513R","001","10:00-11:50am","Mon, Wed","18","5","0","Michael Wissot","ASC231"
"","","","","Lecture","20514R","001","9:30-10:50am","Tue, Thu","18","1","0","Gerald Goodnight","ASC228"
"","","","","Lecture","20515R","001","11:00-12:20pm","Tue, Thu","18","1","0","Gerald Goodnight","ASC228"
"","","","","Lecture","20516R","001","12:00-1:50pm","Mon, Wed","18","18","0","Carlos Godoy","ANN305"
"","","","","Lecture","20517R","001","11:00-12:20pm","Tue, Thu","18","2","0","Daniel Durbin","ANN409ABC"
"","","","","Lecture","20518R","001","2:00-3:20pm","Mon, Wed","18","18","0","Carlos Godoy","ANN305"
"COMM-324mw","Intercultural Communication","","4.0 units","Lecture","20520R","001","2:00-3:20pm","Mon, Wed","90","25","0","Jillian Pierson","ASC204"
"COMM-337","The LGBTQ Revolution and the Media","","4.0 units","Lecture","20538R","001","2:00-4:50pm","Monday","40","11","0","Larry Gross","ASC G34"
"COMM-339","Communication Technology and Culture","","4.0 units","Lecture","20540R","001","3:30-4:50pm","Mon, Wed","25","16","0","Rachel Moran","ANN210"
"COMM-345","Social and Economic Implications of Communication Technologies","","4.0 units","Lecture","20546R","001","3:30-4:50pm","Tue, Thu","25","5","0","Fran\xc3\x83\xc2\xa7ois Bar","ANN L116"
"COMM-355","Advertising and Communication","","4.0 units","Lecture","20556R","001","8:30-9:50am","Mon, Wed","49","20","0","Rook Campbell","ANN L101"
"COMM-360","The Rhetoric of Los Angeles","","4.0 units","Lecture","20561R","001","10:00-11:50am","Mon, Wed","90","14","0","Taj Frazier","ASC G26"
