b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CRIT-150gp","Histories of Art, Design and Visual Culture","","4.0 units","Lecture","33815R","001","4:00-5:20pm","Mon, Wed","150","17","0","","HAR101"
"","","","","Discussion","33816R","001","9:00-9:50am","Friday","30","4","0","",""
"","","","","Discussion","33817R","001","10:00-10:50am","Friday","30","5","0","",""
"","","","","Discussion","33818R","001","11:00-11:50am","Friday","30","5","0","",""
"","","","","Discussion","33819R","001","12:00-12:50pm","Friday","30","3","0","",""
"CRIT-160g","Critical Theory in Art, Design and Visual Culture","M","4.0 units","Lecture-Discussion","33823D","001","10:00-11:50am","Mon, Wed","80","46","0","","HAR101"
"CRIT-350gw","Global Art, Design and Visual Culture since 1960","M","4.0 units","Lecture-Discussion","33824D","001","12:00-1:50pm","Mon, Wed","80","28","0","Andrew Campbell","HAR101"
"CRIT-410","Deconstruction in Design","","4.0 units","Lecture","33285R","001","11:00-2:20pm","Thursday","25","13","0","","IFT109"
"CRIT-440","Exhibition and Museum Histories","","4.0 units","Lecture","33501R","001","11:00-2:20pm","Tuesday","20","6","0","Karen Moss","IFT109"
"CRIT-510","History and Theory of Art and Exhibitions","","4.0 units","Lecture","33370D","001","12:00-3:20pm","Monday","16","1","0","Amelia Jones","IFT115"
"CRIT-512","Art and Curatorial Visits","","2.0 units","Lecture","33372D","001","10:00-12:50pm","Thursday","16","0","0","Karen Moss","IFT115"
"CRIT-515","Visiting Artist and Scholar Seminar","","2.0 units, max 4","Lecture","33312D","001","6:00-7:50pm","Tuesday","22","0","0","Andrew Campbell","HAR101, IFT109"
"CRIT-556","Curatorial Practicum: Individual/Group Projects","P","4.0 units","Lecture","33375D","001","3:00-6:20pm","Tuesday","16","3","0","Karen Moss","IFT115"
"CRIT-590","Directed Research","","1.0-12.0 units","Lecture","33356D","001","TBA","TBA","16","0","0","Karen Moss","OFFICE"
"CRIT-591","Field Internship Experience","","1.0 units, max 2","Lecture","33360D","001","TBA","TBA","15","0","0","Penelope Jones,<br />Karen Moss","OFFICE"
"CRIT-594a","Master\'s Thesis","","2.0 units","Lecture","33380D","001","TBA","TBA","15","3","0","Karen Moss","OFFICE"
"CRIT-594z","Master\'s Thesis","","0.0 units","Lecture","33328D","001","TBA","TBA","20","0","0","Karen Moss","OFFICE"
"CRIT-599","Special Topics","","1.0-8.0 units, max 8"
"","Performing Identity in Art, Culture, Theory since 1950","","4.0","Lecture","33828R","001","10:00-1:20pm","Tuesday","20","0","0","Amelia Jones","IFT109"
'
