b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CSCI-100xg","Explorations in Computing","","4.0 units","Lab","30212D","001","12:00-12:50pm","Wednesday","31","0","0","",""
"","","","","Lab","30213R","001","1:00-1:50pm","Wednesday","29","0","0","",""
"CSCI-102L","Fundamentals of Computation","","2.0 units","Lecture","29918D","001","10:00-10:50am","Mon, Wed","37","0","0","Mark Redekopp","THH119"
"","","","","Lecture","30235D","001","9:00-9:50am","Mon, Wed","123","0","0","Mark Redekopp","GFS106"
"","","","","Lab","30010R","001","5:00-5:50pm","Tuesday","20","0","0","",""
"","","","","Lab","30011R","001","12:00-12:50pm","Tuesday","20","0","0","",""
"","","","","Lab","30012R","001","12:00-12:50pm","Tuesday","20","0","0","",""
"","","","","Lab","30013R","001","11:00-11:50am","Wednesday","12","0","0","",""
"","","","","Lab","30018R","001","12:00-12:50pm","Wednesday","15","0","0","",""
"","","","","Lab","30020R","001","1:00-1:50pm","Wednesday","15","0","0","",""
"","","","","Lab","30021R","001","12:00-12:50pm","Wednesday","12","0","0","",""
"","","","","Lab","30022R","001","1:00-1:50pm","Wednesday","12","0","0","",""
"","","","","Lab","30023R","001","4:30-5:20pm","Tuesday","14","0","0","",""
"","","","","Lab","30364R","001","10:00-10:50am","Tuesday","12","0","0","",""
"","","","","Lab","30365R","001","4:00-4:50pm","Tuesday","15","0","0","",""
"","","","","Lab","30370R","001","4:00-4:50pm","Tuesday","20","0","0","",""
"","","","","Lab","30328D","001","TBA","TBA","1","0","0","","OFFICE"
"CSCI-103L","Introduction to Programming","","4.0 units","Lab","29902R","001","3:00-4:50pm","Friday","36","0","0","","SAL127"
"","","","","Lab","29913R","001","4:00-5:50pm","Friday","30","0","0","",""
"","","","","Lab","29914R","001","4:00-5:50pm","Friday","36","0","0","","SAL126"
"","","","","Lab","29924R","001","2:00-3:50pm","Friday","30","0","0","",""
"","","","","Lab","29925R","001","2:00-3:50pm","Friday","36","0","0","","SAL126"
"","","","","Lab","29926R","001","10:00-11:50am","Friday","36","0","0","","SAL126"
"","","","","Lab","29927R","001","12:00-1:50pm","Friday","36","0","0","","SAL126"
"","","","","Lab","30180R","001","10:00-11:50am","Friday","30","0","0","",""
"","","","","Lab","30193R","001","5:00-6:50pm","Friday","36","0","0","","SAL127"
"","","","","Lab","30286R","001","8:00-9:50am","Friday","30","0","0","","SAL126"
"","","","","Lab","30313R","001","8:00-9:50am","Friday","30","0","0","",""
"","","","","Quiz","30024R","001","7:00-8:50pm","Thursday","366","0","0","","TBA"
"CSCI-104L","Data Structures and Object Oriented Design","P","4.0 units","Lab","29905R","001","2:00-3:50pm","Tuesday","31","0","0","",""
"","","","","Lab","29907R","001","4:00-5:50pm","Tuesday","30","0","0","",""
"","","","","Lab","29932R","001","12:00-1:50pm","Friday","30","0","0","",""
"","","","","Lab","29933R","001","2:00-3:50pm","Wednesday","30","0","0","",""
"","","","","Lab","29937R","001","5:00-6:50pm","Thursday","32","0","0","","SAL126"
"","","","","Lab","29938R","001","12:00-1:50pm","Friday","31","0","0","","SAL127"
"","","","","Lab","30210R","001","10:00-11:50am","Wednesday","30","0","0","","SAL127"
"","","","","Quiz","30025R","001","7:00-8:50pm","Friday","210","0","0","","TBA"
"CSCI-109","Introduction to Computer Science","","2.0 units","Lecture","29901D","001","12:00-1:50pm","Monday","230","3","0","Andrew Goodney","SGM123"
"CSCI-170","Discrete Methods in Computer Science","P","4.0 units","Discussion","29929R","001","4:00-5:50pm","Friday","75","0","0","",""
"","","","","Discussion","29954R","001","2:00-3:50pm","Friday","74","0","0","",""
"","","","","Discussion","30106R","001","12:00-1:50pm","Friday","75","0","0","",""
"","","","","Quiz","30027R","001","7:00-8:50pm","Wednesday","225","0","0","","TBA"
"CSCI-201","Principles of Software Development","P","4.0 units","Lecture","29909R","001","9:30-10:50am","Tue, Thu","80","39","0","Jeffrey Miller","GFS116"
"","","","","Lecture","30254D","001","11:00-12:20pm","Tue, Thu","80","50","0","Jeffrey Miller","GFS116"
"","","","","Lecture","30303R","001","8:00-9:20am","Tue, Thu","80","15","0","Jeffrey Miller","THH102"
"","","","","Lab","29904R","001","6:00-7:50pm","Wednesday","30","6","0","",""
"","","","","Lab","30134R","001","4:00-5:50pm","Tuesday","30","11","0","","SAL126"
"","","","","Lab","30237R","001","2:00-3:50pm","Tuesday","30","17","0","","SAL126"
"","","","","Lab","30238R","001","12:00-1:50pm","Wednesday","30","30","0","","SAL127"
"","","","","Lab","30239R","001","10:00-11:50am","Wednesday","30","29","0","","SAL126"
"","","","","Lab","30241R","001","6:00-7:50pm","Tuesday","30","0","0","",""
"","","","","Lab","30385R","001","4:00-5:50pm","Wednesday","30","7","0","",""
"","","","","Lab","30396R","001","6:00-7:50pm","Tuesday","30","4","0","","SAL126"
"","","","","Quiz","30028R","001","TBA","Thursday","240","104","0","","OFFICE"
