b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CTAN-101L","Introduction to the Art of Animation","MC","2.0 units","Lecture-Lab","17853D","001","4:00-6:50pm","Wednesday","17","0","0","Marcel Valcarce,<br />Michael Patterson","SCB102, SCB207"
"CTAN-201L","Intermediate Animation Production","PMC","3.0 units","Lecture-Lab","17855D","001","1:00-3:50pm","Monday","18","10","0","Trixy Wattenbarger","SCB102, SCB207"
"CTAN-301L","3-D Character Performance Animation","PMC","3.0 units","Lecture-Lab","17876D","001","1:00-3:50pm","Wednesday","16","7","0","","SCB102"
"CTAN-330","Animation Fundamentals","","2.0 units","Lecture","17850D","001","1:00-3:50pm","Wednesday","14","11","0","Trixy Wattenbarger","SCB207"
"","","","","Lecture","17854D","001","7:00-9:50pm","Tuesday","14","12","0","Tom Sito","SCB205"
"CTAN-401a","Senior Project","PMC","4.0 units","Lecture-Lab","17873D","001","9:00-11:50am","Tuesday","17","14","0","Trixy Wattenbarger","SCB207"
"CTAN-410","Audio Design for Animation and Immersive Media","","2.0 units","Lecture","17875D","001","4:00-6:50pm","Tuesday","14","2","0","Bethany Sparks","RZC117"
"CTAN-420","Concept Design for Animation","","2.0 units","Lecture","17917D","001","7:00-9:50pm","Thursday","16","6","0","John Mahoney","SCB101"
"CTAN-435","Story Art Development","","2.0 units","Lecture","17912D","001","1:00-3:50pm","Tuesday","16","9","0","Tom Sito","SCB207"
"CTAN-436","Writing for Animation","","2.0 units","Lecture","17862D","001","1:00-3:50pm","Thursday","16","9","0","Elizabeth Brauer","SCB304"
"","","","","Lecture","17865D","001","10:00-12:50pm","Monday","16","12","0","Elizabeth Brauer","SCB304"
"CTAN-443L","Character Development for 3-D Animation and Games","P","2.0 units","Lecture-Lab","17864D","001","4:00-6:50pm","Tuesday","16","11","0","Scott Easley","SCB102, SCB102"
"CTAN-448","Introduction to Film Graphics - Animation","","4.0 units","Lecture","17868D","001","1:00-3:50pm","Thursday","15","13","0","Elisabeth Mann","SCB205"
"CTAN-450b","Animation Theory and Techniques","P","2.0 units","Lecture","17880D","001","4:00-5:50pm","Wednesday","15","7","0","Everett Lewis","RZC117"
"CTAN-451","History of Animation","","2.0 units","Lecture","17888R","001","9:30-12:20pm","Friday","130","23","0","Christine Panushka","SCA108"
"CTAN-452","Introduction to 3-D Computer Animation","","2.0 units, max 4","Lecture-Lab","17892D","001","7:00-9:50pm","Tuesday","14","13","0","Dariush Derakhshani","SCB102, SCB102"
"","","","","Lecture-Lab","17893D","001","7:00-9:50pm","Thursday","14","12","0","Dariush Derakhshani","SCB102, SCB102"
"","","","","Lecture-Lab","17894D","001","4:00-6:50pm","Monday","14","8","0","Marcel Valcarce","SCB102, RZC117"
"","","","","Lecture-Lab","17895D","001","7:00-9:50pm","Tuesday","14","8","0","Jordan Ariel","SCA356, SCB102"
"CTAN-455L","Organic Modeling for Animation","","2.0 units","Lecture-Lab","17897D","001","1:00-3:50pm","Thursday","15","11","0","John Mahoney","SCB102, RZC117"
"CTAN-462","Visual Effects","","2.0 units","Lecture-Lab","17901D","001","7:00-9:50pm","Friday","15","11","0","Maurice Bastian","RZC117, RZC117"
"CTAN-464L","Digital Lighting and Rendering","P","2.0 units","Lecture-Lab","17909D","001","4:00-6:50pm","Monday","15","9","0","Frederic Durand","RZC117, RZC117"
"CTAN-485L","Pipeline and Character Modeling for Animation","","2.0 units","Lecture-Lab","17918D","001","7:00-9:50pm","Friday","16","10","0","Ramiro Cazaux","SCB102"
