b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CTCS-190g","Introduction to Cinema","","4.0 units","Lecture","18000R","001","2:00-5:50pm","Tuesday","350","22","0","Drew Casper","NCT"
"","","","","Lecture","18005R","001","2:00-5:50pm","Wednesday","326","23","0","Drew Casper","NCT"
"","","","","Discussion","18015R","001","8:00-8:50am","Tuesday","25","0","0","","SCA216"
"","","","","Discussion","18020R","001","8:00-8:50am","Monday","25","2","0","","SCA310"
"","","","","Discussion","18025R","001","8:00-8:50am","Thursday","25","0","0","","SCA214"
"","","","","Discussion","18030R","001","12:00-12:50pm","Tuesday","25","1","0","","SCA214"
"","","","","Discussion","18035R","001","1:00-1:50pm","Tuesday","25","5","0","","SCA203"
"","","","","Discussion","18040R","001","9:00-9:50am","Tuesday","25","1","0","","SCA316"
"","","","","Discussion","18045R","001","9:00-9:50am","Thursday","25","3","0","","SCI108"
"","","","","Discussion","18050R","001","9:00-9:50am","Thursday","25","0","0","","RZC111"
"","","","","Discussion","18055R","001","10:00-10:50am","Tuesday","25","0","0","","SCA258"
"","","","","Discussion","18060R","001","10:00-10:50am","Thursday","25","2","0","","RZC111"
"","","","","Discussion","18065R","001","11:00-11:50am","Monday","25","5","0","","SCI207"
"","","","","Discussion","18070R","001","12:00-12:50pm","Tuesday","25","0","0","","SCI106"
"","","","","Discussion","18075R","001","12:00-12:50pm","Thursday","25","2","0","","SCI108"
"","","","","Discussion","18080R","001","11:00-11:50am","Friday","25","2","0","","SCA214"
"","","","","Discussion","18085R","001","12:00-12:50pm","Monday","25","4","0","","SCI207"
"","","","","Discussion","18090R","001","12:00-12:50pm","Monday","25","0","0","","SCA363"
"","","","","Discussion","18095R","001","12:00-12:50pm","Tuesday","25","1","0","","SCA258"
"","","","","Discussion","18100R","001","12:00-12:50pm","Thursday","25","0","0","","SCA316"
"","","","","Discussion","18105R","001","12:00-12:50pm","Friday","25","0","0","","SCA258"
"","","","","Discussion","18110R","001","12:00-12:50pm","Friday","25","1","0","","SCA214"
"","","","","Discussion","18115R","001","1:00-1:50pm","Thursday","25","4","0","","SCA203"
"","","","","Discussion","18130R","001","1:00-1:50pm","Thursday","25","1","0","","SCA316"
"","","","","Discussion","18135R","001","1:00-1:50pm","Friday","25","0","0","","SCA214"
"","","","","Discussion","18140R","001","2:00-2:50pm","Monday","25","7","0","","RZC111"
"","","","","Discussion","18330R","001","11:00-11:50am","Friday","25","0","0","","SCA258"
"","","","","Discussion","18340R","001","11:00-11:50am","Tuesday","25","3","0","","SCA258"
"","","","","Discussion","18345R","001","1:00-1:50pm","Thursday","25","1","0","","SCI108"
"CTCS-191","Introduction to Television and Video","","4.0 units","Lecture","18155R","001","11:00-1:50pm","Wednesday","125","29","0","Aniko Imre","TBA"
"","","","","Discussion","18156R","001","11:00-11:50am","Monday","25","1","0","","RZC111"
"","","","","Discussion","18157R","001","12:00-12:50pm","Monday","25","9","0","","RZC111"
"","","","","Discussion","18158R","001","12:00-12:50pm","Tuesday","25","5","0","","SCA203"
"","","","","Discussion","18159R","001","5:00-5:50pm","Wednesday","25","9","0","","SCA214"
"","","","","Discussion","18161R","001","11:00-11:50am","Tuesday","25","5","0","","SCA259"
"CTCS-200g","History of the International Cinema I","","4.0 units","Lecture","18160R","001","2:00-4:50pm","Monday","200","76","0","Laura Isabel Serna","NCT"
"","","","","Discussion","18331R","001","5:00-5:50pm","Monday","25","25","0","","SCA203"
"","","","","Discussion","18332R","001","5:00-5:50pm","Monday","25","25","0","","SCA112"
"","","","","Discussion","18333R","001","9:00-9:50am","Tuesday","25","2","0","","SCA258"
"","","","","Discussion","18334R","001","10:00-10:50am","Tuesday","25","4","0","","SCI108"
"","","","","Discussion","18335R","001","9:00-9:50am","Thursday","25","2","0","","SCA112"
"","","","","Discussion","18337R","001","11:00-11:50am","Friday","25","1","0","","SCA204"
"","","","","Discussion","18338R","001","12:00-12:50pm","Friday","25","1","0","","SCA204"
"","","","","Discussion","18339R","001","5:00-5:50pm","Monday","25","16","0","","SCA209"
"CTCS-367","Global Media","","4.0 units","Lecture","18162R","001","2:00-5:50pm","Wednesday","50","10","0","Nitin Govil","SCI106"
"CTCS-379","Nationalism and Postcolonialism in Southeast Asian Cinema","","4.0 units","Lecture","22038R","001","2:00-3:30pm","Tue, Thu","19","4","0","Panivong Norindr","THH106"
"CTCS-393","Postwar Hollywood, 1946-1962","","4.0 units","Lecture","18165R","001","6:00-10:00pm","Tuesday","200","32","0","Drew Casper","SCA108"
"CTCS-400","Non-Fiction Film and Television","","4.0 units","Lecture","18170R","001","9:00-12:50pm","Wednesday","100","23","0","Michael Renov","SCI108"
"CTCS-409","Censorship in Cinema","","4.0 units","Lecture","18225R","001","10:00-1:50pm","Tuesday","42","11","0","Drew Casper","SCA108"
"CTCS-411","Film, Television and Cultural Studies","","4.0 units, max 8"
"","Adaptation","","4.0","Lecture","18190R","001","9:00-10:50am","Tuesday","20","8","0","William Whittington","SCA216, TBA"
"CTCS-412","Gender, Sexuality and Media","","4.0 units, max 8"
"","Gender and Sexuality Are the Media","","4.0","Lecture","18196R","001","2:00-5:50pm","Tuesday","31","31","0","Aniko Imre","RZC111"
"CTCS-464","Film and/or Television Genres","","4.0 units, max 8"
"","Anthology TV: Theory, History, and Practice","","4.0","Lecture","18201R","001","6:00-9:50pm","Monday","325","25","0","Thomas Kemper","TBA"
