b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CTIN-101","Fundamentals of Procedural Media","","2.0 units","Lecture","18351D","001","3:00-5:50pm","Monday","27","0","0","","SCI L113"
"CTIN-190","Introduction to Interactive Entertainment","","4.0 units","Lecture","18353D","001","2:00-4:50pm","Tuesday","92","1","0","","SCI108"
"CTIN-290","Digital Media Workshop","","4.0 units","Lecture-Lab","18401D","001","3:00-5:20pm","Mon, Wed","20","3","0","",""
"CTIN-291","Advanced Games Crew","","2.0 units, max 4","Lecture","18413R","001","2:00-5:20pm","Thursday","24","4","0","Danny Bilson","TBA"
"CTIN-401L","Interface Design for Games","","2.0 units","Lecture","18403D","001","6:30-8:20pm","Tuesday","20","0","0","Chevon Hicks",""
"","","","","Lecture-Lab","18408D","001","6:30-8:20pm","Tuesday","20","0","0","Chevon Hicks","TBA"
"CTIN-406L","Sound Design for Games","","2.0 units","Lecture-Lab","18365D","001","12:00-2:50pm","Friday","28","4","0","",""
"CTIN-411","Interactive Media Seminar","","1.0 units, max 4","Lecture","18380R","001","4:00-5:50pm","Wednesday","36","1","0","","SCI108"
"CTIN-452L","Themed Entertainment Design","P","4.0 units","Lecture-Lab","18356D","001","10:00-12:50pm","Wednesday","22","7","0","","SCI L114"
"CTIN-458","Business and Management of Games","","2.0 units","Lecture","18366D","001","6:00-8:50pm","Monday","50","0","0","","SCI108"
"CTIN-463","Anatomy of a Game","","4.0 units","Lecture","18423D","001","7:00-10:20pm","Wednesday","64","12","0","","SCA112"
"CTIN-482","Designing Social Games","","2.0 units, max 4","Lecture","18424D","001","3:00-4:50pm","Monday","20","0","0","","SCB207, SCI L113"
"CTIN-483","Introduction to Game Development","P","4.0 units","Lecture-Lab","18352D","001","10:00-11:50am","Tuesday","20","0","0","","SCA356, SCB102"
"","","","","Lecture-Lab","18354D","001","2:00-3:50pm","Tue, Thu","24","0","0","","SCI L113"
"CTIN-484L","Intermediate Game Development","P","2.0 units","Lecture-Lab","18357D","001","1:00-2:50pm","Wednesday","22","4","0","","SCI L113"
"","","","","Lecture-Lab","18406D","001","10:00-11:50am","Wednesday","22","1","0","","SCI L113"
"CTIN-485","Advanced Game Development","P","2.0 units, max 6","Lecture-Lab","18399D","001","6:00-8:50pm","Tuesday","15","0","0","","SCI L113"
"CTIN-488","Game Design Workshop","","4.0 units","Lecture","18358D","001","10:00-11:50am","Monday","94","1","0","","SCI108"
"","","","","Lab","18355D","001","1:00-2:50pm","Thursday","20","1","0","","SCI L105"
"","","","","Lab","18359D","001","10:00-11:50am","Friday","20","0","0","","SCI L105"
"","","","","Lab","18360D","001","1:00-2:50pm","Friday","20","0","0","","SCI L105"
"","","","","Lab","18393D","001","3:00-4:50pm","Friday","20","0","0","","SCI L106"
"CTIN-489","Intermediate Game Design Workshop","P","2.0 units","Lecture","18363D","001","1:00-2:50pm","Monday","22","4","0","","SCI L113"
"","","","","Lecture","18405D","001","10:00-11:50am","Monday","22","1","0","","SCI L113"
"CTIN-490x","Directed Research","","1.0-8.0 units, max 12","Lecture","18407D","001","TBA","TBA","40","0","0","","OFFICE"
"CTIN-491L","Advanced Game Project I","P","4.0 units, max 8","Lecture-Lab","18370D","001","2:00-5:20pm","Thursday","38","15","0","","TBA"
"CTIN-497","Interactive Media Startup","","1.0 units, max 3","Lecture","18420D","001","2:00-3:50pm","Tuesday","24","3","0","","SCB104"
"CTIN-499","Special Topics","","2.0-4.0 units, max 8"
"","Consumer-Focused Game Planning and Outreach","","2.0","Lecture","18414R","001","6:00-7:50pm","Tuesday","12","3","0","Jim Huntley","TBA"
"","Producing Interactive Projects","","2.0","Lecture","18428R","001","6:00-7:50pm","Thursday","16","1","0","Carl Schnurr,<br />David White","TBA"
"CTIN-506","Procedural Expression","","2.0 units","Lecture","18404D","037","4:00-5:50pm","Monday","14","1","0","","SCA258"
"CTIN-532L","Interactive Design and Production I","M","4.0 units","Lecture-Lab","18383D","037","3:00-5:20pm","Mon, Fri","20","8","0","","SCI L114"
"CTIN-534L","Experiments in Interactivity I","","4.0 units","Lecture-Lab","18411D","037","2:00-4:50pm","Tuesday","24","0","0","","SCI L114, SCI L114"
"CTIN-541","Design for Interactive Media","","2.0 units","Lecture","18385D","037","10:00-12:50pm","Mon, Fri","20","0","0","","SCI L114, SCA108"
"CTIN-590","Directed Research","","1.0-12.0 units","Lecture","18388D","037","TBA","TBA","10","0","0","","OFFICE"
"CTIN-591","Advanced Development Project","","2.0 units, max 8","Lecture","18371D","037","2:00-5:20pm","Thursday","8","1","0","","OFFICE"
"CTIN-594a","Master\'s Thesis","PM","2.0 units","Lecture-Lab","18378D","037","10:00-1:50pm","Thursday","20","6","0","","SCI306"
"CTIN-599","Special Topics","","2.0-4.0 units, max 8"
"","Advanced Games Research","","2.0","Lecture","18415R","037","6:00-7:50pm","Wednesday","12","1","0","Danny Bilson","TBA"
'
