b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CTPR-288","Originating and Developing Ideas for Film","","2.0 units","Lecture","18467R","001","1:00-3:50pm","Tuesday","16","8","0","Amanda Pope","SCA258"
"CTPR-290","Cinematic Communication","M","4.0-6.0 units","Lecture-Lab","18471D","001","1:00-3:50pm","Tue, Thu","18","14","0","David Maquiling","SCA259"
"","","","","Lecture-Lab","18472D","001","9:00-11:50am","Mon, Wed","18","7","0","Juli Juteau","SCA310"
"","","","","Lecture-Lab","18473D","001","1:00-3:50pm","Tue, Thu","18","7","0","","SCA310"
"","","","","Lecture-Lab","18476D","001","6:00-9:00pm","Mon, Wed","18","5","0","Sheldon Larry","SCA310"
"","","","","Lecture-Lab","18477D","001","6:00-9:00pm","Tue, Thu","18","7","0","Bayo Akinfemi","SCA316"
"","","","","Lecture-Lab","18479D","001","1:00-3:50pm","Mon, Wed","18","11","0","Jennifer Warren","SCA203"
"CTPR-294","Directing in Documentary, Fiction and New Media","M","4.0 units","Lecture","18461D","001","2:00-4:50pm","Wednesday","18","4","0","Bradford Barnes","SCB104"
"","","","","Lecture","18462D","001","2:00-4:50pm","Wednesday","18","1","0","Bill Yahraus","SCA214"
"","","","","Lecture","18464D","001","2:00-4:50pm","Wednesday","18","0","0","Steven Albrezzi","SCE STG 2"
"CTPR-295L","Cinematic Arts Laboratory","M","4.0 units","Lecture-Lab","18480D","001","9:00-11:50am","Friday","18","1","0","Dan Lupovitz,<br /><a href="http://jeremyroyce.com">Jeremy Royce,</a>Jeremy Deneau,<br />Sahand Nikoukar","SCE STG 2, SCA B134"
"","","","","Lecture-Lab","18481D","001","9:00-11:50am","Friday","18","0","0","Stephen Gibler,<br /><a href="http://jeremyroyce.com">Jeremy Royce,</a>Jeremy Deneau,<br />Sahand Nikoukar","SCA209, SCA258"
"","","","","Lecture-Lab","18482D","001","9:00-11:50am","Friday","18","4","0","Mary Posatko,<br /><a href="http://gwagner-dp.com">Gary Wagner,</a><a href="http://www.laurengiordanoediting.com">Lauren Giordano,</a>Sahand Nikoukar","SCE STG 1, SCA356"
"CTPR-310","Intermediate Production","P","4.0-6.0 units","Lecture-Discussion","18484D","001","9:00-11:50am","Tue, Thu","21","0","0","","SCA310, SCE STG 1, SCA B148"
"","","","","Lecture-Discussion","18485D","001","9:00-11:50am","Tuesday","18","0","0","","SCA214, RZC STG E, SCA B105, SCA214"
"","","","","Lecture-Discussion","18486D","001","9:00-11:50am","Tue, Thu","21","0","0","","SCA316, SCE STG 1, SCA B105"
"CTPR-327","Motion Picture Cinematography","","3.0 units","Lecture","18493R","001","6:30-9:30pm","Tuesday","18","18","0","Bonnie Blake","SCC STG 3"
"","","","","Lecture","18494R","001","6:30-9:30pm","Wednesday","18","18","0","Tristan Whitman","SCC STG 3"
"","","","","Lecture","18495R","001","6:30-9:30pm","Thursday","18","18","0","Gary Wagner","SCC STG 3"
"CTPR-335","Motion Picture Editing","","3.0 units","Lecture","18499R","001","7:00-10:00pm","Tuesday","16","15","0","Yvette Amirian","SCA363"
"","","","","Lecture","18500R","001","7:00-10:00pm","Thursday","16","16","0","Alex Jablonski","SCA259"
"","","","","Lecture","18501R","001","7:00-10:00pm","Monday","16","13","0","Yvette Amirian","SCA362"
"CTPR-340","Creating the Motion Picture Sound Track","","2.0 units","Lecture","18503R","001","1:00-3:50pm","Tuesday","16","5","0","Chris Morocco","SCA B128"
