b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CTWR-100g","Story: Character, Conflict, and Catharsis","M","4.0 units","Lecture","19182D","001","10:00-11:20am","Thursday","30","0","0","Paul Foley","SCB104"
"","","","","Discussion","19383D","001","1:00-3:50pm","Monday","10","0","0","Maureen Yeager","SCA342"
"","","","","Discussion","19384D","001","10:00-12:50pm","Monday","10","0","0","Mark Shepherd","SCA362"
"","","","","Discussion","19385D","001","10:00-12:50pm","Tuesday","10","0","0","","SCI209"
"CTWR-206a","Writing the Screenplay","M","4.0 units","Lecture","19156D","001","1:00-3:50pm","Thursday","7","1","0","Bob Tzudiker","SCA363"
"","","","","Lecture","19157D","001","1:00-3:50pm","Friday","7","0","0","Toni Ann Johnson","SCA361"
"","","","","Lecture","19429D","001","1:00-3:50pm","Friday","7","0","0","David Brind","SCB101"
"","","","","Lecture","19447D","001","1:00-3:50pm","Friday","7","2","0","Donald Hewitt","SCA342"
"CTWR-211g","The Television Writer: An Agent of Change","","4.0 units","Lecture","19214R","001","1:00-4:50pm","Monday","200","20","0","Barbara Nance","SCA108"
"CTWR-305","Advanced Screenwriting: The Relationship Screenplay","M","4.0 units","Lecture","19160D","001","4:00-6:50pm","Wednesday","7","1","0","Peter Robinson","SCA345"
"","","","","Lecture","19161D","001","4:00-6:50pm","Wednesday","7","7","0","Irving Belateche","SCA361"
"","","","","Lecture","19162D","001","10:00-12:50pm","Monday","7","0","0","","SCA345"
"","","","","Lecture","19317D","001","2:00-4:50pm","Tuesday","7","5","0","Morgan Land","SCA316"
"CTWR-321","Introduction to Hour-Long Television Writing","P","2.0 units","Lecture","19163D","001","10:00-12:50pm","Friday","12","5","0","David Balkan","SCA342"
"","","","","Lecture","19190D","001","1:00-3:50pm","Monday","12","2","0","Deborah Seibel",""
"","","","","Lecture","19413D","001","7:00-10:00pm","Thursday","12","4","0","Maria Escobedo","SCA363"
"CTWR-324","Introduction to Half-Hour Television Writing","P","2.0 units","Lecture","19296D","001","4:00-6:50pm","Wednesday","12","4","0","","SCA362"
"CTWR-404","Foundations of Comedy","","2.0 units","Lecture","19311R","001","7:00-10:00pm","Monday","150","37","0","David Isaacs","SCI106"
"CTWR-407","Creating the Comedic Character","","2.0 units","Lecture","19433R","001","10:00-12:50pm","Monday","20","9","0","Chase Winton","RZC114"
"CTWR-410L","Character Development and Storytelling for Games","","4.0 units","Lecture-Lab","19164D","001","7:00-10:00pm","Thursday","14","0","1","","TBA"
"CTWR-412","Introduction to Screenwriting","","2.0 units","Lecture","19166R","001","10:00-12:50pm","Monday","10","6","0","Deborah Seibel","SCA258"
"","","","","Lecture","19167R","001","10:00-12:50pm","Friday","10","10","0","Anne Postman","SCA259"
"","","","","Lecture","19168R","001","4:00-6:50pm","Monday","10","3","0","Rick Parks","SCA362"
"","","","","Lecture","19171R","001","4:00-6:50pm","Thursday","10","10","0","Jason E Squire","SCA214"
"","","","","Lecture","19172R","001","7:00-10:00pm","Monday","10","10","0","Richard Whitley","SCB304"
"","","","","Lecture","19173R","001","1:00-3:50pm","Tuesday","10","9","0","Martin Daniel","SCA342"
"","","","","Lecture","19174R","001","7:00-10:00pm","Thursday","10","7","0","John Roche","SCA342"
"","","","","Lecture","19175R","001","4:00-6:50pm","Monday","10","3","0","Kim Beyer-Johnson","SCB101"
"","","","","Lecture","19316R","001","10:00-12:50pm","Thursday","10","2","0","Lisa Seidman","SCA342"
"CTWR-413","Writing the Short Script I","M","2.0 units","Lecture","19177D","001","10:00-12:50pm","Friday","12","0","0","Mark Shepherd","SCA209"
"","","","","Lecture","19179D","001","10:00-12:50pm","Wednesday","12","0","0","Vincent Robert","SCB101"
"","","","","Lecture","19180D","001","10:00-12:50pm","Wednesday","12","0","0","David Brind","SCA342"
"","","","","Lecture","19181D","001","10:00-12:50pm","Friday","12","0","0","Rick Parks","SCI209"
"","","","","Lecture","19448D","001","10:00-12:50pm","Wednesday","12","1","0","Toni Ann Johnson","SCA259"
"CTWR-414","The Screenplay","PM","2.0 units","Lecture","19187D","001","1:00-3:50pm","Thursday","14","9","0","Siavash Farahani","TBA"
"","","","","Lecture","19189D","001","10:00-12:50pm","Monday","14","9","0","Benita Garvin","SCB101"
"","","","","Lecture","19191D","001","10:00-12:50pm","Monday","14","10","0","","SCB207"
