b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"DANC-101","Colloquium: What is the Medium of Dance Today?","M","1.0 units, max 2","Lecture","22352D","001","5:00-5:50pm","Wednesday","24","0","0","Dawn Stoppiello","KDC104"
"DANC-103","Conditioning for Dancers","","2.0 units, max 4","Lecture","22354D","001","2:00-3:20pm","Tue, Thu","35","6","0","Jodie Gates","KDC107"
"DANC-107","World Perspective on Dance Performance","","2.0 units, max 4","Lecture","22358R","001","5:00-6:40pm","Monday","40","5","0","Alison D\'Amato","KDC236"
"DANC-110","Dance Technique I","M","3.0 units, max 12","Lecture","22360D","001","9:00-11:50am","MTuWThF","24","0","0","Jackie Kopcsak,<br />Gillian Finley,<br />Bruce McCormick,<br />Jodie Gates,<br />D Sabela Grimes,<br />Patrick Corbin,<br />Fiona Eddy","KDC203"
"DANC-120L","Repertory and Performance I","M","2.0 units, max 4","Lecture","22362D","001","2:00-4:50pm","MWF","24","0","0","Patrick Corbin","KDC102"
"","","","","Lab","22363D","001","5:30-9:30pm","Friday","24","0","0","Patrick Corbin","KDC102, KDC102"
"DANC-130","Improvisation and Composition I: Introduction","M","2.0 units, max 4","Lecture","22365D","001","3:30-4:50pm","Tue, Thu","24","0","0","Thomas McManus","KDC104"
"DANC-181a","Contemporary Dance","","2.0 units, max 4","Lecture","22388R","001","10:30-11:50am","Tue, Thu","35","10","0","Alison D\'Amato","KDC105"
"DANC-181b","Contemporary Dance","P","2.0 units, max 4","Lecture","22392R","001","2:00-3:20pm","Tue, Thu","35","1","0","Shannon Grayson","KDC105"
"DANC-183a","Ballet","","2.0 units, max 4","Lecture","22397R","001","9:00-10:20am","Mon, Wed","15","5","0","Jodie Gates","KDC105"
"","","","","Lecture","22398R","001","12:00-1:20pm","Mon, Wed","35","17","0","Jodie Gates","KDC220"
"DANC-183b","Ballet","P","2.0 units, max 4","Lecture","22399R","001","9:00-10:20am","Tue, Thu","35","5","0","Gillian Finley","KDC104"
"DANC-183c","Ballet","P","2.0 units, max 4","Lecture","22401R","001","10:30-11:50am","Tue, Thu","35","5","0","Gillian Finley","KDC220"
"DANC-184a","Jazz Dance","","2.0 units, max 4","Lecture","22405R","001","9:00-10:20am","Tue, Thu","15","7","0","Saleemah Knight","KDC106"
"","","","","Lecture","22406R","001","3:30-4:50pm","Tue, Thu","35","2","0","Shannon Grayson","KDC105"
"DANC-184b","Jazz Dance","P","2.0 units, max 4","Lecture","22407R","001","12:00-1:20pm","Tue, Thu","35","4","0","Saleemah Knight","KDC104"
"DANC-184c","Jazz Dance","P","2.0 units, max 4","Lecture","22409R","001","12:00-1:20pm","Mon, Wed","35","1","0","Saleemah Knight","KDC104"
"DANC-185a","Hip Hop Dance","","2.0 units, max 8","Lecture","22425R","001","12:00-1:50pm","Friday","35","30","0","Tiffany Bong","KDC106"
"","","","","Lecture","22426R","001","2:00-3:50pm","Friday","35","8","0","Tiffany Bong","KDC107"
"","","","","Lecture","22427R","001","2:00-3:20pm","Tue, Thu","35","6","0","E Moncell Durden","KDC106"
"","","","","Lecture","22428R","001","12:00-1:20pm","Tue, Thu","35","7","0","Amy O\'Neal","KDC106"
"","","","","Lecture","22429R","001","1:30-2:50pm","Mon, Wed","35","9","0","Shannon Grayson","KDC107"
"DANC-185b","Hip Hop Dance","P","2.0 units, max 8","Lecture","22432R","001","6:00-7:20pm","Tue, Thu","25","10","0","E Moncell Durden","KDC106"
"DANC-187","Bollywood Dance","","2.0 units, max 4","Lecture","22438R","001","12:00-1:50pm","Friday","35","5","0","Achinta McDaniel","KDC107"
"DANC-188a","International Style Ballroom Dance","","2.0 units, max 4","Lecture","22439R","001","5:00-6:20pm","Mon, Wed","40","13","0","Jesus Fuentes","KDC107"
"","","","","Lecture","22441R","001","6:30-7:50pm","Mon, Wed","40","5","0","Jesus Fuentes","KDC107"
"","","","","Lecture","22443R","001","8:00-9:20pm","Mon, Wed","40","2","0","Jesus Fuentes","KDC107"
