b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"DES-102","Design Fundamentals","","4.0 units","Lecture","33431R","001","3:00-5:40pm","Mon, Wed","20","3","0","","HAR117"
"","","","","Lecture","33432R","001","9:00-11:40am","Mon, Wed","20","5","0","","HAR117"
"","","","","Lecture","33433R","001","9:00-11:40am","Tue, Thu","20","9","0","","HAR117"
"","","","","Lecture","33434D","001","12:00-2:40pm","Mon, Wed","20","4","0","","HAR117"
"","","","","Lecture","33435D","001","6:00-8:40pm","Mon, Wed","20","0","0","","WAH105"
"DES-105","Art and Design Studio I","","4.0 units","Lecture","33796D","001","9:00-11:40am","Tue, Thu","20","1","0","","WAH108"
"","","","","Lecture","33797D","001","12:00-2:40pm","Tue, Thu","20","0","0","","WAH108"
"DES-106","Art and Design Studio II","","4.0 units","Lecture","33798D","001","9:00-11:40am","Tue, Thu","20","5","0","","WAH118"
"DES-110","Drawing for Art and Design","","4.0 units","Lecture","33844D","001","9:00-11:40am","Tue, Thu","18","2","0","","WAH102A"
"","","","","Lecture","33845R","001","6:00-8:40pm","Tue, Thu","18","3","0","","WAH102A"
"","","","","Lecture","33846D","001","12:00-2:40pm","Tue, Thu","18","7","0","","WAH102A"
"","","","","Lecture","33847R","001","9:00-11:40am","Mon, Wed","18","5","0","","WAH102A"
"DES-123xg","The Design Challenge: Exploring the Design Process","","4.0 units","Lecture","33428R","001","3:00-5:40pm","Mon, Wed","25","0","0","","WAH118"
"DES-202","Design II","P","4.0 units","Lecture","33436R","001","9:00-11:40am","Mon, Wed","20","9","0","","WAH105"
"","","","","Lecture","33437R","001","12:00-2:40pm","Tue, Thu","20","10","0","","WAH105"
"DES-203","Digital Tools for Design","","2.0 units","Lecture","33439R","001","3:00-5:40pm","Tuesday","15","15","0","","WAH6"
"","","","","Lecture","33440R","001","12:00-2:40pm","Monday","15","15","0","","HAR220"
"","","","","Lecture","33443R","001","3:00-5:40pm","Thursday","15","13","0","","WAH6"
"","","","","Lecture","33444R","001","12:00-2:40pm","Friday","15","10","0","","WAH105"
"DES-213","Digital Tools in 3D Design","P","2.0 units","Lecture","33466R","001","12:00-2:40pm","Thursday","20","16","0","","HAR112D"
"DES-230","3D Design: Materials and Tools","P","4.0 units","Lecture","33446R","001","9:00-11:40am","Tue, Thu","20","8","0","","HAR112D"
"DES-302","Design III","P","4.0 units","Lecture","33447R","001","9:00-11:40am","Tue, Thu","20","9","0","","WAH105"
"","","","","Lecture","33448R","001","3:00-5:40pm","Mon, Wed","20","17","0","","WAH105"
"DES-303","Web Design","P","2.0 units","Lecture","33450R","001","12:00-2:40pm","Wednesday","15","9","0","","HAR220"
"","","","","Lecture","33452R","001","12:00-2:40pm","Tuesday","15","9","0","","HAR112D"
"DES-313","Graphic Design in Fashion","P","4.0 units","Lecture","33469R","001","3:00-5:40pm","Tue, Thu","20","17","0","","HAR117"
"DES-323g","Design Theory","","4.0 units","Lecture","33455R","001","2:00-3:50pm","Mon, Wed","55","6","0","","HAR101"
"DES-330","3D Design: Objects and Space","P","4.0 units","Lecture","33289R","001","12:00-2:40pm","Mon, Wed","20","7","0","","HAR112D"
"DES-332a","Typography","","2.0 units","Lecture","33458R","001","9:00-11:40am","Friday","20","18","0","","HAR117"
"","","","","Lecture","33459R","001","9:00-11:40am","Monday","20","20","0","","WAH102B"
"DES-332b","Typography","P","2.0 units","Lecture","33460R","001","12:00-2:40pm","Friday","20","15","0","","HAR117"
"DES-402","Advanced Design Projects","P","4.0 units, max 12","Lecture","33461R","001","12:00-2:40pm","Mon, Wed","20","5","0","","WAH105"
"","","","","Lecture","33462R","001","3:00-5:40pm","Tue, Thu","20","8","0","","HAR112D"
"DES-413","Professional Practice in Design","PMC","4.0 units","Lecture","33465D","001","9:00-11:40am","Mon, Wed","20","5","0","","HAR112D"
"DES-418","Independent Studies in Design","","1.0-4.0 units, max 12","Lecture","33788D","001","TBA","TBA","10","0","0","","OFFICE"
"DES-419","Professional Internship in the Arts","C","2.0 units, max 4","Lecture","33794D","001","TBA","TBA","20","1","0","","OFFICE"
"DES-494a","Senior Thesis","MC","2.0 units","Lecture","33326D","001","TBA","TBA","20","4","0","","OFFICE"
"DES-494b","Senior Thesis","PMC","2.0 units","Lecture","33325D","001","TBA","TBA","20","1","0","","OFFICE"
"DES-503","Contemporary Issues in Design","","4.0 units","Lecture","33600D","001","3:00-5:40pm","Tuesday","15","1","0","","ATM 113B"
"DES-513","Visiting Designers Forum","","2.0 units, max 4","Lecture","33601D","001","6:00-8:40pm","Tue, Thu","15","2","0","","ATM 113B"
"DES-520","Individual Studies","","2.0 units, max 8","Lecture","33603D","001","12:00-2:40pm","Tuesday","15","1","0","","ATM 113B"
"DES-530","Design Studio Co-Lab","","2.0 units, max 6","Lecture","33604D","001","3:00-5:40pm","Thursday","15","0","0","","ATM 113B"
"DES-540","Design Pedagogy","","4.0 units","Lecture","33605D","001","2:00-4:50pm","Friday","15","0","0","","ATM 113B"
"DES-590","Directed Research","MC","1.0-12.0 units, max 12","Lecture","33606D","001","TBA","TBA","16","0","0","","OFFICE"
"DES-591","Field Internship Experience","","2.0 units","Lecture","33607D","001","TBA","TBA","16","0","0","","OFFICE"
"DES-594a","Master\'s Thesis","MC","2.0 units","Lecture","33324D","001","12:00-2:40pm","Friday","20","1","0","","HAR112D"
'
