b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"DSO-401","Business Information Systems -- Spreadsheet Applications","","2.0 units","Lecture","16212R","001","2:00-3:50pm","Monday","42","18","0","Francis Pereira","JFF LL103"
"","","","","Lecture","16214R","001","2:00-3:50pm","Wednesday","42","19","0","Francis Pereira","JFF LL103"
"","","","","Lecture","16215R","001","4:00-5:50pm","Monday","42","13","0","Francis Pereira","JFF LL103"
"","","","","Lecture","16218R","001","4:00-5:50pm","Wednesday","42","15","0","Francis Pereira","JFF LL103"
"DSO-427","Designing Spreadsheet-Based Business Models","","4.0 units","Lecture","16222R","001","4:00-5:50pm","Tue, Thu","32","32","0","","ACC205"
"DSO-428","Essentials and Digital Frontiers of Big Data","","4.0 units","Lecture","16224R","001","4:00-5:50pm","Tue, Thu","48","48","0","Tianshu Sun","JFF LL103"
"","","","","Lecture","16226R","001","6:00-7:50pm","Tue, Thu","48","48","0","Tianshu Sun","JFF LL103"
"DSO-431","Foundations of Digital Business Innovation","","4.0 units","Lecture","16225R","001","10:00-11:50am","Mon, Wed","48","14","0","Ann Majchrzak","JFF LL103"
"DSO-435","Enterprise Data Architecture","","4.0 units","Lecture","16230R","001","2:00-3:50pm","Tue, Thu","37","22","0","Douglas Shook","JFF LL103"
"DSO-455","Project Management","","4.0 units","Lecture","16236R","001","10:00-11:50am","Tue, Thu","42","42","0","Murat Bayiz","JFF241"
"DSO-462","Managing a Small Business on the Internet","","2.0 units","Lecture","16242R","001","4:00-5:50pm","Wednesday","32","32","0","Richard Selby","BRI202A"
"DSO-499","Special Topics","","2.0-4.0 units, max 8"
"","Essentials of Business Data Analysis Using R","","2.0","Lecture","16238R","431","12:00-1:50pm","Mon, Wed","36","5","0","Inga Maslova","BRI8"
"","Python Programming for Business Analytics","","4.0","Lecture","16244R","001","10:00-11:50am","Tue, Thu","32","26","0","Annie Chen","JFF328"
"DSO-505","Sustainable Supply Chains","MC","1.5 units","Lecture","16296D","175","6:00-8:50pm","Wednesday","40","0","0","Greys Sosic","ONLINE"
"","","","","Lecture","16298D","411","2:00-4:50pm","Wednesday","40","0","0","Greys Sosic","BRI202"
"DSO-506","Sourcing and Supplier Management","MC","1.5 units","Lecture","16297D","277","6:00-8:50pm","Wednesday","40","0","0","Greys Sosic","ONLINE"
"","","","","Lecture","16299D","415","2:00-4:50pm","Wednesday","40","0","0","Greys Sosic","BRI202"
"DSO-510","Business Analytics","MC","1.5-3.0 units","Lecture","16301D","033","6:30-9:30pm","Wednesday","56","0","0","","ACC310"
"","","","","Lecture","16305D","033","11:00-12:20pm","Mon, Wed","56","0","0","","JKP104"
"DSO-522","Applied Time Series Analysis for Forecasting","MC","1.5-3.0 units","Lecture","16240D","033","9:30-12:20pm","Wednesday","48","0","0","Robertas Gabrys","JFF416"
"DSO-528","Data Warehousing, Business Intelligence, and Data Mining","MC","1.5-3.0 units","Lecture","16271D","033","3:30-6:20pm","Thursday","41","0","0","Stephen Coggeshall","BRI202"
"DSO-531","Digital Foundations for Business Innovation","MC","1.5 units","Lecture","16268D","415","3:30-6:20pm","Wednesday","52","0","0","","JKP212"
"DSO-545","Statistical Computing and Data Visualization","MC","3.0 units","Lecture","16274D","033","8:00-9:20am","Tue, Thu","52","0","0","Robertas Gabrys","JKP102"
"","","","","Lecture","16275D","033","6:30-9:30pm","Wednesday","10","0","0","Abbass Sharif","JKP110"
"","","","","Lecture","16277D","001","6:30-9:30pm","Wednesday","40","0","0","Abbass Sharif","JKP110"
"DSO-547","Designing Spreadsheet-Based Business Models","MC","3.0 units","Lecture","16190D","033","6:30-9:30pm","Tuesday","9","0","0","Philip Rogers","JKP110"
"","","","","Lecture","16220D","372","9:00-12:00pm","Saturday","48","0","0","Tathagata Dasgupta","ONLINE"
"","","","","Lecture","16223D","033","11:00-12:20pm","Tue, Thu","52","0","0","Hiroshi Ochiumi","ACC310"
