b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"DSR-574","Stem Cell and Developmental Biology Seminar Series","","1.0 units, max 10","Lecture","40127D","046","12:00-12:50pm","Friday","75","0","0","","TBA"
"","For master\'s students only","","1.0","Lecture","40128R","046","12:00-12:50pm","Friday","50","3","0","Francesca Mariani",""
"DSR-620","Current Topics in Stem Cell Biology and Organogenesis","","1.0 units, max 12"
"","For PhD students only","","1.0","Lecture","40129D","046","3:00-3:50pm","Wednesday","25","0","0","",""
"","For master\'s students only","","1.0","Lecture","40136D","046","TBA","Wednesday","45","0","0","Francesca Mariani","BCC101"
"DSR-790","Research","C","1.0-12.0 units","Lecture","40140D","046","TBA","TBA","30","0","0","Gage Crump","OFFICE"
"DSR-794a","Doctoral Dissertation","C","2.0 units","Lecture","40145D","046","TBA","TBA","30","0","0","Gage Crump","OFFICE"
"DSR-794b","Doctoral Dissertation","PC","2.0 units","Lecture","40146D","046","TBA","TBA","30","0","0","Gage Crump","OFFICE"
"DSR-794c","Doctoral Dissertation","PC","2.0 units","Lecture","40147D","046","TBA","TBA","30","0","0","Gage Crump","OFFICE"
"DSR-794d","Doctoral Dissertation","PC","2.0 units","Lecture","40148D","046","TBA","TBA","30","0","0","Gage Crump","OFFICE"
"DSR-794z","Doctoral Dissertation","PC","0.0 units","Lecture","40149D","046","TBA","TBA","30","0","0","Gage Crump","OFFICE"
'
