b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EALC-101x","Conversational Chinese and Intercultural Communication","","2.0 units","Lecture","25601R","001","12:00-1:50pm","Monday","12","3","0","Xiang Jian","THH105"
"","","","","Lecture","25602R","001","12:00-1:50pm","Wednesday","12","0","0","Tin-Yu Tseng","SOSB38"
"EALC-102","Language, Art and Culture: Calligraphy","","2.0 units","Lecture","25400R","001","10:00-11:50am","Friday","12","3","0","Hsiao-Yun Liao","WPH104"
"","","","","Lecture","25401R","001","12:00-1:50pm","Thursday","12","6","0","","WPH104"
"","","","","Lecture","25694R","001","2:00-3:50pm","Monday","12","1","0","","WPH204"
"","","","","Lecture","25696R","001","2:00-3:50pm","Tuesday","12","5","0","John Chang","WPH104"
"","","","","Lecture","25698R","001","2:00-3:50pm","Wednesday","12","2","0","Hsiao-Yun Liao","WPH104"
"EALC-103a","Fundamental Chinese I","","2.0 units","Lecture","25690R","001","11:00-11:50am","Mon, Wed","12","2","0","","THH111"
"","","","","Lecture","25693R","001","11:00-11:50am","Tue, Thu","12","6","0","Xiang Jian","THH107"
"EALC-103b","Fundamental Chinese I","P","2.0 units","Lecture","25692R","001","12:00-12:50pm","Mon, Wed","12","3","0","","THH107"
"EALC-104","Chinese I","","4.0 units","Lecture","25403D","001","10:00-10:50am","MTuWTh","18","3","0","Hsiao-Yun Liao","VKC259"
"","","","","Lecture","25636D","001","11:00-11:50am","MTuWTh","18","1","0","Hsiao-Yun Liao","VKC259"
"EALC-106","Chinese II","P","4.0 units","Lecture","25414R","001","9:00-9:50am","MTuWTh","18","4","0","Christopher Magriney","VKC209"
"","","","","Lecture","25416R","001","12:00-12:50pm","MTuWTh","18","3","0","Yi-Hsien Liu","THH207"
"","","","","Lecture","25417R","001","11:00-11:50am","MTuWTh","18","5","0","Christopher Magriney","VKC209"
"EALC-108","Reading and Writing Chinese","","4.0 units","Lecture","25418R","001","4:00-5:50pm","Mon, Wed","18","2","0","John Chang","VKC105"
"EALC-115","Korean I","","4.0 units","Lecture","25430D","001","10:00-10:50am","MTuWTh","18","0","0","Sooran Pak","VKC209"
"","","","","Lecture","25431D","001","11:00-11:50am","MTuWTh","18","3","0","Sooran Pak","VKC204"
"","","","","Lecture","25432D","001","12:00-12:50pm","MTuWTh","18","4","0","Hyunjung Ahn","VKC108"
"EALC-117","Korean II","P","4.0 units","Lecture","25434R","001","11:00-11:50am","MTuWTh","18","5","0","Helen Chung","THH117"
"","","","","Lecture","25435R","001","1:00-1:50pm","MTuWTh","18","4","0","Sooran Pak","THH115"
"EALC-118","Essential Communications in Korean I","","2.0 units","Lecture","25452R","001","3:30-4:20pm","Mon, Wed","12","12","0","Sooran Pak","THH209"
"EALC-119","Essential Communications in Korean II","P","2.0 units","Lecture","25453R","001","2:00-2:50pm","Tue, Thu","12","1","0","Sooran Pak","SOSB43"
"EALC-120","Japanese I","","4.0 units","Lecture","25436D","001","9:00-9:50am","MTuWTh","18","2","0","Mayumi Ikeda","VKC160"
"","","","","Lecture","25437D","001","10:00-10:50am","MTuWTh","18","3","0","Yumi Matsumoto","VKC160"
"","","","","Lecture","25438D","001","11:00-11:50am","MTuWTh","18","8","0","Yumi Matsumoto","VKC160"
"","","","","Lecture","25321D","001","12:00-12:50pm","MTuWTh","18","0","0","Mayumi Ikeda","VKC160"
"EALC-121","Extensive Reading in Japanese I","P","2.0 units, max 4","Lecture","25526R","001","3:00-4:50pm","Thursday","12","1","0","Yuka Kumagai","SOSB43"
"EALC-122","Japanese II","P","4.0 units","Lecture","25443R","001","9:00-9:50am","MTuWTh","18","2","0","Masako Tamanaha","VKC206"
"","","","","Lecture","25444R","001","11:00-11:50am","MTuWTh","18","4","0","Masako Tamanaha","WPH104"
"","","","","Lecture","25445R","001","12:00-12:50pm","MTuWTh","18","1","0","Masako Tamanaha","VKC209"
"EALC-150gw","Global Chinese Cinema and Cultural Studies","","4.0 units","Lecture","25500R","001","9:30-10:50am","Tue, Thu","150","91","0","Brian Bernards","THH201"
"","","","","Discussion","25501R","001","9:00-9:50am","Monday","25","22","0","","WPHB26"
