b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EASC-150gp","East Asian Societies","","4.0 units","Lecture","25800R","001","2:00-3:20pm","Tue, Thu","190","70","0","Kathryn Page Lippsmeyer","THH201"
"","","","","Discussion","25802R","001","9:00-9:50am","Monday","25","15","0","","VKC151"
"","","","","Discussion","25804R","001","11:00-11:50am","Monday","25","13","0","","VKC155"
"","","","","Discussion","25807R","001","9:00-9:50am","Tuesday","25","6","0","","VKC252"
"","","","","Discussion","25810R","001","10:00-10:50am","Wednesday","25","6","0","","VKC205"
"","","","","Discussion","25812R","001","12:00-12:50pm","Wednesday","25","23","0","","VKC151"
"","","","","Discussion","25816R","001","9:00-9:50am","Thursday","25","2","0","","VKC252"
"","","","","Discussion","25820R","001","11:00-11:50am","Friday","25","3","0","","VKC207"
"","","","","Discussion","25821R","001","12:00-12:50pm","Friday","25","2","0","","VKC207"
"EASC-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","25828D","001","TBA","TBA","10","0","0","","OFFICE"
"EASC-590","Directed Research","","1.0-12.0 units","Lecture","25840D","001","TBA","TBA","20","0","0","","OFFICE"
"EASC-594a","Master\'s Thesis","","2.0 units","Lecture","25843R","001","TBA","TBA","10","1","0","","OFFICE"
"EASC-594b","Master\'s Thesis","","2.0 units","Lecture","25844R","001","TBA","TBA","10","0","0","","OFFICE"
"EASC-594z","Master\'s Thesis","","0.0 units","Lecture","25845R","001","TBA","TBA","10","0","0","","OFFICE"
"EASC-596","Internship for Curricular Practical Training","C","1.0-3.0 units, max 3","Lecture","25832D","001","TBA","TBA","5","0","0","","OFFICE"
'
