b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ECON-101","Free People, Free Thought and Free Markets","","4.0 units","Lecture-Discussion","49365R","001","11:00-11:50am","MWF","30","8","0","Scott Soames,<br />Romain Ranciere","THH112"
"ECON-203g","Principles of Microeconomics","","4.0 units","Lecture","26022R","001","2:00-3:15pm","Tue, Thu","145","108","0","Brijesh Pinto","SGM101"
"","","","","Discussion","26024R","001","1:00-1:50pm","Friday","25","12","0","","KAP134"
"","","","","Discussion","26026R","001","10:00-10:50am","Friday","25","22","0","","KAP113"
"","","","","Discussion","26028R","001","6:00-6:50pm","Tuesday","25","25","0","","GFS107"
"","","","","Discussion","26030R","001","6:00-6:50pm","Thursday","25","25","0","","GFS109"
"","","","","Discussion","26032R","001","11:00-11:50am","Friday","25","15","0","","KAP113"
"","","","","Discussion","26038R","001","2:00-2:50pm","Friday","25","9","0","","GFS105"
"","","","","Lecture","26001R","001","8:30-9:50am","Mon, Wed","105","17","0","Manochehr Rashidian","MRF340"
"","","","","Discussion","26002R","001","6:00-6:50pm","Wednesday","25","8","0","","GFS213"
"","","","","Discussion","26003R","001","6:00-6:50pm","Thursday","25","3","0","","GFS108"
"","","","","Discussion","26006R","001","11:00-11:50am","Friday","25","3","0","","OFFICE"
"","","","","Discussion","26010R","001","6:00-6:50pm","Monday","25","3","0","","GFS213"
"ECON-205g","Principles of Macroeconomics","","4.0 units","Lecture","26044R","001","8:00-9:20am","Tue, Thu","100","41","0","Brijesh Pinto","SGM101"
"","","","","Discussion","26046R","001","9:00-9:50am","Friday","25","8","0","","KAP166"
"","","","","Discussion","26048R","001","10:00-10:50am","Friday","25","8","0","","KAP138"
"","","","","Discussion","26058R","001","6:00-6:50pm","Monday","25","12","0","","GFS220"
"","","","","Discussion","26059R","001","6:00-6:50pm","Thursday","25","13","0","","GFS222"
"","","","","Lecture","26062R","001","2:00-3:15pm","Mon, Wed","100","21","0","Lodovico Pizzati","SGM101"
"","","","","Discussion","26065R","001","10:00-10:50am","Friday","28","2","0","","KAP166"
"","","","","Discussion","26072R","001","6:00-6:50pm","Tuesday","25","8","0","","GFS222"
"","","","","Discussion","26076R","001","11:00-11:50am","Friday","25","3","0","","KAP134"
"","","","","Discussion","26078R","001","6:00-6:50pm","Wednesday","25","8","0","","GFS228"
"ECON-303","Intermediate Microeconomic Theory","P","4.0 units","Lecture","26082R","001","10:00-11:50am","Mon, Wed","49","49","0","Daniel Bennett","KAP144"
"","","","","Lecture","26083R","001","4:00-5:50pm","Mon, Wed","49","49","0","Ergin Bayrak","KAP144"
"","","","","Lecture","26085R","001","4:00-5:50pm","Tue, Thu","49","45","0","Ergin Bayrak","KAP156"
"","","","","Lecture","26086R","001","2:00-3:50pm","Tue, Thu","49","40","0","Ladan Masoudie","KAP156"
"ECON-305","Intermediate Macroeconomic Theory","P","4.0 units","Lecture","26087R","001","12:00-1:50pm","Tue, Thu","49","34","0","Lodovico Pizzati","KAP144"
"","","","","Lecture","26088R","001","2:00-3:50pm","Tue, Thu","49","34","0","Robert Dekle","KAP146"
"","","","","Lecture","26090R","001","4:00-5:50pm","Mon, Wed","49","20","0","Lodovico Pizzati","VPD116"
"","","","","Lecture","26092R","001","10:00-11:50am","Tue, Thu","45","45","0","Ladan Masoudie","KAP163"
"ECON-317","Introduction to Statistics for Economists","P","4.0 units","Lecture","26093R","001","4:00-5:50pm","Tue, Thu","49","49","0","Lodovico Pizzati","KAP144"
"","","","","Lecture","26094R","001","12:00-1:50pm","Tue, Thu","49","34","0","Manochehr Rashidian","KAP146"
"","","","","Lecture","26096R","001","12:00-1:50pm","Mon, Wed","49","49","0","Manochehr Rashidian","KAP146"
"ECON-318","Introduction to Econometrics","P","4.0 units","Lecture","26136R","001","10:00-11:50am","Tue, Thu","49","48","0","Vittorio Bassi","KAP146"
"","","","","Discussion","26311R","001","6:00-6:50pm","Tuesday","26","25","0","","GFS108"
"","","","","Discussion","26319R","001","6:00-6:50pm","Monday","23","23","0","","GFS229"
"","","","","Lecture","26336R","001","4:00-5:50pm","Tue, Thu","49","49","0","Jeffrey Weaver","THH114"
"","","","","Discussion","26315R","001","6:00-6:50pm","Wednesday","25","25","0","","GFS220"
"","","","","Discussion","26316R","001","12:00-12:50pm","Friday","24","24","0","","KAP159"
"","","","","Lecture","26338R","001","2:00-3:50pm","Mon, Wed","49","49","0","Yu-Wei Hsieh","KAP144"
"","","","","Discussion","26317R","001","6:00-6:50pm","Tuesday","25","25","0","","GFS109"
"","","","","Discussion","26318R","001","1:00-1:50pm","Friday","24","24","0","","KAP167"
"ECON-342","Economic Development of the Middle East","P","4.0 units","Lecture","26108R","001","4:00-5:50pm","Tue, Thu","49","12","0","Jeff Nugent","KAP146"
"ECON-351x","Microeconomics for Business","P","4.0 units","Lecture","26004R","001","12:00-1:50pm","Mon, Wed","20","20","0","","JFF LL105"
"","","","","Lecture","26005R","001","4:00-5:50pm","Mon, Wed","20","20","0","","JFF LL105"
"","","","","Lecture","26007R","001","6:00-7:50pm","Mon, Wed","20","11","0","","JFF LL105"
"","","","","Lecture","26008R","001","8:00-9:50am","Tue, Thu","20","8","0","","JFF LL105"
"","","","","Lecture","26009R","001","8:00-9:50am","Tue, Thu","20","0","0","","JFF LL125"
"","","","","Lecture","26307R","001","10:00-11:50am","Tue, Thu","20","20","0","","JFF LL125"
"","","","","Lecture","26308R","001","12:00-1:50pm","Tue, Thu","20","20","0","","JFF LL105"
"","","","","Lecture","26310R","001","12:00-1:50pm","Tue, Thu","20","20","0","","JFF LL125"
"","","","","Lecture","26348R","001","2:00-3:50pm","Tue, Thu","20","19","0","","JFF LL125"
"","","","","Lecture","26349R","001","4:00-5:50pm","Tue, Thu","20","18","0","","JFF LL125"
"","","","","Lecture","26375R","001","6:00-7:50pm","Tue, Thu","20","1","0","","JFF LL125"
"","","","","Lecture","26377R","001","6:00-7:50pm","Tue, Thu","20","2","0","","JFF LL105"
"","","","","Lecture","26379R","001","4:00-5:50pm","Tue, Thu","20","3","0","","JFF414"
"ECON-352x","Macroeconomics for Business","","4.0 units","Lecture","26051R","001","8:00-9:50am","Tue, Thu","60","60","0","","HOH1"
"","","","","Lecture","26052R","001","10:00-11:50am","Tue, Thu","60","60","0","","HOH1"
"","","","","Lecture","26053R","001","6:00-7:50pm","Mon, Wed","60","60","0","","JFF LL125"
"","","","","Lecture","26057R","001","12:00-1:50pm","Tue, Thu","60","60","0","","HOH EDI"
"","","","","Lecture","26344R","001","2:00-3:50pm","Tue, Thu","60","60","0","","JFF LL105"
"","","","","Lecture","26345R","001","8:00-9:50am","Tue, Thu","60","60","0","","HOH EDI"
"","","","","Lecture","26346R","001","4:00-5:50pm","Tue, Thu","60","60","0","","HOH EDI"
"","","","","Lecture","26347R","001","6:00-7:50pm","Mon, Wed","60","60","0","","HOH2"
"","","","","Lecture","26376R","001","6:00-7:50pm","Tue, Thu","60","60","0","","HOH EDI"
"ECON-357","Money, Credit, and Banking","P","4.0 units","Lecture","26118R","001","4:00-5:50pm","Mon, Wed","49","49","0","Michael Sproul","VPD105"
"","","","","Lecture","26119R","001","8:00-9:50am","Tue, Thu","49","23","0","Michael Sproul","KAP144"
"ECON-395","Economic Policy Issues","P","4.0 units","Lecture","26128R","001","4:00-5:50pm","Mon, Wed","49","49","0","Malgorzata Switek","KAP156"
"ECON-401","Mathematical Methods in Economics","P","4.0 units","Lecture","26130R","001","10:00-11:50am","Mon, Wed","49","11","0","Mark Moore","KAP146"
"ECON-404","Games and Economics","P","4.0 units","Lecture","26132R","001","2:00-3:50pm","Mon, Wed","49","49","0","Juan Carrillo","KAP156"
"ECON-419","Advanced Econometrics","P","4.0 units","Lecture","26138R","001","2:00-3:50pm","Tue, Thu","49","15","0","Juan Saavedra","WPH207"
"ECON-420","Experimental Economics","P","4.0 units","Lecture","26340R","001","10:00-11:50am","Mon, Wed","27","27","0","Juan Carrillo","KAP166"
"ECON-432","Economics of Happiness","P","4.0 units","Lecture","26142R","001","12:00-1:50pm","Mon, Wed","49","49","0","Malgorzata Switek","KAP156"
"ECON-450","International Trade","P","4.0 units","Lecture","26149R","001","10:00-11:50am","Tue, Thu","49","49","0","Monica Morlacco","KAP156"
"ECON-457","Financial Markets","P","4.0 units","Lecture","26154R","001","4:00-5:50pm","Tue, Thu","49","49","0","Ladan Masoudie","THH116"
"ECON-471","Economics of Labor Markets and Human Capital","P","4.0 units","Lecture","26156R","001","12:00-1:50pm","Mon, Wed","15","6","0","Donald Yett","GFS212"
"ECON-472","Economics of Medical Care","P","4.0 units","Lecture","26158R","001","10:00-11:50am","Mon, Wed","12","1","0","Donald Yett","KAP150"
"ECON-474","Economic Consulting and Applied Managerial Economics","P","4.0 units","Lecture","26161R","001","10:00-11:50am","Mon, Wed","49","49","0","Jeffrey Dubin","VPD116"
"ECON-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","26168D","001","TBA","TBA","20","0","0","","OFFICE"
"ECON-495","Honors Thesis","","4.0 units","Lecture","26170D","001","TBA","TBA","15","0","0","","OFFICE"
"ECON-500","Microeconomic Analysis and Policy","","4.0 units","Lecture","26174D","001","8:00-9:50am","Mon, Wed","40","1","0","Michael Sproul","KAP158"
