b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EDCO-503","Ethical and Legal Issues in Counseling","P","3.0 units","Lecture","27044D","001","7:00-9:40pm","Tuesday","24","20","0","","WPH106"
"","","","","Lecture","27081D","001","4:15-6:55pm","Tuesday","24","24","0","Adrienne Ann Mullen","WPH102"
"","","","","Lecture","27097D","594","4:00-6:00pm","Tuesday","20","0","0","","ONLINE"
"","","","","Lecture","27098D","594","6:30-8:30pm","Tuesday","20","0","0","","ONLINE"
"EDCO-505","Counseling and Collaborative Consultation in the School Setting","","3.0 units","Lecture","27116D","594","4:00-6:00pm","Thursday","20","14","0","","ONLINE"
"EDCO-541","Theories in Counseling","","3.0 units","Lecture","27000D","001","4:00-6:40pm","Monday","21","0","0","","WPH202"
"","","","","Lecture","27001D","001","7:00-9:40pm","Monday","21","0","0","","WPH107"
"","","","","Lecture","27100D","594","4:00-6:00pm","Tuesday","20","4","0","","ONLINE"
"","","","","Lecture","27101D","594","6:30-8:30pm","Wednesday","20","5","0","","ONLINE"
"EDCO-574","School Counseling Practicum","P","1.0-2.0 units, max 2","Lecture","27107D","594","4:00-5:30pm","Tuesday","12","0","0","","ONLINE"
"EDCO-575","School Counseling Field Experience","P","1.0-4.0 units, max 4","Lecture","27130D","594","4:00-5:30pm","Tuesday","12","9","0","","ONLINE"
"","","","","Lecture","27131D","594","6:30-8:00pm","Tuesday","12","10","0","","ONLINE"
"","","","","Lecture","27132D","594","6:30-8:00pm","Thursday","12","12","0","","ONLINE"
"","","","","Lecture","27133D","594","4:00-5:30pm","Thursday","12","12","0","","ONLINE"
"","","","","Lecture","27134D","594","4:00-5:30pm","Friday","12","12","0","","ONLINE"
'
