b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EDHP-500","Foundations of Higher, Adult and Professional Education","","3.0 units","Lecture","27042D","001","4:00-6:40pm","Tuesday","26","1","0","","WPH205"
"","","","","Lecture","27045D","001","7:00-9:40pm","Tuesday","25","1","0","","WPH205"
"EDHP-552","The Politics of Difference","","3.0 units","Lecture","27146D","594","4:00-6:00pm","Thursday","22","17","0","","ONLINE"
"","","","","Lecture","27147D","594","6:30-8:30pm","Thursday","22","22","0","","ONLINE"
"EDHP-593a","Master\'s Seminar","","2.0 units","Lecture","27047D","001","4:15-6:55pm","Tuesday","24","12","0","Sheila Banuelos","WPH207"
"","","","","Lecture","27084D","001","7:00-9:40pm","Tuesday","24","19","0","Sheila Banuelos","WPH206"
"EDHP-594a","Master\'s Thesis","C","2.0 units","Lecture","27079D","001","TBA","TBA","10","1","0","","OFFICE"
"EDHP-594b","Master\'s Thesis","PC","2.0 units","Lecture","27086D","001","TBA","TBA","3","0","0","","OFFICE"
"EDHP-679","Legal Issues in the Administration of Higher Education","P","3.0 units","Lecture","27152D","001","4:00-6:40pm","Tuesday","22","0","0","Shafiqa Ahmadi","WPH201"
"","","","","Lecture","27153D","001","7:00-9:40pm","Tuesday","22","1","0","Shafiqa Ahmadi","WPH201"
"EDHP-687","Student Development in Higher Education","","3.0 units","Lecture","27026D","001","4:00-6:40pm","Tuesday","22","5","0","","WPH203"
"","","","","Lecture","27027D","001","7:00-9:40pm","Tuesday","24","2","0","","WPH203"
"","","","","Lecture","27046D","001","4:00-6:40pm","Wednesday","24","16","0","","WPH106"
"","","","","Lecture","27083D","001","7:00-9:40pm","Wednesday","24","24","0","","WPH203"
'
