b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EDUC-210","Breaking the Code of College Success","","2.0 units","Lecture","27316R","001","10:00-11:40am","Wednesday","15","1","0","","WPH203"
"EDUC-392","Undergraduate Research Methods","","2.0 units","Lecture","10433D","001","4:00-5:50pm","Tuesday","12","2","0","George Sanchez","GFS113"
"EDUC-421","Global Issues: Impact on Educational Outcomes","","4.0 units","Lecture","27315D","001","4:00-7:20pm","Monday","20","10","0","","WPHB26"
"EDUC-422","Education for Social Change","","4.0 units","Lecture","27309D","001","2:00-5:20pm","Tuesday","20","8","0","Charles Davis",""
"EDUC-427","Vectors that Influence Early Childhood Development","","4.0 units","Lecture","27310D","001","8:00-9:50am","Tue, Thu","20","5","0","Raymond Gallagher","VKC208"
"EDUC-428","The Effects of Curriculum and Institution on Early Childhood","","4.0 units","Lecture","27311D","001","10:00-11:50am","Tue, Thu","20","8","0","Sandra Kaplan","SOSB43"
"EDUC-500","The Counseling Process","","3.0 units","Lecture","27041D","001","4:00-6:40pm","Thursday","18","1","0","","WPH202"
"","","","","Lecture","27078D","001","7:00-9:40pm","Thursday","16","1","0","","WPH104"
"","","","","Lecture","27091D","594","4:00-6:00pm","Tuesday","20","0","0","","ONLINE"
"","","","","Lecture","27092D","594","6:30-8:30pm","Tuesday","20","0","0","","ONLINE"
"","","","","Lecture","27111D","001","7:00-9:40pm","Thursday","18","0","0","","WPH201"
"EDUC-508","Creating Communities of Interest","","2.0 units","Lecture","27040D","001","4:00-6:40pm","Tuesday","25","0","0","","WPH106"
"","","","","Lecture","27077D","001","7:00-9:40pm","Tuesday","25","0","0","","WPH103"
"","","","","Lecture","27088D","594","4:00-5:30pm","Thursday","20","0","0","","ONLINE"
"","","","","Lecture","27089D","594","6:30-8:00pm","Thursday","20","0","0","","ONLINE"
"EDUC-511","Introduction to Counseling","","3.0 units","Lecture","27094D","594","4:00-6:00pm","Thursday","20","0","0","","ONLINE"
"","","","","Lecture","27095D","594","6:00-8:00pm","Thursday","20","0","0","","ONLINE"
"EDUC-520","Counseling for College and Career Readiness I","","2.0 units","Lecture","27124D","594","4:00-5:30pm","Tuesday","20","11","0","","ONLINE"
"","","","","Lecture","27125D","594","6:30-8:00pm","Tuesday","20","18","0","","ONLINE"
"EDUC-532","Inquiry Methods I","M","3.0 units","Lecture","26503D","001","TBA","TBA","10","0","0","","OFFICE"
"EDUC-536","Inquiry Methods II","C","3.0 units","Lecture","26500D","001","7:10-9:50pm","Thursday","30","0","0","","WPH206"
"","","","","Lecture","26501D","001","7:10-9:50pm","Tuesday","30","0","0","","WPH102"
"","","","","Lecture","26502D","001","4:00-6:40pm","Tuesday","30","0","0","","WPH103"
"","","","","Lecture","26504D","001","4:00-6:40pm","Wednesday","30","0","0","","WPH203"
