b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EE-105","Introduction to Electrical Engineering","","4.0 units","Lecture-Lab","30884R","001","4:00-5:50pm","Tue, Thu","56","6","0","Armand Tanguay","OHE230"
"EE-109L","Introduction to Embedded Systems","","4.0 units","Lecture","30776D","001","12:30-1:50pm","Tue, Thu","20","20","0","","VHE205"
"","","","","Lecture","31009D","001","11:00-12:20pm","Tue, Thu","20","19","0","","GFS118"
"","","","","Lecture","31291D","001","2:00-3:20pm","Tue, Thu","20","12","0","","VHE205"
"","","","","Lecture","31395D","001","9:30-10:50am","Tue, Thu","20","7","0","","VHE205"
"","","","","Quiz","30997R","001","7:00-8:50pm","Wednesday","150","49","0","","OFFICE"
"","","","","Lab","30744R","001","12:30-1:50pm","Friday","20","12","0","","VHE205"
"","","","","Lab","30745R","001","12:30-1:50pm","Wednesday","20","20","0","","VHE205"
"","","","","Lab","31007R","001","2:00-3:20pm","Friday","20","6","0","","VHE205"
"","","","","Lab","31292R","001","2:00-3:20pm","Wednesday","20","18","0","","VHE205"
"","","","","Lab","31396R","001","3:30-4:50pm","Wednesday","20","2","0","","VHE205"
"EE-141L","Applied Linear Algebra for Engineering","","4.0 units","Lecture","30418R","001","2:00-3:50pm","Mon, Wed","71","36","0","Antonio Ortega","SOS B46"
"","","","","Lab","30755R","001","10:00-11:50am","Friday","71","36","0","",""
"EE-155L","Introduction to Computer Programming for Electrical Engineers","","4.0 units","Lecture","30898R","001","10:00-11:50am","Mon, Wed","60","4","0","Sandeep Gupta","SSL150"
"","","","","Lab","30899R","001","2:00-4:50pm","Friday","30","4","0","","VKC101"
"EE-202L","Linear Circuits","P","4.0 units","Lecture","30432R","001","10:00-11:50am","Tue, Thu","40","9","0","Edward Maby","OHE230"
"","","","","Lecture","30433R","001","2:00-3:50pm","Tue, Thu","50","40","0","Constantine Sideris","OHE230"
"","","","","Lab","30434R","001","4:00-5:50pm","Monday","52","27","0","","OHE230"
"","","","","Lab","30435R","001","6:00-8:00pm","Monday","50","22","0","","OHE230"
"EE-250L","Distributed Systems for the Internet of Things","PC","4.0 units","Lecture","30402D","001","8:00-9:50am","Tue, Thu","91","82","0","Mark Redekopp","SLH102"
"","","","","Lab","30403R","001","4:00-6:50pm","Tuesday","30","30","0","","VHE205"
"","","","","Lab","30420R","001","6:00-8:50pm","Tuesday","30","20","0","","VHE205"
