b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ENE-505","Energy and the Environment","","3.0 units","Lecture","31414D","048","3:30-5:10pm","Tue, Thu","65","0","0","",""
"","","","","Lecture","31415D","034","3:30-5:10pm","Tue, Thu","15","1","0","","DEN@Viterbi"
"ENE-527","Climate Change and Atmospheric Aerosols","","3.0 units","Lecture","31420D","048","3:30-6:50pm","Wednesday","36","0","0","","KAP145"
"ENE-590","Directed Research","","1.0-12.0 units","Lecture","31434D","048","TBA","TBA","30","0","0","Amy Childress","OFFICE"
"ENE-790","Research","","1.0-12.0 units","Lecture","31439D","048","TBA","TBA","30","0","0","Amy Childress","OFFICE"
"ENE-794a","Doctoral Dissertation","C","2.0 units","Lecture","31440D","048","TBA","TBA","15","0","0","Amy Childress","OFFICE"
"ENE-794b","Doctoral Dissertation","PC","2.0 units","Lecture","31441R","048","TBA","TBA","15","0","0","Amy Childress","OFFICE"
"ENE-794c","Doctoral Dissertation","PC","2.0 units","Lecture","31442R","048","TBA","TBA","15","0","0","Amy Childress","OFFICE"
"ENE-794d","Doctoral Dissertation","PC","2.0 units","Lecture","31443R","048","TBA","TBA","15","0","0","Amy Childress","OFFICE"
"ENE-794z","Doctoral Dissertation","PC","0.0 units","Lecture","31444D","048","TBA","TBA","15","0","0","Amy Childress","OFFICE"
'
