b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ENGL-105x","Creative Writing for Non-Majors","","4.0 units, max 8","Lecture","32820R","001","2:00-4:20pm","Monday","12","7","0","Susan McCabe","THH109"
"","","","","Lecture","32821R","001","2:00-4:20pm","Thursday","12","1","0","","VKC103"
"","","","","Lecture","32822R","001","2:00-4:20pm","Tuesday","12","10","0","","THH111"
"","","","","Lecture","32823R","001","2:00-4:20pm","Wednesday","12","7","0","","THH107"
"","","","","Lecture","32855R","001","2:00-4:20pm","Friday","12","0","0","","SOS B50"
"ENGL-170g","The Monster and the Detective","","4.0 units","Lecture","32850R","001","10:00-10:50am","MWF","19","19","0","Christopher Findeisen","THH203"
"ENGL-172g","The Art of Poetry","","4.0 units","Lecture","32872R","001","2:00-3:20pm","Mon, Wed","20","20","0","Christopher Freeman","THH201"
"","","","","Discussion","32860R","001","4:00-4:50pm","Monday","26","6","0","","SOSB48"
"","","","","Discussion","32861R","001","5:00-5:50pm","Monday","25","0","0","","SOSB48"
"","","","","Discussion","32853R","001","12:00-12:50pm","Wednesday","28","2","0","","SOSB52"
"","","","","Discussion","32854R","001","1:00-1:50pm","Wednesday","27","5","0","","SOSB52"
"","","","","Discussion","32856R","001","11:00-11:50am","Tuesday","26","3","0","","SOSB52"
"","","","","Discussion","32857R","001","12:00-12:50pm","Tuesday","25","4","0","","SOSB52"
"ENGL-176g","Los Angeles: the City, the Novel, the Movie","","4.0 units","Lecture","32876R","001","10:00-11:50am","Mon, Wed","20","20","0","Thomas Gustafson","THH201"
"","","","","Discussion","32891R","001","1:00-1:50pm","Tuesday","25","5","0","","SOSB37"
"","","","","Discussion","32897R","001","12:00-12:50pm","Tuesday","26","3","0","","WPHB26"
"","","","","Discussion","32890R","001","12:00-12:50pm","Thursday","25","3","0","","SOSB37"
"","","","","Discussion","32892R","001","1:00-1:50pm","Thursday","25","1","0","","SOSB37"
"","","","","Discussion","32895R","001","9:00-9:50am","Friday","26","6","0","","THH B10"
"","","","","Discussion","32896R","001","10:00-10:50am","Friday","25","2","0","","THH B10"
"ENGL-230g","Shakespeare and His Times","","4.0 units","Lecture","32889R","001","12:00-1:50pm","Mon, Wed","90","2","0","Heather James","MRF340"
"","","","","Discussion","32885R","001","10:00-10:50am","Monday","25","0","0","","VKC207"
"","","","","Discussion","32886R","001","11:00-11:50am","Monday","25","1","0","","VKC207"
"","","","","Discussion","32887R","001","10:00-10:50am","Wednesday","25","0","0","","VKC161"
