b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ENGR-100a","Engineering Honors Colloquium","","1.0 unit","Lecture","28501D","001","1:00-1:50pm","Friday","93","61","0","","SAL101"
"ENGR-100b","Engineering Honors Colloquium","P","1.0 unit","Lecture","28502D","001","1:00-1:50pm","Friday","33","7","0","","SAL101"
"ENGR-100c","Engineering Honors Colloquium","P","1.0 unit","Lecture","28503D","001","1:00-1:50pm","Friday","45","1","0","","SAL101"
"ENGR-100d","Engineering Honors Colloquium","P","1.0 unit","Lecture","28504D","001","1:00-1:50pm","Friday","20","3","0","","SAL101"
"ENGR-102","Engineering Freshman Academy","C","2.0 units","Lecture","28507D","001","11:00-12:50pm","Monday","30","0","0","","DRB146"
"","","","","Lecture","28508D","001","3:00-4:50pm","Thursday","30","0","0","","RTH109"
"","","","","Lecture","28511D","001","3:00-4:50pm","Wednesday","30","0","0","","DRB146"
"","","","","Lecture","28513D","001","1:00-2:50pm","Thursday","30","0","0","","RTH109"
"","","","","Lecture","28516D","001","11:00-12:50pm","Monday","30","0","0","","RTH105"
"","","","","Lecture","28519D","001","10:00-11:50am","Tuesday","30","0","0","","RTH105"
"","","","","Lecture","28520D","001","3:00-4:50pm","Wednesday","30","0","0","","RTH109"
"","","","","Lecture","28631D","001","2:00-3:50pm","Monday","30","0","0","","DRB146"
"","","","","Lecture","28632D","001","12:00-1:50pm","Wednesday","30","0","0","","RTH105"
"","","","","Lecture","28633D","001","10:00-11:50am","Wednesday","30","0","0","","RTH115"
"","","","","Lecture","28634D","001","10:00-11:50am","Wednesday","30","0","0","","RTH105"
"","","","","Lecture","28635D","001","12:00-1:50pm","Wednesday","30","0","0","","DRB146"
"","","","","Lecture","28636D","001","1:00-2:50pm","Tuesday","30","0","0","","RTH115"
"","","","","Lecture","28637D","001","10:00-11:50am","Thursday","30","0","0","","RTH105"
"","","","","Lecture","28641D","001","2:00-3:50pm","Monday","30","0","0","","RTH109"
"","","","","Lecture","28642D","001","1:00-2:50pm","Thursday","30","0","0","","RTH115"
"ENGR-301","Technology Entrepreneurship","","3.0 units","Lecture","14641R","001","6:00-8:50pm","Tuesday","60","42","0","Greg Autry","JFF414"
"","","","","Lecture","14642R","001","6:00-8:50pm","Wednesday","48","25","0","Greg Autry","JFF316"
"ENGR-345","Principles and Practices of Global Innovation","","3.0 units","Lecture","28600D","001","8:00-10:00am","Thursday","30","0","0","Stephen Lu","RTH217"
"","","","","Lecture","28601D","001","6:00-8:00pm","Thursday","30","0","0","Stephen Lu","RTH217"
"ENGR-395ax","Cooperative Education Work Experience","","1.0-2.0 units, max 5","Lecture","28521D","001","TBA","TBA","25","0","0","","OFFICE"
"ENGR-395bx","Cooperative Education Work Experience","P","1.0-2.0 units, max 5","Lecture","28522D","001","TBA","TBA","30","0","0","","OFFICE"
"ENGR-395cx","Cooperative Education Work Experience","P","1.0-2.0 units, max 5","Lecture","28523D","001","TBA","TBA","20","0","0","","OFFICE"
"ENGR-395dx","Cooperative Education Work Experience","P","1.0-2.0 units, max 5","Lecture","28524D","001","5:00-8:00pm","MTuWTh","85","0","0","","SGM101"
"ENGR-410","Social Media for Scientists and Engineers","","2.0 units","Lecture","28528R","001","2:00-2:50pm","Mon, Wed","25","4","0","Sarah Mojarad",""
"ENGR-499","Special Topics","","2.0-4.0 units, max 8"
"","Privacy, Security, and Policy in the Age of the Internet","","3.0","Lecture","28526R","001","4:00-7:00pm","Wednesday","30","0","0","Clifford Neuman","RTH217"
"ENGR-502x","Writing Skills for Engineering Ph.D. Students","","2.0 units, max 4","Lecture","28571R","900","4:00-5:50pm","Tue, Thu","15","0","0","Elizabeth Fife","GFS205"
"","","","","Lecture","28572R","901","4:50-5:50pm","Tue, Thu","15","0","0","Elizabeth Fife","GFS205"
"ENGR-503x","Oral Communication Skills for Engineering Ph.D. Students","","2.0 units, max 4","Lecture","28573R","900","12:00-1:50pm","Tue, Thu","15","0","0","Elizabeth Fife","SOS B50"
"","","","","Lecture","28574R","901","12:00-1:50pm","Tue, Thu","15","0","0","Elizabeth Fife","SOS B50"
'
