b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ENST-100g","Introduction to Environmental Studies","","4.0 units","Lecture","33000R","001","8:00-9:20am","Tue, Thu","40","15","0","Scott Applebaum","WPH102"
"","","","","Lecture","33001R","001","1:00-1:50pm","MWF","40","11","0","Jill Sohm","WPH102"
"","","","","Lecture","33002R","001","2:00-3:20pm","Mon, Wed","35","35","0","David Ginsburg","VKC156"
"","","","","Lecture","33003R","001","11:00-12:20pm","Tue, Thu","35","35","0","Audra Bardsley","WPH102"
"ENST-150xg","Environmental Issues in Society","","4.0 units","Lecture","33005R","001","2:00-3:20pm","Tue, Thu","75","51","0","Robert English","THH208"
"","","","","Lecture","33006R","001","11:00-12:20pm","Tue, Thu","75","3","0","Douglas Becker","SOS B46"
"","","","","Discussion","33007R","001","4:00-4:50pm","Thursday","25","5","0","","VKC157"
"","","","","Discussion","33008R","001","5:00-5:50pm","Thursday","25","1","0","","VKC155"
"","","","","Discussion","33009R","001","4:00-4:50pm","Tuesday","25","25","0","","VKC154"
"","","","","Discussion","33010R","001","5:00-5:50pm","Tuesday","25","5","0","","VKC154"
"","","","","Discussion","33011R","001","4:00-4:50pm","Wednesday","25","15","0","","VKC155"
"","","","","Discussion","33012R","001","5:00-5:50pm","Wednesday","25","3","0","","VKC155"
"ENST-320a","Water and Soil Sustainability: Energy and Air Sustainability","","4.0 units","Lecture","33018R","001","2:00-3:20pm","Tue, Thu","40","7","0","<a href="http://dornsife.usc.edu/cf/faculty-and-staff/faculty.cfm?pid=1005903">David Ginsburg,</a>Jill Sohm","VKC101"
"","","","","Lecture","33019R","001","10:00-10:50am","MWF","40","3","0","Audra Bardsley","WPH207"
"ENST-320b","Water and Soil Sustainability: Energy and Air Sustainability","P","4.0 units","Lecture","33021R","001","8:30-9:50am","Mon, Wed","40","15","0","Victoria Petryshyn","WPH106"
"ENST-323","Politics of Global Environment","","4.0 units","Lecture","37813R","001","2:00-3:20pm","Tue, Thu","48","48","0","Shannon Gibson","VKC102"
"ENST-344","Environmental Ethics","P","4.0 units","Lecture","33024R","001","12:30-1:50pm","Tue, Thu","30","15","0","Monalisa Chatterjee","WPH205"
"ENST-387","Economics for Natural Resources and the Environment","","4.0 units","Lecture","33027R","001","9:30-10:50am","Tue, Thu","40","19","0","Monalisa Chatterjee","VKC101"
"ENST-396","Directed Governmental and Political Leadership Internship","","2.0-8.0 units, max 8","Lecture","52086D","001","TBA","TBA","40","1","0","Arthur Auerbach","VKC263"
"","","","","Lecture","52088D","001","TBA","TBA","12","0","0","Arthur Auerbach","VKC263"
"ENST-422","Ecological Security and Global Politics","","4.0 units","Lecture","37927D","001","4:00-7:20pm","Thursday","19","3","0","Jonathan Markowitz","VKC109"
"ENST-436","Environmental Politics","","4.0 units","Lecture","52137R","001","3:30-6:20pm","Wednesday","25","16","0","Yael Wolinsky-Nahmias","VKC211"
"ENST-445","Earth Climate: Past, Present, and Future","P","4.0 units","Lecture","33035R","001","1:00-1:50pm","MWF","30","0","0","Victoria Petryshyn","THH106"
"ENST-490x","Directed Research","","1.0-8.0 units, max 12","Lecture","33045D","001","TBA","TBA","10","0","0","Karla Heidelberg","OFFICE"
"ENST-492","Directed Environmental Policy and Science Internship","MC","2.0-4.0 units, max 4","Lecture","33049D","001","3:30-6:20pm","Monday","15","0","0","Yael Wolinsky-Nahmias","VKC205"
"","","","","Lecture","33050D","001","3:30-6:20pm","Monday","15","0","0","Yael Wolinsky-Nahmias","VKC205"
"ENST-495","Senior Seminar in Environmental Studies","","4.0 units","Lecture","33051D","001","8:00-5:50pm","Friday","20","8","0","Karla Heidelberg","WPH203"
"ENST-499","Special Topics","","2.0-4.0 units, max 8"
"","Sustainable Aquaculture and Food Security","","4.0","Lecture","33054R","001","2:00-3:20pm","Mon, Wed","30","10","0","Scott Applebaum","SOSB41"
"ENST-500","Interdisciplinary Approaches to Environmental Studies","","4.0 units","Lecture","33058D","001","3:30-6:20pm","Tuesday","12","0","0","David Ginsburg","LVL3Y"
"ENST-540","California Coastal Zone Science and Policy","","4.0 units","Lecture","33075D","001","3:30-6:20pm","Thursday","13","4","0","Jill Sohm","THH215"
"ENST-590","Directed Research","","1.0-12.0 units","Lecture","33079D","001","TBA","TBA","10","0","0","Monalisa Chatterjee","OFFICE"
'
