b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"FBE-206","The Power of Personal Finance","","2.0 units","Lecture","15300R","001","4:00-5:50pm","Wednesday","36","27","0","Nimfa Bemis","JFF417"
"","","","","Lecture","15301R","001","6:00-7:50pm","Wednesday","36","22","0","Nimfa Bemis","JFF417"
"FBE-391","Real Estate Finance and Investment","PC","4.0 units","Lecture","15305R","001","10:00-11:50am","Mon, Wed","70","25","0","Selale Tuzel","HOH1"
"","","","","Lecture","15306R","001","12:00-1:50pm","Mon, Wed","70","50","0","Selale Tuzel","HOH1"
"FBE-400x","Introduction to Real Estate Finance and Development","","4.0 units","Lecture","15314R","001","6:00-7:50pm","Tue, Thu","70","31","0","","HOH2"
"FBE-403","Introduction to the Legal Environment of Business","C","4.0 units","Lecture","15320R","001","6:00-7:50pm","Mon, Wed","80","80","0","Kevin Fields","HOH EDI"
"FBE-421","Financial Analysis and Valuation","PC","4.0 units","Lecture","15324R","001","12:00-1:50pm","Tue, Thu","73","56","0","Lloyd Levitin","HOH1"
"","","","","Lecture","15325R","001","8:00-9:50am","Mon, Wed","78","78","0","Julia Plotts","JFF LL105"
"","","","","Lecture","15326R","001","10:00-11:50am","Mon, Wed","77","77","0","Julia Plotts","JFF LL105"
"FBE-423","Introduction to Venture Capital and Private Equity","P","4.0 units","Lecture","15328R","001","4:00-5:50pm","Mon, Wed","48","48","0","Stephen Moyer","JFF239"
"FBE-427","Real Estate Law","C","4.0 units","Lecture","15330R","001","10:00-11:50am","Mon, Wed","88","88","0","Kevin Fields","HOH EDI"
"FBE-428","Principles of Employment Law","","4.0 units","Lecture","15333R","001","2:00-3:50pm","Tue, Thu","36","31","0","Kerry Fields","JFF417"
"FBE-429","International Business Law","","4.0 units","Lecture","15335R","001","4:00-5:50pm","Tue, Thu","36","36","0","Kerry Fields","JFF417"
"FBE-432","Corporate Financial Strategy","P","4.0 units","Lecture","15341R","001","2:00-3:50pm","Mon, Wed","36","36","0","","JFF239"
"FBE-437","Entrepreneurial Finance: Financial Management for Developing Firms","P","4.0 units","Lecture","15352R","001","10:00-11:50am","Tue, Thu","60","60","0","Duke Bristow","JFF236"
"FBE-441","Investments","P","4.0 units","Lecture","15360R","001","2:00-3:50pm","Mon, Wed","70","70","0","","HOH1"
"","","","","Lecture","15362R","001","4:00-5:50pm","Mon, Wed","70","41","0","","HOH1"
"FBE-453a","Advanced Practicum in Investment Management","PMC","4.0 units","Lecture","15365D","001","2:00-5:50pm","Wednesday","16","14","0","Scott Abrams,<br />Suh-Pyng Ku","BRI203"
"FBE-458","Law of Forming, Financing and Managing Businesses","","4.0 units","Lecture","15367R","001","4:00-5:50pm","Mon, Wed","60","60","0","Kevin Fields","JFF236"
"FBE-459","Financial Derivatives","P","4.0 units","Lecture","15370R","001","12:00-1:50pm","Mon, Wed","36","36","0","Mick Swartz","JFF328"
"FBE-460","Mergers, Acquisitions and Restructuring","P","4.0 units","Lecture","15372R","001","4:00-5:50pm","Tue, Thu","36","32","0","Lloyd Levitin","JFF322"
"FBE-462","International Trade, Finance and Commercial Policy","PC","4.0 units","Lecture","15374R","001","12:00-1:50pm","Tue, Thu","36","35","0","Mohammad Safarzadeh","JFF236"
"FBE-470","Advanced Real Estate Analysis","PC","4.0 units","Lecture","15380R","001","2:00-3:50pm","Mon, Wed","36","24","0","Bob Bridges","BRI8"
"FBE-489","Real Estate Capital Markets","P","4.0 units","Lecture","15382R","001","4:00-5:50pm","Mon, Wed","36","24","0","Bob Bridges","BRI8"
"FBE-506b","Quantitative Methods in Finance","PMC","1.5 units","Lecture","15390D","033","3:30-4:50pm","Thursday","78","0","0","Mohammad Safarzadeh","JKP112"
"FBE-523","Venture Capital and Private Equity","P","3.0 units","Lecture","15394R","033","2:00-3:20pm","Mon, Wed","78","26","0","Stephen Moyer","JKP110"
"FBE-527","Entrepreneurial Finance: Financial Management for Developing Firms","P","3.0 units","Lecture","15398R","033","2:00-3:20pm","Tue, Thu","77","12","0","Duke Bristow","JKP210"
"","","","","Lecture","15399R","033","6:30-9:30pm","Thursday","77","36","0","Duke Bristow","JKP112"
"FBE-529","Financial Analysis and Valuation","P","3.0 units","Lecture","15400D","033","2:00-3:20pm","Tue, Thu","78","0","0","Lloyd Levitin","JKP110"
"","","","","Lecture","15401R","033","6:30-9:30pm","Tuesday","78","78","12","Julia Plotts","JKP112"
"","","","","Lecture","15402R","033","12:30-1:50pm","Mon, Wed","77","48","0","Scott Abrams","JKP110"
"FBE-531","Corporate Financial Policy and Corporate Governance","P","1.5-3.0 units","Lecture","15408D","033","9:30-10:50am","Mon, Wed","70","0","0","Kenneth Ahern","JKP110"
"FBE-532","Corporate Financial Strategy","P","3.0 units","Lecture","15410R","033","11:00-12:20pm","Mon, Wed","50","18","0","Mark Griffiths","JKP204"
"FBE-535","Applied Finance in Fixed Income Securities","P","1.5-3.0 units","Lecture","15412R","033","6:30-9:30pm","Tuesday","56","4","0","","JKP104"
"FBE-540","Hedge Funds","P","3.0 units","Lecture","15419R","033","5:00-6:20pm","Tue, Thu","56","7","0","Mick Swartz","JKP102"
"FBE-550","High Yield Bond Investing - Managing Credit Risk","MC","1.5 units","Lecture","15422D","415","2:00-4:50pm","Wednesday","12","0","0","","ACC312"
