b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"FREN-012x","French 120 Language Practicum","","1.0 unit","Lecture","34216D","716","TBA","TBA","12","0","0","","OFFICE"
"FREN-015x","French 150 Language Practicum","","1.0 unit","Lecture","34238D","716","TBA","TBA","12","0","0","","OFFICE"
"FREN-120","French I","","4.0 units","Lecture","34206D","001","10:00-10:50am","MTuWTh","19","2","0","Julia Chamberlin","THH110"
"","","","","Lecture","34207D","001","11:00-11:50am","MTuWTh","19","2","0","Julia Chamberlin","WPH101"
"","","","","Lecture","34208D","001","1:00-1:50pm","MTuWTh","19","3","0","","WPH101"
"","","","","Lecture","34214D","001","4:00-5:50pm","Tue, Thu","19","7","0","","THH108"
"FREN-150","French II","P","4.0 units","Lecture","34218D","467","10:00-3:50pm","MTuWThF","12","1","0","Atiyeh Showrai",""
"","","","","Lecture","34220R","001","8:00-8:50am","MTuWTh","19","1","0","","THH110"
"","","","","Lecture","34221R","001","10:00-10:50am","TuWThF","19","2","0","Guilan Siassi","THH117"
"","","","","Lecture","34224R","001","11:00-11:50am","TuWThF","19","1","0","Guilan Siassi","THH110"
"","","","","Lecture","34226R","001","11:00-11:50am","TuWThF","19","4","0","Julie Van Dam","THH108"
"","","","","Lecture","34228R","001","12:00-12:50pm","TuWThF","19","2","0","Guilan Siassi","THH110"
"","","","","Lecture","34230R","001","1:00-1:50pm","MTuWTh","19","11","0","Hannah Vaughan","THH110"
"","","","","Lecture","34232R","001","2:00-2:50pm","MTuWTh","19","7","0","Hannah Vaughan","THH110"
"","","","","Lecture","34234R","001","4:00-5:50pm","Mon, Wed","19","12","0","Hannah Vaughan","THH110"
"FREN-220","French III","P","4.0 units","Lecture","34239D","851","10:00-3:50pm","MTuWThF","12","1","0","Atiyeh Showrai",""
"","","","","Lecture","34240R","001","8:00-8:50am","MTuWTh","19","2","0","Jennifer Misran","THH112"
"","","","","Lecture","34242R","001","9:00-9:50am","MTuWTh","19","8","0","Jennifer Misran","THH112"
"","","","","Lecture","34244R","001","10:00-10:50am","TuWThF","19","17","0","Nathalie Burle","THH112"
"","","","","Lecture","34247R","001","12:00-12:50pm","MTuWTh","19","12","0","Jennifer Misran","THH112"
"","","","","Lecture","34250R","001","1:00-1:50pm","TuWThF","19","19","0","Nathalie Burle","THH108"
"","","","","Lecture","34253R","001","2:00-2:50pm","TuWThF","19","11","0","Nathalie Burle","THH108"
"","","","","Lecture","34254R","001","4:00-5:50pm","Tue, Thu","19","19","0","Hannah Vaughan","THH112"
"FREN-235x","Intermediate Conversational French","PM","2.0 units","Lecture","34256D","001","2:00-2:50pm","Mon, Wed","16","4","0","Julia Chamberlin","THH115"
"FREN-250","French IV","P","4.0 units","Lecture","34261R","001","2:00-3:50pm","Tue, Thu","16","8","0","Jennifer Misran","THH112"
"","","","","Lecture","34262R","001","4:00-5:50pm","Tue, Thu","16","7","0","Guilan Siassi","THH110"
"FREN-300","French Grammar and Composition","P","4.0 units","Lecture","34268R","001","11:00-12:20pm","Tue, Thu","16","9","0","Nathalie Burle","THH209"
"FREN-320g","The French New Wave and its Legacy","","4.0 units","Lecture","34269D","534","10:00-3:50pm","MTuWThF","12","1","0","Beatrice Mousli",""
"FREN-330","Critical Writing in French","P","4.0 units","Lecture","34275R","001","9:30-10:50am","Tue, Thu","16","10","0","Julie Van Dam","THH209"
"FREN-340g","Italian and French Cinema and Society","","4.0 units","Lecture","34438R","001","2:00-3:20pm","Wed, Fri","48","9","0","Gian-Maria Annovi","THH208"
"","","","","Discussion","34439R","001","12:00-12:50pm","Friday","24","2","0","","VKC105"
"","","","","Discussion","34440R","001","1:00-1:50pm","Friday","24","7","0","","VKC105"
"FREN-347","Race, Gender and Power in Francophone Literature","","4.0 units","Lecture","34280R","001","12:30-1:50pm","Tue, Thu","16","6","0","Edwin Hill","THH111"
"FREN-373g","Remembering Loss, Writing Memory","","4.0 units","Lecture","34282D","556","10:00-4:50pm","MTuWThF","12","1","0","Beatrice Mousli",""
"FREN-402","Studies in Modernity","P","4.0 units, max 8","Lecture","34284R","001","11:00-12:20pm","Tue, Thu","16","6","0","Panivong Norindr","VKC254"
"FREN-449","Studies in French Civilization","","4.0 units","Lecture","00363D","001","TBA","TBA","20","0","0","","TBA"
"FREN-464","Colloquium: French Civilization","P","4.0 units, max 8","Lecture","34288R","001","2:00-3:20pm","Mon, Wed","16","4","0","Olivia C Harrison","THH207"
"FREN-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","34300D","001","TBA","TBA","3","0","0","","OFFICE"
"FREN-540","Studies in French Literature and Philosophy","","4.0 units","Lecture","34325R","001","2:00-4:50pm","Thursday","12","0","0","Natania Meeker","THH219"
"FREN-590","Directed Research","","1.0-12.0 units","Lecture","34350D","001","TBA","TBA","3","0","0","","OFFICE"
"FREN-592","Practicum in Teaching French","","2.0 units","Lecture","34352D","001","TBA","Mon, Wed","4","0","0","Julia Chamberlin","OFFICE"
"FREN-790","Research","","1.0-12.0 units","Lecture","34355D","001","TBA","TBA","2","0","0","","OFFICE"
"FREN-794d","Doctoral Dissertation","PC","2.0 units","Lecture","34359D","001","TBA","TBA","1","0","0","","OFFICE"
"FREN-794z","Doctoral Dissertation","PC","0.0 units","Lecture","34360D","001","TBA","TBA","1","0","0","","OFFICE"
'
