b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AHIS-125gp","Arts of Asia: Antiquity to 1300","","4.0 units","Lecture","11838R","001","10:00-11:20am","Mon, Wed","88","12","0","Rika Hiro","THH102"
"","","","","Discussion","11839R","001","9:00-9:50am","Thursday","22","3","0","","VKC257"
"","","","","Discussion","11840R","001","10:00-10:50am","Thursday","22","2","0","","VKC257"
"","","","","Discussion","11841R","001","11:00-11:50am","Thursday","22","3","0","",""
"","","","","Discussion","11842R","001","12:00-12:50pm","Thursday","22","4","0","","VKC111"
"AMST-135mgw","Peoples and Cultures of the Americas","","4.0 units","Lecture","10320R","001","9:30-10:50am","Tue, Thu","20","20","0","Alicia Chavez","SGM101"
"","","","","Discussion","10321R","001","10:00-10:50am","Friday","25","3","0","","VKC210"
"","","","","Discussion","10322R","001","11:00-11:50am","Wednesday","25","2","0","","SOSB48"
"","","","","Discussion","10323R","001","12:00-12:50pm","Thursday","25","4","0","","WPH101"
"","","","","Discussion","10324R","001","1:00-1:50pm","Thursday","25","11","0","","VKC109"
"ANTH-140g","Mesoamerican Cosmovision and Culture","","4.0 units","Lecture","10601R","001","2:00-3:20pm","Mon, Wed","100","31","0","Kenneth Seligson","GFS106"
"","","","","Discussion","10602R","001","10:00-10:50am","Monday","25","11","0","","SOSB52"
"","","","","Discussion","10603R","001","11:00-11:50am","Monday","25","9","0","","SOSB48"
"","","","","Discussion","10604R","001","10:00-10:50am","Wednesday","25","6","0","","VKC158"
"","","","","Discussion","10605R","001","11:00-11:50am","Wednesday","25","5","0","","VKC158"
"ANTH-250g","Race and Sexual Politics in Southeast Asia","","4.0 units","Lecture-Discussion","10619R","001","11:00-12:20pm","Tue, Thu","25","19","0","Janet Hoskins","GFS222"
"ANTH-263g","Exploring Culture Through Film","","4.0 units","Lecture","10660R","001","8:30-9:50am","Mon, Wed","100","32","0","","THH202"
"","","","","Discussion","10661R","001","11:00-11:50am","Monday","25","12","0","","VKC158"
"","","","","Discussion","10662R","001","12:00-12:50pm","Monday","25","11","0","","VKC158"
"","","","","Discussion","10663R","001","11:00-11:50am","Wednesday","25","2","0","","THH B9"
"","","","","Discussion","10664R","001","12:00-12:50pm","Wednesday","25","7","0","","THH B9"
"","","","","Lecture","10665R","001","11:00-12:20pm","Tue, Thu","100","30","0","Jennifer Cool","SGM101"
"","","","","Discussion","10666R","001","9:00-9:50am","Tuesday","25","5","0","","WPH206"
"","","","","Discussion","10667R","001","1:00-1:50pm","Tuesday","25","20","0","","VKC109"
"","","","","Discussion","10668R","001","8:00-8:50am","Thursday","25","1","0","","SOSB47"
"","","","","Discussion","10669R","001","2:00-2:50pm","Thursday","25","4","0","",""
"ANTH-314g","The Nature of Maya Civilization","","4.0 units","Lecture","10623R","001","12:30-1:50pm","Tue, Thu","100","41","0","Kenneth Seligson","GFS106"
"","","","","Discussion","10624R","001","8:00-8:50am","Tuesday","25","11","0","","VKC154"
"","","","","Discussion","10625R","001","11:00-11:50am","Tuesday","25","11","0","","WPHB26"
"","","","","Discussion","10626R","001","8:00-8:50am","Thursday","25","6","0","","VKC154"
"","","","","Discussion","10627R","001","11:00-11:50am","Thursday","25","13","0","",""
