b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"GEOL-105Lg","Planet Earth","","4.0 units","Lecture","24800R","001","9:30-10:50am","Tue, Thu","225","86","0","William Frank","SGM124"
"","","","","Lab","24802R","001","8:00-9:50am","Wednesday","15","3","0","","ZHS B54"
"","","","","Lab","24803R","001","8:00-9:50am","Friday","15","0","0","","ZHS B54"
"","","","","Lab","24804R","001","10:00-11:50am","Wednesday","15","10","0","","ZHS B54"
"","","","","Lab","24805R","001","10:00-11:50am","Friday","17","1","0","","ZHS B54"
"","","","","Lab","24806R","001","12:00-1:50pm","Tuesday","15","12","0","","ZHS B54"
"","","","","Lab","24808R","001","12:00-1:50pm","Wednesday","18","17","0","","ZHS B54"
"","","","","Lab","24809R","001","12:00-1:50pm","Thursday","15","6","0","","ZHS B54"
"","","","","Lab","24810R","001","12:00-1:50pm","Friday","15","3","0","","ZHS B54"
"","","","","Lab","24812R","001","2:00-3:50pm","Tuesday","15","8","0","","ZHS B54"
"","","","","Lab","24814R","001","2:00-3:50pm","Wednesday","15","6","0","","ZHS B54"
"","","","","Lab","24816R","001","2:00-3:50pm","Thursday","15","7","0","","ZHS B54"
"","","","","Lab","24818R","001","2:00-3:50pm","Friday","15","0","0","","ZHS B54"
"","","","","Lab","24819R","001","4:00-5:50pm","Tuesday","15","6","0","","ZHS B54"
"","","","","Lab","24821R","001","4:00-5:50pm","Wednesday","15","3","0","","ZHS B54"
"","","","","Lab","24823R","001","4:00-5:50pm","Thursday","15","4","0","","ZHS B54"
"GEOL-107Lg","Oceanography","","4.0 units","Lecture","24824R","001","3:30-4:55pm","Mon, Wed","225","225","0","Sarah Feakins","THH201"
"","","","","Lab","24826R","001","8:00-9:50am","Tuesday","15","15","0","","ZHS B61"
"","","","","Lab","24828R","001","8:00-9:50am","Wednesday","15","15","0","","ZHS B61"
"","","","","Lab","24830R","001","8:00-9:50am","Thursday","15","15","0","","ZHS B61"
"","","","","Lab","24832R","001","10:00-11:50am","Tuesday","15","15","0","","ZHS B61"
"","","","","Lab","24834R","001","10:00-11:50am","Wednesday","15","15","0","","ZHS B61"
"","","","","Lab","24835R","001","10:00-11:50am","Thursday","15","15","0","","ZHS B61"
"","","","","Lab","24836R","001","12:00-1:50pm","Tuesday","15","15","0","","ZHS B61"
"","","","","Lab","24837R","001","12:00-1:50pm","Wednesday","15","15","0","","ZHS B61"
"","","","","Lab","24838R","001","12:00-1:50pm","Thursday","15","15","0","","ZHS B61"
"","","","","Lab","24840R","001","12:00-1:50pm","Friday","15","15","0","","ZHS B61"
"","","","","Lab","24842R","001","2:00-3:50pm","Tuesday","15","15","0","","ZHS B61"
"","","","","Lab","24844R","001","2:00-3:50pm","Thursday","15","15","0","","ZHS B61"
"","","","","Lab","24846R","001","10:00-11:50am","Friday","15","15","0","","ZHS B61"
"","","","","Lab","24847R","001","4:00-5:50pm","Tuesday","15","15","0","","ZHS B61"
"","","","","Lab","24848R","001","4:00-5:50pm","Thursday","15","15","0","","ZHS B61"
"GEOL-108Lg","Crises of a Planet","","4.0 units","Lecture","24858R","001","11:00-12:20pm","Tue, Thu","225","76","0","Sylvain Barbot","SAL101"
"","","","","Lab","24860R","001","8:00-9:50am","Wednesday","15","4","0","","ZHS B56"
"","","","","Lab","24863R","001","10:00-11:50am","Wednesday","15","15","0","","ZHS B56"
"","","","","Lab","24865R","001","10:00-11:50am","Friday","15","0","0","","ZHS B56"
"","","","","Lab","24866R","001","12:00-1:50pm","Wednesday","15","15","0","","ZHS B56"
"","","","","Lab","24867R","001","12:00-1:50pm","Friday","15","2","0","","ZHS B56"
"","","","","Lab","24868R","001","2:00-3:50pm","Tuesday","15","12","0","","ZHS B56"
"","","","","Lab","24869R","001","2:00-3:50pm","Wednesday","15","15","0","","ZHS B56"
"","","","","Lab","24870R","001","2:00-3:50pm","Thursday","15","10","0","","ZHS B56"
"","","","","Lab","24871R","001","4:00-5:50pm","Tuesday","15","3","0","","ZHS B56"
"GEOL-150Lg","Climate Change","","4.0 units","Lecture","24920R","001","10:00-10:50am","MWF","135","49","0","Lowell Stott","SAL101"
"","","","","Lab","24924R","001","8:00-9:50am","Tuesday","15","2","0","","ZHS B65"
"","","","","Lab","24925R","001","10:00-11:50am","Tuesday","15","6","0","","ZHS B65"
"","","","","Lab","24926R","001","10:00-11:50am","Thursday","15","2","0","","ZHS B65"
"","","","","Lab","24927R","001","12:00-1:50pm","Tuesday","15","8","0","","ZHS B65"
"","","","","Lab","24928R","001","12:00-1:50pm","Wednesday","15","12","0","","ZHS B65"
"","","","","Lab","24929R","001","12:00-1:50pm","Thursday","15","5","0","","ZHS B65"
"","","","","Lab","24930R","001","2:00-3:50pm","Tuesday","15","2","0","","ZHS B65"
"","","","","Lab","24931R","001","4:00-5:50pm","Tuesday","15","3","0","","ZHS B65"
"","","","","Lab","24932R","001","2:00-3:50pm","Thursday","15","1","0","","ZHS B65"
"","","","","Lab","24934R","001","2:00-3:50pm","Tuesday","15","0","0","","ZHS B65"
"","","","","Lab","24935R","001","2:00-3:50pm","Wednesday","15","8","0","","ZHS B65"
"","","","","Lab","24936R","001","2:00-3:50pm","Thursday","15","0","0","","ZHS B65"
"GEOL-160Lg","Introduction to Geosystems","","4.0 units","Lecture","24937R","001","9:00-9:50am","MWF","75","75","0","Steve Lund","ZHS159"
"","","","","Lab","24938R","001","8:00-9:50am","Tuesday","15","7","0","","ZHS B63"
"","","","","Lab","24939R","001","8:00-9:50am","Thursday","15","1","0","","ZHS B63"
"","","","","Lab","24941R","001","10:00-11:50am","Tuesday","15","14","0","","ZHS B63"
"","","","","Lab","24943R","001","10:00-11:50am","Thursday","15","3","0","","ZHS B63"
"","","","","Lab","24944R","001","10:00-11:50am","Friday","15","9","0","","ZHS B63"
"","","","","Lab","24946R","001","12:00-1:50pm","Tuesday","15","14","0","","ZHS B63"
"","","","","Lab","24947R","001","12:00-1:50pm","Thursday","15","6","0","","ZHS B63"
"","","","","Lab","24948R","001","2:00-3:50pm","Thursday","15","12","0","","ZHS B63"
"","","","","Lab","24949R","001","4:00-5:50pm","Tuesday","15","9","0","","ZHS B63"
"GEOL-240Lg","Earthquakes","","4.0 units","Lecture","24950R","001","12:30-1:50pm","Tue, Thu","135","95","0","James Dolan","ZHS159"
"","","","","Lab","24952R","001","8:00-9:50am","Wednesday","15","4","0","","ZHS B63"
"","","","","Lab","24954R","001","10:00-11:50am","Wednesday","15","15","0","","ZHS B63"
"","","","","Lab","24958R","001","12:00-1:50pm","Wednesday","15","15","0","","ZHS B63"
"","","","","Lab","24960R","001","12:00-1:50pm","Friday","15","4","0","","ZHS B63"
"","","","","Lab","24962R","001","2:00-3:50pm","Tuesday","15","15","0","","ZHS B63"
"","","","","Lab","24964R","001","2:00-3:50pm","Wednesday","15","15","0","","ZHS B63"
"","","","","Lab","24966R","001","2:00-3:50pm","Friday","15","2","0","","ZHS B63"
"","","","","Lab","24968R","001","4:00-5:50pm","Wednesday","15","11","0","","ZHS B63"
"","","","","Lab","24970R","001","4:00-5:50pm","Thursday","15","14","0","","ZHS B63"
"GEOL-290L","Special Laboratory","","1.0 unit"
"","Tba","","1.0","Lecture-Lab","24945D","001","TBA","TBA","12","1","0","Frank Corsetti","OFFICE"
"GEOL-315L","Minerals and Earth Systems","","4.0 units","Lecture","24940R","001","11:00-12:20pm","Tue, Thu","20","6","0","Doug Hammond","ZHS200"
"","","","","Lab","24942R","001","12:00-1:50pm","Mon, Fri","20","6","0","","ZHS B65"
"GEOL-320L","Surficial Processes and Stratigraphic Systems","P","4.0 units","Lecture","25075R","001","2:00-3:20pm","Tue, Thu","20","8","0","Frank Corsetti","ZHS118"
"","","","","Lab","25076R","001","2:00-3:50pm","Wednesday","20","8","0","","ZHS B65"
"GEOL-425L","Data Analysis in the Earth and Environmental Sciences","","4.0 units","Lecture","25010R","001","10:30-11:50am","Wed, Fri","20","6","0","Julien Emile-Geay","ZHS118"
"","","","","Lab","25011R","001","2:00-3:50pm","Friday","20","6","0","","ZHS130"
"GEOL-445","Earth Climate: Past, Present, and Future","P","4.0 units","Lecture","33035R","001","1:00-1:50pm","MWF","30","0","0","Victoria Petryshyn","THH106"
"GEOL-460L","Geochemistry","P","4.0 units","Lecture","25007R","001","9:00-10:20am","Tue, Thu","20","6","0","Doug Hammond,<br /><a href="http://theamendlab.com">Jan Amend</a>","ZHS200"
"","","","","Lab","25009R","001","TBA","TBA","20","6","0","","OFFICE"
"GEOL-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","24994D","001","TBA","TBA","20","0","0","David Bottjer","OFFICE"
"GEOL-494x","Senior Thesis","","2.0 units","Lecture","24996R","001","TBA","TBA","10","0","0","David Bottjer","OFFICE"
"GEOL-501","Paleobiology","","3.0 units","Lecture","25005R","001","4:00-6:25pm","Tuesday","20","0","0","David Bottjer","ZHS200"
"GEOL-505","Introductory Graduate Seminar in Earth Sciences","MC","2.0 units","Lecture","25074R","001","10:00-11:50am","Monday","20","0","0","","ZHS200"
"GEOL-511L","Depositional Systems","","3.0 units","Lecture","25073R","001","TBA","TBA","20","0","0","William Berelson","OFFICE"
"","","","","Lab","25003R","001","TBA","TBA","20","0","0","","OFFICE"
"GEOL-551","Introduction to Seismology","","3.0 units","Lecture","25015R","001","TBA","TBA","20","0","0","Tom Jordan","OFFICE"
"GEOL-564","Isotope Geochemistry","","3.0 units","Lecture","25020R","001","TBA","TBA","20","0","0","Doug Hammond,<br /><a href="http://earth.usc.edu/~joshwest/website/">Joshua West</a>","OFFICE"
"GEOL-590","Directed Research","","1.0-12.0 units","Lecture","25040D","001","TBA","TBA","40","0","0","Frank Corsetti","OFFICE"
"GEOL-593","Practicum in Teaching the Liberal Arts","","2.0 units","Lecture","25041R","001","1:30-3:30pm","Monday","20","0","0","","ZHS118"
"GEOL-594a","Master\'s Thesis","C","2.0 units","Lecture","25042D","001","TBA","TBA","30","0","0","","OFFICE"
"GEOL-594b","Master\'s Thesis","PC","2.0 units","Lecture","25044D","001","TBA","TBA","30","0","0","","OFFICE"
"GEOL-594z","Master\'s Thesis","PC","0.0 units","Lecture","25046D","001","TBA","TBA","30","0","0","","OFFICE"
"GEOL-609","Seminar in Earthquake Physics","","2.0 units, max 6","Lecture","25006R","001","TBA","TBA","20","0","0","Yehuda Ben-Zion","OFFICE"
"GEOL-790","Research","","1.0-12.0 units","Lecture","25060D","001","TBA","TBA","40","0","0","Frank Corsetti","OFFICE"
"GEOL-794a","Doctoral Dissertation","C","2.0 units","Lecture","25062D","001","TBA","TBA","30","0","0","","OFFICE"
"GEOL-794b","Doctoral Dissertation","PC","2.0 units","Lecture","25064D","001","TBA","TBA","30","0","0","","OFFICE"
"GEOL-794c","Doctoral Dissertation","PC","2.0 units","Lecture","25066D","001","TBA","TBA","30","0","0","","OFFICE"
"GEOL-794d","Doctoral Dissertation","PC","2.0 units","Lecture","25068D","001","TBA","TBA","30","0","0","","OFFICE"
"GEOL-794z","Doctoral Dissertation","PC","0.0 units","Lecture","25070D","001","TBA","TBA","30","0","0","","OFFICE"
'
