b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"GERO-200","Gerontology: The Science of Adult Development","","4.0 units","Lecture","36200R","001","TBA","TBA","200","72","0","John Walsh,<br />Julia Walsh","ONLINE"
"GERO-310","Physiology of Aging","","4.0 units","Lecture-Discussion","36210R","001","2:00-3:50pm","Mon, Wed","60","14","0","John Walsh","GER124"
"GERO-320g","Psychology of Adult Development","","4.0 units","Lecture","36220D","001","10:00-11:50am","Mon, Wed","15","0","0","Elizabeth Zelinski","GER125"
"GERO-321","Introduction to Psychology and Aging","","4.0 units","Lecture","36221D","001","10:00-11:50am","Mon, Wed","15","1","0","Elizabeth Zelinski","GER125"
"GERO-330","Society and Adult Development","","4.0 units","Lecture","36225R","001","2:00-4:50pm","Tuesday","34","9","0","George Shannon","GER230"
"GERO-350","Administrative Problems in Aging","","2.0-4.0 units","Lecture","36235R","001","2:00-4:50pm","Monday","20","7","0","Tameka Brown","GER224"
"GERO-380m","Diversity in Aging","","4.0 units","Lecture","36242R","001","TBA","TBA","200","56","0","Julie Bates,<br />Tameka Brown","ONLINE"
"GERO-411L","Physiology, Nutrition, and Aging","","2.0-4.0 units","Lecture-Lab","36243R","001","4:00-5:50pm","Tuesday","15","6","0","Carin Kreutzer","GER114"
"GERO-435m","Women and Aging: Psychological, Social, and Political Implications","","4.0 units","Lecture","36245R","001","1:00-3:50pm","Tuesday","30","5","0","Laura Rath","GER224"
"GERO-461","Seminar in Molecular and Computational Biology","C","2.0 units"
"","The Cellular Basis of Learning and Memory","","2.0","Lecture","13056D","001","4:00-5:50pm","Tuesday","15","5","0","Donald Arnold","RRI221"
"GERO-475","Ethical Issues in Geriatric Health Care","","4.0 units","Lecture","36275R","001","9:00-11:50am","Tuesday","15","3","0","Robert Tager","GER125"
"GERO-483","Global Health and Aging","","4.0 units","Lecture","36257R","001","10:00-11:50am","Tue, Thu","30","3","0","Jessica Ho","GER230"
"GERO-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","36280D","001","TBA","TBA","15","1","0","","OFFICE"
"GERO-491","Practicum","","2.0-8.0 units, max 8","Lecture","36282D","001","12:00-2:50pm","Wednesday","15","1","0","Anna Quyen Nguyen","GER125"
"GERO-495","Practicum in Geriatric Care","","4.0 units","Lecture","36289D","001","9:00-11:50am","Tuesday","15","2","0","Anna Quyen Nguyen,<br /><a href="http://workday">Roberto Vicinanza</a>","GER114"
"GERO-497a","Honors Seminar","M","2.0 units","Lecture","36292D","001","TBA","TBA","10","1","0","Caroline Cicero","OFFICE"
"GERO-497b","Honors Seminar","PM","2.0 units","Lecture","36293D","001","TBA","TBA","10","1","0","Caroline Cicero","OFFICE"
"GERO-497c","Honors Seminar","PM","2.0-4.0 units","Lecture","36294D","001","TBA","TBA","10","1","0","Caroline Cicero","OFFICE"
"GERO-500","Perspectives on a Changing Society: An Introduction to Aging","","4.0 units","Lecture","36297R","001","1:00-3:50pm","Tuesday","30","5","0","Caroline Cicero","GER124"
"","","","","Lecture","36300D","607","TBA","TBA","40","0","0","Caroline Cicero","ONLINE"
"GERO-501","Applied Legal and Regulatory Issues in Aging","","4.0 units","Lecture","36299D","607","TBA","TBA","25","3","0","Julia Walsh","ONLINE"
"","","","","Lecture","36298R","001","11:30-2:20pm","Friday","20","5","0","Julia Walsh","GER230"
"GERO-502","Marketing and Shifts in Consumer Decision Making","","4.0 units","Lecture","36302D","607","TBA","TBA","25","4","0","Joshua Johnson,<br />James Biggs","ONLINE"
"","","","","Lecture","36301R","001","12:30-3:20pm","Friday","35","18","0","Joshua Johnson,<br />James Biggs","GER115"
"GERO-504","Current Issues in Aging Services Management","","4.0 units","Lecture","36304R","001","4:00-6:50pm","Friday","30","8","0","Joshua Johnson,<br />James Biggs","TBA"
"","","","","Lecture","36305D","607","TBA","TBA","25","3","0","Joshua Johnson,<br />James Biggs","ONLINE"
"GERO-507","End of Life Care","","4.0 units","Lecture","36307D","607","TBA","TBA","25","6","0","Susan Enguidanos","ONLINE"
"","","","","Lecture","36306R","001","9:00-11:50am","Wednesday","35","11","0","Susan Enguidanos","GER230"
"GERO-509","Mindful Aging: Spirituality, Gratitude, and Resilience","","4.0 units","Lecture","36319D","001","9:00-11:50am","Wednesday","30","1","0","Leah Buturain Schneider",""
"","","","","Lecture","36329D","607","TBA","TBA","15","0","0","Leah Buturain Schneider","TBA"
"GERO-510","Physiology of Development and Aging","","4.0 units","Lecture","36309R","001","2:00-4:50pm","Wednesday","35","6","0","Changhan Lee","GER230"
"","","","","Lecture","36316D","607","TBA","TBA","25","1","0","Changhan Lee","ONLINE"
"GERO-511","Fundamentals of Clinical Nutrition Screening and Assessment","C","4.0 units","Lecture","36321D","001","4:00-6:50pm","Tuesday","20","0","0","","GER115"
"","","","","Lecture","36322D","607","TBA","TBA","15","0","0","","ONLINE"
"GERO-513","Fundamentals of Nutrition: Macronutrients","C","3.0 units","Lecture","36311D","001","1:00-3:20pm","Tuesday","18","0","0","Roberto Vicinanza","GER115"
"","","","","Lecture","36313D","607","TBA","TBA","15","0","0","Roberto Vicinanza","ONLINE"
"GERO-515L","Food Production and Food Service Management","C","4.0 units","Lecture","36326D","607","TBA","TBA","15","0","0","","ONLINE"
"","","","","Lecture-Lab","36324D","001","4:00-6:50pm","Thursday","18","0","0","","GER230"
"GERO-518","Current Topics in Clinical Nutrition","C","4.0 units","Lecture","36328D","607","TBA","TBA","15","1","0","Carin Kreutzer","ONLINE"
"","","","","Lecture","36327D","001","9:00-11:50am","Friday","15","0","0","Carin Kreutzer","GER115"
"GERO-520","Life Span Developmental Psychology","","2.0-4.0 units","Lecture","36317R","001","1:00-3:50pm","Thursday","65","4","0","Paul Nash","GER124"
"","","","","Lecture","36318D","607","TBA","TBA","40","4","0","Paul Nash","ONLINE"
"GERO-530","Life Span Developmental Sociology","","4.0 units","Lecture","36330R","001","3:00-5:50pm","Monday","35","4","0","Paul Nash,<br /><a href="http://gero.usc.edu/faculty/caroline-cicero/">Caroline Cicero</a>","GER115"
"","","","","Lecture","36331D","607","TBA","TBA","35","8","0","Paul Nash,<br /><a href="http://gero.usc.edu/faculty/caroline-cicero/">Caroline Cicero</a>","ONLINE"
"GERO-540","Social Policy and Aging","","4.0 units","Lecture","36333R","001","1:00-3:50pm","Wednesday","45","10","0","Jon Pynoos,<br />Reginald Tucker-Seeley","GER115"
"","","","","Lecture","36334D","607","TBA","TBA","35","11","0","Jon Pynoos,<br />Reginald Tucker-Seeley","ONLINE"
"GERO-541","Health Care Delivery Models: Comparative Approaches","","4.0 units","Lecture","36336D","607","TBA","TBA","25","2","0","Sally Ramirez","ONLINE"
"","","","","Lecture","36335R","001","5:00-7:50pm","Tuesday","30","4","0","Sally Ramirez","GER230"
"GERO-555","Integrating Gerontology: A Multidisciplinary Approach","","4.0 units","Lecture","36349D","607","TBA","TBA","25","2","0","George Shannon","ONLINE"
