b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"GESM-110g","Seminar in the Arts","C","4.0 units"
"","Looking at Language","","4.0","Lecture","35274D","001","12:30-1:50pm","Tue, Thu","2","0","0","Alice Gambrell","GFS228"
"","Authenticity and Popular Music","","4.0","Lecture","35276D","001","12:30-1:50pm","Tue, Thu","2","0","0","Alice Echols","WPH103"
"","Pioneers of the Impossibe--Poetry and Fiction through Regions of Unlikeness","","4.0","Lecture","35277D","001","12:30-1:50pm","Tue, Thu","2","1","0","Mark Irwin","VKC255"
"","Listening and Making: Poetry and Its Forms","","4.0","Lecture","35278D","001","12:30-1:50pm","Tue, Thu","2","1","0","Molly Bendall","VKC155"
"","Medieval Art and Christian Ritual","","4.0","Lecture","35279D","001","2:00-3:20pm","Tue, Thu","2","0","0","Carolyn Malone","VKC154"
"","Art and Nuclear Technology, Destruction and Contamination","","4.0","Lecture","35280D","001","2:00-3:20pm","Mon, Wed","2","0","0","Rika Hiro","VKC255"
"","Ecology--Literature and Culture","","4.0","Lecture","35284D","001","5:00-6:20pm","Mon, Wed","2","0","0","Susan McCabe","VKC255"
"","Six Feet Under--Death and Dying in Contemporary American Fiction","","4.0","Lecture","35286D","001","6:30-7:50pm","Mon, Wed","2","1","0","Susan Segal","THH209"
"GESM-111g","Seminar in the Arts","C","4.0 units"
"","Surveillance Culture","","4.0","Lecture","35291D","001","9:00-10:50am","Tue, Thu","2","0","0","","HAR211"
"","Shelter","","4.0","Lecture","35292D","001","10:00-11:20am","Mon, Wed","2","0","0","Lauren Matchison","WAH212"
"","Performing Revolutions--Global History of Theatre and Social Change","","4.0","Lecture","35293D","001","10:00-11:50am","Mon, Wed","2","0","0","Brent Blair",""
"","The Modern Movement in Architecture","","4.0","Lecture","35294D","001","11:00-12:20pm","Tue, Thu","2","0","0","James Steele","VKC154"
"","Making Paintings","","4.0","Lecture","35295D","001","12:00-1:50pm","Mon, Wed","2","0","0","","HAR202"
"","Making Drawings","","4.0","Lecture","35296D","001","12:00-1:50pm","Tue, Thu","2","0","0","","WAH118"
"","Images of the Self in Music of the Romantic Era","","4.0","Lecture","35297D","001","12:00-1:50pm","Tue, Thu","2","0","0","Leah Morrison","KDC241"
"","Asian and Asian American Culture on Stage and Film","","4.0","Lecture","35298D","001","12:00-1:50pm","Tue, Thu","2","0","0","Velina Hasu Houston",""
"","I Too, Am American--Theatre and Cultural Literacy","","4.0","Lecture","35299D","001","12:00-1:50pm","Tue, Thu","2","0","0","Anita Dashiell-Sparks",""
"","Jazz:America\'s Music","","4.0","Lecture","35300D","001","2:00-3:50pm","Mon, Wed","2","0","0","John Thomas","MUS204"
"","The Theatre Scene","","4.0","Lecture","35301D","001","2:00-3:50pm","Mon, Wed","2","0","0","Melinda Finberg",""
"","Eco-Theatre","","4.0","Lecture","35302D","001","2:00-3:50pm","Mon, Wed","2","0","0","Oliver Mayer",""
"","The Holocaust and the Creative Impulse","","4.0","Lecture","35303D","001","2:00-3:50pm","Tue, Thu","2","1","0","Nick Strimple",""
"","Health and Fitness through Dance","","4.0","Lecture","35304D","001","4:00-5:40pm","Tue, Thu","2","0","0","Margo Apostolos","KDC241"
"","China Goes Un-Pop--Contemporary Chinese Performance","","4.0","Lecture","35305D","001","4:00-5:50pm","Mon, Wed","2","0","0","Meiling Cheng",""
"GESM-120g","Seminar in Humanistic Inquiry","C","4.0 units"
"","Immigration and Assimilation -- the U.S. Catholic Experience","","4.0","Lecture","35328D","001","8:30-9:50am","Mon, Wed","2","1","0","James Lewis Heft","VKC255"
"","The Romantic Hero(ine) in Russia and the West","","4.0","Lecture","35332D","001","9:30-10:50am","Tue, Thu","2","0","0","Kelsey Rubin-Detlev","VKC154"
"","Strangers and Strange Lands","","4.0","Lecture","35333D","001","9:30-10:50am","Tue, Thu","2","0","0","Emily Zeamer","VKC158"
"","Plants Attack! Botany in Fiction, Film and Ecological Thought","","4.0","Lecture","35334D","001","9:30-10:50am","Tue, Thu","2","0","0","Antonia Szabari","VKC155"
"","Brasil/Brazil-- Figuration of Brazil and Its Other.","","4.0","Lecture","35335D","001","9:30-10:50am","Tue, Thu","2","0","0","Brenno Kaneyasu Maranhao","VKC256"
"","Science in Western Philosophy","","4.0","Lecture","35339D","001","10:00-10:50am","MWF","2","0","0","Zlatan Damnjanovic","VKC254"
"","Strangers and Strange Lands","","4.0","Lecture","35342D","001","11:00-12:20pm","Tue, Thu","2","0","0","Emily Zeamer","VKC158"
"","Plants Attack! Botany in Fiction, Film and Ecological Thought","","4.0","Lecture","35343D","001","11:00-12:20pm","Tue, Thu","2","0","0","Antonia Szabari","VKC155"
"","Brasil/Brazil--Figuration of Brazil and Its Other","","4.0","Lecture","35344D","001","11:00-12:20pm","Tue, Thu","2","1","0","Brenno Kaneyasu Maranhao","VKC256"
"","The Power of Place","","4.0","Lecture","35345D","001","11:00-12:20pm","Tue, Thu","2","0","0","Karen Halttunen","WPH202"
"","Death and Gender in Media and Society","","4.0","Lecture","35346D","001","11:00-12:20pm","Tue, Thu","2","0","0","Diana Blaine","VKC200"
"","The Philosophy of Death and Dying","","4.0","Lecture","35347D","001","11:00-12:20pm","Tue, Thu","2","0","0","Porter Williams","GFS229"
"","Transforming Italy: Italian Literature Today","","4.0","Lecture","35348D","001","11:00-12:20pm","Tue, Thu","2","0","0","James Fortney","WPH203"
"","Women in Ancient Literature","","4.0","Lecture","35349D","001","11:00-12:20pm","Tue, Thu","2","0","0","Kristine Garroway","VPD107"
"","Contemporary Korean Film and Culture","","4.0","Lecture","35350D","001","11:00-12:20pm","Tue, Thu","2","0","0","Youngmin Choe","VKC255"
"","Master Pieces of the Short Story","","4.0","Lecture","35352D","001","12:30-1:50pm","Tue, Thu","2","0","0","Alexander Zholkovsky","VKC158"
"","Literature of Resistance","","4.0","Lecture","35353D","001","12:30-1:50pm","Tue, Thu","2","0","0","Yaffa Weisman","VKC256"
"","Decline and Fall","","4.0","Lecture","35356D","001","12:30-1:50pm","Tue, Thu","2","0","0","Frederic Clark","VKC200"
"","On Beauty","","4.0","Lecture","35357D","001","12:30-1:50pm","Tue, Thu","2","0","0","Daniel Tiffany","GFS229"
"","Being Black in Britain, 1500-2000","","4.0","Lecture","35358D","001","12:30-1:50pm","Tue, Thu","2","0","0","Lindsay O\'Neill",""
"","Reading "Black Love"","","4.0","Lecture","35359D","001","12:30-1:50pm","Tue, Thu","2","1","0","Lanita Jacobs","KAP148"
"","Reading Scripture: The Hebrew Bible, New Testament and Qur\'an in Dialogue","","4.0","Lecture","35363D","001","2:00-3:20pm","Mon, Wed","2","0","0","Reuven Firestone","WPH203"
"","Kurosawa\'s Cosmos","","4.0","Lecture","35364D","001","2:00-3:20pm","Mon, Wed","2","0","0","Kerim Yasar","WPH206"
"","Vampires and Other Monsters in World Literature, Film and Art","","4.0","Lecture","35366D","001","2:00-3:20pm","Mon, Wed","2","0","0","Ellen Oliveira","LVL3V"
"","Tell Me a Story--American Novels that Made a Difference","","4.0","Lecture","35369D","001","2:00-3:20pm","Mon, Wed","2","0","0","Jessica Cantiello","GFS108"
"","Slavery and Salvation","","4.0","Lecture","35370D","001","2:00-3:20pm","Tue, Thu","2","0","0","Kelsey Moss","LVL3Y"
"","Self and Society in Ancient Athenian Drama","","4.0","Lecture","35371D","001","2:00-3:20pm","Tue, Thu","2","0","0","Susan Lape","VKC155"
"","The Uncanny in Medieval and Renaissance Europe","","4.0","Lecture","35372D","001","2:00-3:20pm","Tue, Thu","2","0","0","Thea Tomaini","VKC252"
"","Part of a Larger Story--American Jewish Experience in Literature","","4.0","Lecture","35373D","001","2:00-3:20pm","Tue, Thu","2","0","0","Bruce Phillips","WPH202"
"","The German Experience","","4.0","Lecture","35374D","001","2:00-3:20pm","Tue, Thu","2","0","0","John Arensmeyer","WPH203"
"","Gabriel Garcia Marquez and Magical Realism","","4.0","Lecture","35375D","001","2:00-3:20pm","Tue, Thu","2","0","0","Marjorie Becker","VKC200"
"","On Beauty","","4.0","Lecture","35376D","001","2:00-3:20pm","Tue, Thu","2","0","0","Daniel Tiffany","GFS229"
