b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AMST-101mgw","Race and Class in Los Angeles","","4.0 units","Lecture","10310R","001","12:30-1:50pm","Tue, Thu","20","20","0","Natalia Molina","THH301"
"","","","","Discussion","10311R","001","12:00-12:50pm","Wednesday","25","4","0","","WPHB26"
"","","","","Discussion","10312R","001","1:00-1:50pm","Thursday","25","0","0","",""
"","","","","Discussion","10313R","001","9:00-9:50am","Wednesday","25","5","0","","THH B10"
"","","","","Discussion","10314R","001","10:00-10:50am","Wednesday","25","9","0","","SOSB48"
"","","","","Discussion","10315R","001","10:00-10:50am","Friday","25","1","0","","WPH107"
"","","","","Discussion","10316R","001","9:00-9:50am","Friday","25","1","0","","WPH107"
"AMST-135mgw","Peoples and Cultures of the Americas","","4.0 units","Lecture","10320R","001","9:30-10:50am","Tue, Thu","20","20","0","Alicia Chavez","SGM101"
"","","","","Discussion","10321R","001","10:00-10:50am","Friday","25","3","0","","VKC210"
"","","","","Discussion","10322R","001","11:00-11:50am","Wednesday","25","2","0","","SOSB48"
"","","","","Discussion","10323R","001","12:00-12:50pm","Thursday","25","4","0","","WPH101"
"","","","","Discussion","10324R","001","1:00-1:50pm","Thursday","25","11","0","","VKC109"
"AMST-252mgw","Black Social Movements in the U.S.","","4.0 units","Lecture","10381R","001","12:00-1:50pm","Mon, Wed","12","12","0","Francille Wilson","THH202"
"","","","","Discussion","10382R","001","9:00-9:50am","Thursday","25","4","0","","THH110"
"","","","","Discussion","10387R","001","11:00-11:50am","Tuesday","25","8","0","","SOSB48"
"AMST-274mgw","Exploring Ethnicity Through Film","","4.0 units","Lecture","10390R","001","11:00-12:20pm","Tue, Thu","150","13","0","","THH201"
"","","","","Discussion","10391R","001","10:00-10:50am","Wednesday","25","3","0","","SOSB52"
"","","","","Discussion","10392R","001","12:00-12:50pm","Monday","25","3","0","","THHB10"
"","","","","Discussion","10393R","001","11:00-11:50am","Wednesday","26","2","0","","SOSB52"
"","","","","Discussion","10394R","001","4:00-4:50pm","Monday","25","2","0","","VKC155"
"","","","","Discussion","10395R","001","4:00-4:50pm","Wednesday","25","3","0","","SOSB48"
"","","","","Discussion","10396R","001","5:00-5:50pm","Wednesday","26","0","0","","SOSB48"
"BUCO-333mw","Communication in the Working World - Managing Diversity","","4.0 units","Lecture","15168R","001","12:00-1:50pm","Tue, Thu","36","10","0","Naomi Warren","ACC205"
"COMM-324mw","Intercultural Communication","","4.0 units","Lecture","20520R","001","2:00-3:20pm","Mon, Wed","90","25","0","Jillian Pierson","ASC204"
"CORE-104gw","Change and the Future: Thematic Option Honors Program","","4.0 units","Lecture-Discussion","63535D","001","12:30-1:50pm","Tue, Thu","19","15","0","Richard Fox","LVL3B"
"","","","","Lecture","63532D","001","2:00-3:20pm","Tue, Thu","40","10","0","Neetu Khanna","VKC203"
"","","","","Discussion","63533D","001","10:00-10:50am","Friday","21","5","0","","SOSB48"
