b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AHIS-120gp","Foundations of Western Art: Prehistoric to Renaissance","","4.0 units","Lecture","11805R","001","12:30-1:50pm","Tue, Thu","176","88","0","Hector Reyes","SGM123"
"","","","","Discussion","11806R","001","9:00-9:50am","Friday","22","16","0","","THH112"
"","","","","Discussion","11807R","001","9:00-9:50am","Friday","22","4","0","","VKC109"
"","","","","Discussion","11808R","001","10:00-10:50am","Friday","22","22","0","","VKC109"
"","","","","Discussion","11809R","001","11:00-11:50am","Friday","22","21","0","","VKC109"
"","","","","Discussion","11810R","001","12:00-12:50pm","Friday","22","13","0","","VKC109"
"","","","","Discussion","11811R","001","1:00-1:50pm","Friday","22","7","0","","VKC109"
"","","","","Discussion","11812R","001","2:00-2:50pm","Friday","22","4","0","","VKC109"
"","","","","Discussion","11813R","001","3:00-3:50pm","Friday","22","1","0","","VKC109"
"AHIS-125gp","Arts of Asia: Antiquity to 1300","","4.0 units","Lecture","11838R","001","10:00-11:20am","Mon, Wed","88","23","0","Rika Hiro","THH102"
"","","","","Discussion","11839R","001","9:00-9:50am","Thursday","22","5","0","","VKC257"
"","","","","Discussion","11840R","001","10:00-10:50am","Thursday","22","7","0","","VKC257"
"","","","","Discussion","11841R","001","11:00-11:50am","Thursday","22","6","0","",""
"","","","","Discussion","11842R","001","12:00-12:50pm","Thursday","22","5","0","","VKC111"
"AMST-301gp","America, the Frontier, and the New West","","4.0 units","Lecture","10408R","001","2:00-3:20pm","Mon, Wed","40","40","0","Chrisshonna Nieva","THH301"
"","","","","Discussion","10409R","001","9:00-9:50am","Thursday","25","7","0","","WPH206"
"","","","","Discussion","10410D","001","11:00-11:50am","Friday","25","0","0","","THH207"
"","","","","Discussion","10411R","001","12:00-12:50pm","Monday","25","6","0","","SOSB48"
"","","","","Discussion","10412R","001","12:00-12:50pm","Wednesday","25","9","0","","SOSB48"
"","","","","Discussion","10413R","001","1:00-1:50pm","Wednesday","25","8","0","","SOSB48"
"","","","","Discussion","10414R","001","1:00-1:50pm","Monday","25","10","0","","SOSB48"
"ANTH-316mgp","Native Americans in American Public Life","","4.0 units","Lecture","10680R","001","3:30-4:50pm","Tue, Thu","100","71","0","Tok Thompson","THH301"
"","","","","Discussion","10681R","001","9:00-9:50am","Tuesday","25","16","0","","VKC111"
"","","","","Discussion","10682R","001","10:00-10:50am","Tuesday","25","25","0","",""
"","","","","Discussion","10683R","001","9:00-9:50am","Thursday","25","8","0","","SOSB41"
"","","","","Discussion","10684R","001","10:00-10:50am","Thursday","25","22","0","","SOSB41"
"CLAS-280gp","Classical Mythology in Art and Literature","","4.0 units","Lecture","19800R","001","2:00-3:20pm","Tue, Thu","100","18","0","Lucas Herchenroeder","THH102"
"","","","","Discussion","19801R","001","8:00-8:50am","Friday","25","3","0","","VKC160"
"","","","","Discussion","19802R","001","9:00-9:50am","Friday","25","3","0","","VKC160"
"","","","","Discussion","19803R","001","10:00-10:50am","Friday","25","4","0","","VKC160"
"","","","","Discussion","19804R","001","11:00-11:50am","Friday","25","8","0","","VKC160"
"CLAS-320mgp","Diversity and the Classical Western Tradition","","4.0 units","Lecture","19810R","001","12:30-1:50pm","Tue, Thu","150","64","0","Daniel Richter","THH101"
"","","","","Discussion","19811R","001","8:00-8:50am","Friday","25","0","0","","VKC155"
"","","","","Discussion","19812R","001","9:00-9:50am","Friday","25","13","0","","VKC155"
"","","","","Discussion","19814R","001","10:00-10:50am","Friday","25","16","0","","VKC155"
"","","","","Discussion","19816R","001","11:00-11:50am","Friday","25","13","0","","VKC155"
"","","","","Discussion","19817R","001","12:00-12:50pm","Friday","25","8","0","","VKC155"
"","","","","Discussion","19818R","001","1:00-1:50pm","Friday","25","14","0","","VKC155"
"COLT-101gp","Masterpieces and Masterminds: Literature and Thought","","4.0 units","Lecture","22000R","001","11:00-12:20pm","Tue, Thu","45","12","0","Vincent Farenga","THH202"
"","","","","Discussion","22001R","001","9:00-9:50am","Friday","10","0","0","","VKC108"
"","","","","Discussion","22002R","001","10:00-10:50am","Friday","10","4","0","","THH213"
"","","","","Discussion","22003R","001","11:00-11:50am","Friday","10","4","0","","VKC108"
"","","","","Discussion","22004R","001","12:00-12:50pm","Friday","10","4","0","","VKC107"
"CORE-102gp","Culture and Values: Thematic Option Honors Program","","4.0 units","Lecture-Discussion","63509D","001","12:00-1:50pm","Mon, Wed","28","0","0","Veli N Yashin","VKC211"
"","","","","Lecture-Discussion","63510D","001","2:00-3:50pm","Tue, Thu","28","0","0","Daniel Richter","VKC157"
"","","","","Lecture-Discussion","63511D","001","10:00-11:50am","Mon, Wed","28","0","0","David Albertson","WPH103"
"","","","","Lecture-Discussion","63512D","001","2:00-3:50pm","Mon, Wed","28","0","0","Emily Anderson","WPH101"
"","","","","Lecture-Discussion","63513D","001","10:00-11:50am","Tue, Thu","28","0","0","Margaret Russett","ZHS360"
"","","","","Lecture-Discussion","63514D","001","10:00-11:50am","Mon, Wed","28","0","0","Anthony Kemp","VKC257"
"","","","","Lecture-Discussion","63515D","001","12:00-1:50pm","Tue, Thu","28","0","0","William Handley","LVL13"
"","","","","Lab","63516D","001","5:00-8:00pm","Monday","200","0","0","","THH208"
"","","","","Lab","63517D","001","5:00-8:00pm","Tuesday","120","0","0","","THH208"
"","","","","Lab","63518D","001","TBA","TBA","5","0","0","","OFFICE"
"CRIT-150gp","Histories of Art, Design and Visual Culture","","4.0 units","Lecture","33815R","001","4:00-5:20pm","Mon, Wed","150","17","0","","HAR101"
"","","","","Discussion","33816R","001","9:00-9:50am","Friday","30","4","0","",""
"","","","","Discussion","33817R","001","10:00-10:50am","Friday","30","5","0","",""
"","","","","Discussion","33818R","001","11:00-11:50am","Friday","30","5","0","",""
"","","","","Discussion","33819R","001","12:00-12:50pm","Friday","30","3","0","",""
"DANC-342gp","International and Historical Perspectives on Dance","","4.0 units","Lecture","22517D","001","2:00-3:40pm","Tue, Thu","60","37","0","Alison D\'Amato","KDC235"
"EALC-344gp","Korean Culture from Ancient to Modern Times","","4.0 units","Lecture","25565R","001","2:00-3:20pm","Mon, Wed","100","100","0","Sunyoung Park","MHP101"
"","","","","Discussion","25566R","001","9:00-9:50am","Monday","25","25","0","","VKC154"
"","","","","Discussion","25567R","001","9:00-9:50am","Monday","25","25","0","","VKC155"
"","","","","Discussion","25568R","001","9:00-9:50am","Wednesday","25","25","0","","VKC155"
"","","","","Discussion","25569R","001","9:00-9:50am","Wednesday","25","25","0","","VKC151"
"EALC-350gp","Chinese Civilization","","4.0 units","Lecture","25307R","001","2:00-3:20pm","Wed, Fri","100","58","0","Bettine Birge","WPHB27"
"","","","","Discussion","25308R","001","2:00-2:50pm","Monday","25","25","0","","SOSB48"
"","","","","Discussion","25309R","001","3:00-3:50pm","Monday","25","7","0","","SOSB48"
"","","","","Discussion","25310R","001","2:00-2:50pm","Monday","25","25","0","","SOSB52"
"","","","","Discussion","25311R","001","3:00-3:50pm","Monday","25","1","0","","SOSB52"
"EASC-150gp","East Asian Societies","","4.0 units","Lecture","25800R","001","2:00-3:20pm","Tue, Thu","190","155","0","Kathryn Page Lippsmeyer","THH201"
"","","","","Discussion","25802R","001","9:00-9:50am","Monday","25","25","0","","VKC151"
"","","","","Discussion","25804R","001","11:00-11:50am","Monday","25","25","0","","VKC155"
"","","","","Discussion","25807R","001","9:00-9:50am","Tuesday","25","10","0","","VKC252"
"","","","","Discussion","25810R","001","10:00-10:50am","Wednesday","25","25","0","","VKC205"
"","","","","Discussion","25812R","001","12:00-12:50pm","Wednesday","25","25","0","","VKC151"
"","","","","Discussion","25816R","001","9:00-9:50am","Thursday","25","6","0","","VKC252"
"","","","","Discussion","25820R","001","11:00-11:50am","Friday","25","19","0","","VKC207"
"","","","","Discussion","25821R","001","12:00-12:50pm","Friday","25","20","0","","VKC207"
"HIST-101gp","State and Society in the Ancient World","","4.0 units","Lecture","37008R","001","8:30-9:50am","Mon, Wed","30","30","0","Maya Maskarinec","THH102"
"","","","","Discussion","37009R","001","10:00-10:50am","Wednesday","25","17","0","","THH B10"
"","","","","Discussion","37010R","001","11:00-11:50am","Wednesday","25","3","0","","THH B10"
"","","","","Discussion","37011R","001","12:00-12:50pm","Wednesday","25","7","0","","THH B10"
"","","","","Discussion","37012R","001","1:00-1:50pm","Wednesday","25","3","0","","THH B10"
"HIST-104gp","Modern Europe","","4.0 units","Lecture","36930R","001","9:30-10:50am","Tue, Thu","100","92","0","Aro Velmet","THH301"
"","","","","Discussion","36931R","001","8:00-8:50am","Friday","25","18","0","","VKC151"
"","","","","Discussion","36932R","001","9:00-9:50am","Friday","25","25","0","","VKC151"
"","","","","Discussion","36933R","001","10:00-10:50am","Friday","25","24","0","","VKC151"
"","","","","Discussion","36934R","001","11:00-11:50am","Friday","25","25","0","","VKC151"
"HIST-107gp","Introduction to the History of Japan","","4.0 units","Lecture","36921R","001","12:30-1:50pm","Tue, Thu","100","37","0","Joan Piggott","SOS B2"
"","","","","Discussion","36922R","001","9:00-9:50am","Friday","25","14","0","","VKC252"
"","","","","Discussion","36923R","001","10:00-10:50am","Friday","25","23","0","","VKC252"
"HIST-240gp","History of California","","4.0 units","Lecture","37040R","001","11:00-12:20pm","Tue, Thu","50","50","0","William Deverell","THH301"
"","","","","Discussion","37033R","001","9:00-9:50am","Friday","25","14","0","","THH203"
"","","","","Discussion","37034R","001","10:00-10:50am","Friday","25","12","0","","WPH201"
"","","","","Discussion","37035R","001","11:00-11:50am","Friday","25","21","0","","THH214"
"","","","","Discussion","37036R","001","9:00-9:50am","Friday","25","3","0","","THH B9"
"HIST-352gp","The American Civil War","","4.0 units","Lecture","37060D","001","2:00-3:20pm","Tue, Thu","19","18","0","","VKC205"
"JS-100gp","Jewish History","","4.0 units","Lecture","38250R","001","2:00-3:20pm","Mon, Wed","30","30","0","Candice Levy,<br />Leah Hochman","MRF340"
"","","","","Discussion","38251R","001","3:30-4:20pm","Wednesday","25","9","0","","THH B9"
"","","","","Discussion","38252R","001","3:30-4:20pm","Monday","25","11","0","","THH B9"
"","","","","Discussion","38253R","001","4:00-4:50pm","Tuesday","25","8","0","","THHB9"
"","","","","Discussion","38260R","001","4:30-5:20pm","Wednesday","25","2","0","","THH B9"
"JS-180gp","Judaism","","4.0 units","Lecture","38261R","001","2:00-3:20pm","Mon, Wed","12","12","0","Leah Hochman","VKC151"
"MDES-345p","Power and Authority in the Middle East","","4.0 units","Lecture","41537R","001","10:00-10:50am","MWF","19","11","0","Sara Hughes","THH207"
"MUSC-115gp","Western Music as Sounding History","","4.0 units","Lecture","47208R","001","10:00-11:50am","Tue, Thu","100","39","0","Nathaniel Sloan","BMH100"
"PHIL-255gp","Existentialism in Philosophy, Literature and Film","","4.0 units","Lecture","49686R","001","2:00-3:20pm","Mon, Wed","40","40","0","Edwin McCann","SAL101"
"","","","","Lecture-Discussion","49687D","001","2:00-3:20pm","Mon, Wed","5","0","0","Edwin McCann",""
"","","","","Discussion","49688R","001","8:00-8:50am","Tuesday","25","3","0","","MHP102"
"","","","","Discussion","49689R","001","9:00-9:50am","Tuesday","25","18","0","","MHP102"
"","","","","Discussion","49690R","001","8:00-8:50am","Thursday","25","1","0","","MHP102"
"","","","","Discussion","49691R","001","9:00-9:50am","Thursday","25","9","0","","SOSB47"
"","","","","Discussion","49692R","001","8:00-8:50am","Friday","25","2","0","","MHP102"
"","","","","Discussion","49693R","001","9:00-9:50am","Friday","25","7","0","","MHP102"
"RXRS-201p","The History and Geography of Drugs","","4.0 units","Lecture","49251R","001","2:00-3:20pm","Tue, Thu","75","28","0","<a href="http://http%3A%2F%2Fhttps%253A%252F%252Fpharmacyschool.usc.edu%252Ffaculty%252Fprofile%252F%253Fid%253D797">Terry David Church,</a><a href="https://pharmacyschool.usc.edu/faculty/profile/?id=551">Martine Culty,</a><a href="https://pharmacyschool.usc.edu/faculty/profile/?id=194">Daryl Davies</a>","SOS B46"
"","","","","Lecture","49255R","001","3:30-4:50pm","Mon, Wed","75","11","0","<a href="http://http%3A%2F%2Fhttps%253A%252F%252Fpharmacyschool.usc.edu%252Ffaculty%252Fprofile%252F%253Fid%253D797">Terry David Church,</a><a href="https://pharmacyschool.usc.edu/faculty/profile/?id=551">Martine Culty,</a><a href="https://pharmacyschool.usc.edu/faculty/profile/?id=194">Daryl Davies</a>","SOS B2"
"SLL-330gp","Russian Thought and Civilization","","4.0 units","Discussion","60288R","001","9:00-9:50am","Friday","25","5","0","","WPHB30"
"","","","","Discussion","60298R","001","10:00-10:50am","Friday","25","8","0","",""
"","","","","Lecture","60228R","001","8:30-9:50am","Mon, Wed","49","13","0","Sally Pratt","VKC156"
