b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"GSBA-520x","Business Fundamentals for Non-Business Professionals","M","3.0-4.0 units","Lecture","15650R","033","6:30-9:30pm","Tuesday","15","8","0","Merle Hopkins,<br /><a href="https://www.marshall.usc.edu/personnel/terance-wolfe">Terance Wolfe,</a>Diane Badame,<br />Sriram Dasu","ACC303"
"","","","","Lecture","15652R","033","6:30-9:30pm","Thursday","15","7","0","Merle Hopkins,<br /><a href="https://www.marshall.usc.edu/personnel/terance-wolfe">Terance Wolfe,</a>Diane Badame,<br />Sriram Dasu","ACC303"
"GSBA-523t","Communication for Accounting and Tax Professionals","M","3.0 units","Lecture","15702D","001","9:30-10:50am","Mon, Wed","40","0","0","David Bacci","BRI202"
"GSBA-528","Marketing Management","C","3.0 units","Lecture","15722D","033","6:30-9:30pm","Wednesday","60","4","0","","JFF236"
"GSBA-534","Operations Management","","2.0-3.0 units","Lecture","15752D","372","6:30-9:30pm","Wednesday","40","0","0","Ashok Srinivasan","ONLINE"
"","","","","Lecture","15753D","033","3:30-4:50pm","Tue, Thu","55","0","0","Murat Bayiz","JKP110"
"GSBA-542","Communication for Management","","1.5 units","Lecture","15804D","033","2:00-3:20pm","Monday","50","0","0","Yijia Guo","JKP212"
"","","","","Lecture","15805D","372","5:00-6:20pm","Tuesday","40","0","0","Yijia Guo","ONLINE"
"","","","","Lecture","15808D","033","12:30-1:50pm","Monday","35","0","0","David Bacci","ACC205"
"","","","","Lecture","15809D","033","2:00-3:20pm","Wednesday","35","0","0","David Bacci","JKP212"
"","","","","Lecture","15810D","033","12:30-1:50pm","Wednesday","35","0","0","David Bacci","ACC205"
"GSBA-545","Data Driven Decision Making","","1.5 units","Lecture","15550D","033","5:00-6:20pm","Tuesday","50","3","0","Dawn Porter","JKP210"
"","","","","Lecture","15551D","033","3:30-4:50pm","Tuesday","50","2","0","Dawn Porter","JKP210"
"","","","","Lecture","15552D","001","12:30-1:50pm","Monday","18","0","0","Dawn Porter","JKP210"
"","","","","Lecture","15554D","033","12:30-1:50pm","Monday","55","0","0","","JKP210"
"GSBA-548","Corporate Finance","C","2.0-3.0 units","Lecture","15894R","001","12:30-1:50pm","Tue, Thu","78","10","0","Duke Bristow","JKP210"
"GSBA-595","Internship in Business","MC","0.5-2.0 units, max 9","Lecture","16100D","033","TBA","TBA","20","0","0","","OFFICE"
"","","","","Lecture","16102D","033","TBA","TBA","20","0","0","","OFFICE"
"GSBA-602","Selected Issues in Economic Theory I","","3.0 units","Lecture","16104R","033","12:00-1:20pm","Tue, Thu","18","0","0","Gourab Mukherjee","HOH114"
"GSBA-604","Regression and Generalized Linear Models for Business Applications","","3.0 units","Lecture","16107R","033","12:30-1:50pm","Mon, Wed","15","1","0","Gourab Mukherjee","HOH506"
"GSBA-790","Research","","1.0-12.0 units","Lecture","16125D","033","TBA","TBA","20","0","0","","OFFICE"
"","","","","Lecture","16126D","033","TBA","TBA","20","0","0","","OFFICE"
"GSBA-794a","Doctoral Dissertation","","2.0 units","Lecture","16130R","033","TBA","TBA","20","1","0","","OFFICE"
"GSBA-794b","Doctoral Dissertation","P","2.0 units","Lecture","16131R","033","TBA","TBA","20","0","0","","OFFICE"
"GSBA-794c","Doctoral Dissertation","P","2.0 units","Lecture","16132R","033","TBA","TBA","20","0","0","","OFFICE"
"GSBA-794d","Doctoral Dissertation","P","2.0 units","Lecture","16133R","033","TBA","TBA","20","1","0","","OFFICE"
"GSBA-794z","Doctoral Dissertation","P","0.0 units","Lecture","16134D","033","TBA","TBA","20","0","0","","OFFICE"
'
