b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"HBIO-200Lg","The Human Animal","","4.0 units","Lecture","38511R","001","2:00-3:20pm","Mon, Wed","180","57","0","Craig Stanford","SGM123"
"","","","","Lab","38513R","001","8:00-9:50am","Tuesday","20","2","0","","AHF B10"
"","","","","Lab","38515R","001","10:00-11:50am","Monday","20","5","0","","AHF B10"
"","","","","Lab","38516R","001","10:00-11:50am","Wednesday","20","8","0","","AHF B10"
"","","","","Lab","38517R","001","10:00-11:50am","Tuesday","20","7","0","","AHF B10"
"","","","","Lab","38518R","001","12:00-1:50pm","Monday","20","10","0","","AHF B10"
"","","","","Lab","38522R","001","12:00-1:50pm","Wednesday","20","13","0","","AHF B10"
"","","","","Lab","38528R","001","12:00-1:50pm","Tuesday","20","6","0","","AHF B10"
"","","","","Lab","38537R","001","8:00-9:50am","Thursday","20","1","0","","AHF B10"
"","","","","Lab","38538R","001","12:00-1:50pm","Thursday","20","5","0","","AHF B10"
"HBIO-202g","Nutrition for Life","","4.0 units","Lecture","38400R","001","9:30-10:50am","Tue, Thu","54","54","0","Gioia Polidori","THH116"
"","","","","Lab","38401R","001","4:00-5:50pm","Tuesday","18","18","0","Helaine Lopes","PED B16"
"","","","","Lab","38402R","001","2:00-3:50pm","Tuesday","18","18","0","Helaine Lopes","PED B16"
"","","","","Lab","38403R","001","2:00-3:50pm","Thursday","18","18","0","Helaine Lopes","PED B16"
"HBIO-205Lxg","The Science of Sport","","4.0 units","Lecture","38411R","001","10:00-10:50am","MWF","90","76","0","Bob Girandola","WPHB27"
"","","","","Lecture","38420R","001","9:00-9:50am","MWF","90","53","0","Bob Girandola","WPHB27"
"","","","","Lab","38412R","001","2:00-3:50pm","Monday","18","18","0","Gudrun Floyd","PED B16"
"","","","","Lab","38413R","001","10:00-11:50am","Tuesday","18","18","0","Gudrun Floyd","PED B16"
"","","","","Lab","38414R","001","12:00-1:50pm","Tuesday","18","18","0","Gudrun Floyd","PED B16"
"","","","","Lab","38415R","001","8:00-9:50am","Tuesday","18","11","0","Gudrun Floyd","PED B16"
"","","","","Lab","38416R","001","2:00-3:50pm","Friday","18","6","0","Gudrun Floyd","PED B16"
"","","","","Lab","38422R","001","10:00-11:50am","Thursday","18","14","0","","PED B16"
"","","","","Lab","38423R","001","10:00-11:50am","Friday","18","5","0","Tamara Espinet","PED B16"
"","","","","Lab","38424R","001","12:00-1:50pm","Thursday","18","18","0","","PED B16"
"","","","","Lab","38425R","001","12:00-1:50pm","Friday","18","11","0","Gudrun Floyd","PED B16"
"","","","","Lab","38426R","001","8:00-9:50am","Thursday","18","10","0","","PED B16"
"HBIO-250g","The Pharmacology of Performance Enhancing Drugs","","4.0 units","Lecture-Discussion","38429R","001","11:00-11:50am","MWF","49","42","0","Kurt Kwast","THH212"
"HBIO-300","Evolution, Ecology, and Culture","","4.0 units","Lecture","38529D","001","4:00-6:50pm","Monday","15","8","0","Christopher Boehm","THH106"
"HBIO-301L","Human Anatomy","","4.0 units","Lecture","38434R","001","9:00-9:50am","MWF","96","96","0","Kurt Kwast","THH301"
"","","","","Lab","38435D","001","5:00-7:50pm","Wednesday","17","17","0","Tamara Espinet","PED B7"
"","","","","Lab","38436R","001","5:00-7:50pm","Monday","16","16","0","Tamara Espinet","PED B7"
"","","","","Lab","38437R","001","11:00-1:50pm","Wednesday","16","16","0","","PED B7"
"","","","","Lab","38438R","001","5:00-7:50pm","Thursday","15","15","0","Tamara Espinet","PED B7"
"","","","","Lab","38441R","001","2:00-4:50pm","Monday","16","16","0","Tamara Espinet","PED B7"
"","","","","Lab","38442R","001","2:00-4:50pm","Tuesday","16","16","0","","PED B7"
"HBIO-302L","Nutrition and Metabolism","P","4.0 units","Lecture","38443R","001","9:30-10:50am","Tue, Thu","60","52","0","Lorraine Turcotte","THH208"
"","","","","Lab","38444R","001","8:00-10:50am","Wednesday","15","10","0","Gudrun Floyd","PED B12"
"","","","","Lab","38445R","001","11:00-1:50pm","Thursday","15","15","0","","PED B12"
"","","","","Lab","38446R","001","2:00-4:50pm","Wednesday","14","14","0","","PED B12"
"","","","","Lab","38447R","001","11:00-1:50pm","Wednesday","15","13","0","Gudrun Floyd","PED B12"
"HBIO-306","Primate Social Behavior and Ecology","","4.0 units","Lecture","38531R","001","11:00-12:20pm","Tue, Thu","20","17","0","Caitlin O\'Connell","AHF B10"
"HBIO-308","Origins and Evolution of Human Behavior","","4.0 units","Lecture","38530R","001","2:00-3:20pm","Tue, Thu","45","19","0","","THH116"
"HBIO-360","Nutrition and Disease","P","4.0 units","Lecture-Discussion","38541R","001","10:00-11:50am","Mon, Wed","30","30","0","Gioia Polidori","VKC252"
"HBIO-405","Evolutionary Medicine","P","4.0 units","Lecture","38533R","001","12:30-1:50pm","Tue, Thu","30","27","0","Gioia Polidori","VKC261"
"HBIO-408L","Biomechanics","P","4.0 units","Lecture","38480R","001","2:00-3:20pm","Mon, Wed","75","50","0","Jill L McNitt-Gray","SOSB2"
"","","","","Lab","38481R","001","2:00-4:50pm","Tuesday","15","15","0","","PED B15A"
"","","","","Lab","38482R","001","2:00-4:50pm","Thursday","15","12","0","","PED B15A"
"","","","","Lab","38483R","001","5:00-7:50pm","Tuesday","15","9","0","","PED B15A"
"","","","","Lab","38484R","001","5:00-7:50pm","Thursday","15","14","0","","PED B15A"
"HBIO-420L","Applied Human Physiology","P","4.0 units","Lecture","38488R","001","10:00-10:50am","MWF","75","62","0","Kurt Kwast","SOSB46"
"","","","","Lab","38489R","001","11:00-1:50pm","Tuesday","15","15","0","Tamara Espinet","PED B12"
"","","","","Lab","38490R","001","5:00-7:50pm","Tuesday","15","15","0","Tamara Espinet","PED B12"
"","","","","Lab","38491R","001","2:00-4:50pm","Thursday","15","15","0","","PED B12"
"","","","","Lab","38492R","001","11:00-1:50pm","Monday","15","15","0","Tamara Espinet","PED B12"
"","","","","Lab","38493D","001","5:00-7:50pm","Wednesday","15","2","0","","PED B12"
"HBIO-441L","Prevention of Athletic Injuries","P","4.0 units","Lecture-Lab","38502R","001","12:30-1:50pm","Tue, Thu","40","24","0","Helaine Lopes","JMC103"
"HBIO-491","Laboratory Experience in Kinesiology","P","2.0-4.0 units","Lecture-Lab","38507D","001","TBA","TBA","12","0","0","","OFFICE"
'
