b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AHIS-201g","Digging into the Past","","4.0 units","Lecture","11868R","001","11:00-12:20pm","Tue, Thu","100","20","0","John Pollini","SOSB2"
"","","","","Discussion","11869R","001","12:00-12:50pm","Friday","25","8","0","","WPH206"
"","","","","Discussion","11870R","001","9:00-9:50am","Friday","22","4","0","","VKC207"
"","","","","Discussion","11871R","001","10:00-10:50am","Friday","22","3","0","","WPH103"
"","","","","Discussion","11872R","001","11:00-11:50am","Friday","22","5","0","","WPH103"
"AMST-205g","Introduction to American Popular Culture","","4.0 units","Lecture-Discussion","10360R","001","9:30-10:50am","Tue, Thu","30","30","0","Karen Tongson","THH106"
"AMST-206mg","The Politics and Culture of the 1960s","","4.0 units","Lecture","10361R","001","3:00-3:50pm","MWF","30","12","0","Rick Berg","KAP148"
"AMST-301gp","America, the Frontier, and the New West","","4.0 units","Lecture","10408R","001","2:00-3:20pm","Mon, Wed","20","20","0","Chrisshonna Nieva","THH301"
"","","","","Discussion","10409R","001","9:00-9:50am","Thursday","25","1","0","","WPH206"
"","","","","Discussion","10410D","001","11:00-11:50am","Friday","25","0","0","","THH207"
"","","","","Discussion","10411R","001","12:00-12:50pm","Monday","25","3","0","","SOSB48"
"","","","","Discussion","10412R","001","12:00-12:50pm","Wednesday","25","5","0","","SOSB48"
"","","","","Discussion","10413R","001","1:00-1:50pm","Wednesday","25","7","0","","SOSB48"
"","","","","Discussion","10414R","001","1:00-1:50pm","Monday","25","4","0","","SOSB48"
"CLAS-150g","The Greeks and their Legacies","","4.0 units","Lecture","19820R","001","11:00-12:20pm","Tue, Thu","50","3","0","Christelle Fischer-Bovet","THH101"
"","","","","Discussion","19822R","001","9:00-9:50am","Friday","25","1","0","","THH121"
"","","","","Discussion","19823R","001","10:00-10:50am","Friday","25","2","0","","THH121"
"CLAS-320mgp","Diversity and the Classical Western Tradition","","4.0 units","Lecture","19810R","001","12:30-1:50pm","Tue, Thu","150","20","0","Daniel Richter","THH101"
"","","","","Discussion","19811R","001","8:00-8:50am","Friday","25","0","0","","VKC155"
"","","","","Discussion","19812R","001","9:00-9:50am","Friday","25","6","0","","VKC155"
"","","","","Discussion","19814R","001","10:00-10:50am","Friday","25","3","0","","VKC155"
"","","","","Discussion","19816R","001","11:00-11:50am","Friday","25","4","0","","VKC155"
"","","","","Discussion","19817R","001","12:00-12:50pm","Friday","25","4","0","","VKC155"
"","","","","Discussion","19818R","001","1:00-1:50pm","Friday","25","3","0","","VKC155"
"COLT-101gp","Masterpieces and Masterminds: Literature and Thought","","4.0 units","Lecture","22000R","001","11:00-12:20pm","Tue, Thu","45","6","0","Vincent Farenga","THH202"
"","","","","Discussion","22001R","001","9:00-9:50am","Friday","10","0","0","","VKC108"
"","","","","Discussion","22002R","001","10:00-10:50am","Friday","10","2","0","","THH213"
"","","","","Discussion","22003R","001","11:00-11:50am","Friday","10","1","0","","VKC108"
"","","","","Discussion","22004R","001","12:00-12:50pm","Friday","10","3","0","","VKC107"
"COLT-250g","Cultures of Latin America","","4.0 units","Lecture","22012R","001","12:00-1:20pm","Mon, Wed","98","19","0","Roberto Diaz","WPHB27"
"","","","","Discussion","22013R","001","9:00-9:50am","Friday","12","4","0","","VKC256"
"","","","","Discussion","22014R","001","10:00-10:50am","Friday","12","6","0","","VKC256"
"","","","","Discussion","22015R","001","11:00-11:50am","Friday","12","5","0","","VKC256"
"","","","","Discussion","22016R","001","12:00-12:50pm","Friday","12","4","0","","VKC256"
"CORE-101g","Symbols and Conceptual Systems: Thematic Option Honors Progr","","4.0 units","Lecture-Discussion","63500D","001","3:30-4:50pm","Mon, Wed","19","8","0","Roberto Diaz","VKC252"
"","","","","Lecture-Discussion","63503D","001","12:00-1:50pm","Mon, Wed","19","13","0","Hector Reyes","VKC252"
"","","","","Lab","63507R","001","5:00-8:00pm","Tuesday","200","17","0","","VKC156"
"","","","","Lab","63508D","001","TBA","TBA","60","4","0","","OFFICE"
"CORE-102gp","Culture and Values: Thematic Option Honors Program","","4.0 units","Lecture-Discussion","63509D","001","12:00-1:50pm","Mon, Wed","28","0","0","Veli N Yashin","VKC211"
"","","","","Lecture-Discussion","63510D","001","2:00-3:50pm","Tue, Thu","28","0","0","Daniel Richter","VKC157"
"","","","","Lecture-Discussion","63511D","001","10:00-11:50am","Mon, Wed","28","0","0","David Albertson","WPH103"
"","","","","Lecture-Discussion","63512D","001","2:00-3:50pm","Mon, Wed","28","0","0","Emily Anderson","WPH101"
"","","","","Lecture-Discussion","63513D","001","10:00-11:50am","Tue, Thu","28","0","0","Margaret Russett","ZHS360"
"","","","","Lecture-Discussion","63514D","001","10:00-11:50am","Mon, Wed","28","0","0","Anthony Kemp","VKC257"
"","","","","Lecture-Discussion","63515D","001","12:00-1:50pm","Tue, Thu","28","0","0","William Handley","LVL13"
"","","","","Lab","63516D","001","5:00-8:00pm","Monday","200","0","0","","THH208"
"","","","","Lab","63517D","001","5:00-8:00pm","Tuesday","120","0","0","","THH208"
"","","","","Lab","63518D","001","TBA","TBA","5","0","0","","OFFICE"
"CRIT-160g","Critical Theory in Art, Design and Visual Culture","M","4.0 units","Lecture-Discussion","33823D","001","10:00-11:50am","Mon, Wed","80","18","0","","HAR101"
"CRIT-350gw","Global Art, Design and Visual Culture since 1960","M","4.0 units","Lecture-Discussion","33824D","001","12:00-1:50pm","Mon, Wed","80","15","0","","HAR101"
"CTWR-100g","Story: Character, Conflict, and Catharsis","M","4.0 units","Lecture","19182D","001","10:00-11:20am","Thursday","30","0","0","Paul Foley","SCB104"
"","","","","Discussion","19383D","001","1:00-3:50pm","Monday","10","0","0","Maureen Yeager","SCA342"
"","","","","Discussion","19384D","001","10:00-12:50pm","Monday","10","0","0","Mark Shepherd","SCA362"
"","","","","Discussion","19385D","001","10:00-12:50pm","Tuesday","10","0","0","","SCI209"
