b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"HIST-100mg","The American Experience","","4.0 units","Lecture","36980R","001","9:30-10:50am","Tue, Thu","20","12","0","Lon Kurashige","THH202"
"","","","","Discussion","36982R","001","9:00-9:50am","Friday","25","2","0","","VKC206"
"","","","","Discussion","36983R","001","10:00-10:50am","Friday","25","6","0","","VKC206"
"","","","","Discussion","36984R","001","11:00-11:50am","Friday","25","2","0","","VKC206"
"","","","","Discussion","36981R","001","8:00-8:50am","Friday","25","2","0","","VKC206"
"HIST-101gp","State and Society in the Ancient World","","4.0 units","Lecture","37008R","001","8:30-9:50am","Mon, Wed","20","20","0","Maya Maskarinec","THH102"
"","","","","Discussion","37009R","001","10:00-10:50am","Wednesday","25","10","0","","THH B10"
"","","","","Discussion","37010R","001","11:00-11:50am","Wednesday","25","2","0","","THH B10"
"","","","","Discussion","37011R","001","12:00-12:50pm","Wednesday","25","6","0","","THH B10"
"","","","","Discussion","37012R","001","1:00-1:50pm","Wednesday","25","2","0","","THH B10"
"HIST-102mg","The Worlds of Medieval Europe","","4.0 units","Lecture","36909R","001","8:00-9:20am","Tue, Thu","49","8","0","Jason Glenn","THH116"
"","","","","Discussion","36910R","001","10:00-10:50am","Friday","24","3","0","","VKC258"
"","","","","Discussion","36911R","001","9:00-9:50am","Friday","25","5","0","","VKC258"
"HIST-104gp","Modern Europe","","4.0 units","Lecture","36930R","001","9:30-10:50am","Tue, Thu","100","35","0","Aro Velmet","THH301"
"","","","","Discussion","36931R","001","8:00-8:50am","Friday","25","3","0","","VKC151"
"","","","","Discussion","36932R","001","9:00-9:50am","Friday","25","12","0","","VKC151"
"","","","","Discussion","36933R","001","10:00-10:50am","Friday","25","11","0","","VKC151"
"","","","","Discussion","36934R","001","11:00-11:50am","Friday","25","9","0","","VKC151"
"HIST-105g","The Korean Past","","4.0 units","Lecture","36940R","001","12:00-12:50pm","MWF","49","2","0","Kyung Moon Hwang","THH208"
"","","","","Discussion","36941R","001","11:00-11:50am","Friday","25","1","0","","VKC111"
"","","","","Discussion","36942R","001","10:00-10:50am","Friday","24","1","0","","VKC111"
"HIST-107gp","Introduction to the History of Japan","","4.0 units","Lecture","36921R","001","12:30-1:50pm","Tue, Thu","100","17","0","Joan Piggott","SOS B2"
"","","","","Discussion","36922R","001","9:00-9:50am","Friday","25","7","0","","VKC252"
