b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"HMGT-512","Information Technology and Patient Engagement","M","2.0 units","Lecture","51716D","820","TBA","TBA","30","0","0","","ONLINE"
"","","","","Lecture","51718D","820","TBA","TBA","22","0","0","","ONLINE"
"HMGT-520","Leading People and Health Care Organizations","","4.0 units","Lecture","51710D","820","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lecture","51717D","820","TBA","TBA","15","0","0","","ONLINE"
"HMGT-540","Health Economics, Financing and Reimbursement","M","2.0 units","Lecture","51711D","820","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lecture","51719D","820","TBA","TBA","15","0","0","","ONLINE"
"HMGT-565","Managing the Organization\'s Financial Health","","4.0 units","Lecture","51720D","820","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lecture","51722D","820","TBA","TBA","15","0","0","","TBA"
"HMGT-570","Strategic Management","","4.0 units","Lecture","51712D","820","TBA","TBA","27","0","0","","ONLINE"
"","","","","Lecture","51714D","820","TBA","TBA","30","0","0","","ONLINE"
"HMGT-575","Managing and Improving Health","","4.0 units","Lecture","51723D","820","TBA","TBA","20","0","0","","ONLINE"
"","","","","Lecture","51724D","820","TBA","TBA","30","0","0","","ONLINE"
"","","","","Lecture","51725D","820","TBA","TBA","30","0","0","","ONLINE"
"HMGT-601","Operations Management for Accountability","MC","4.0 units","Lecture","51713D","820","TBA","TBA","30","0","0","","ONLINE"
"","","","","Lecture","51721D","820","TBA","TBA","22","0","0","","ONLINE"
'
