b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"HP-200","Introduction to Health Promotion and Disease Prevention","","4.0 units","Lecture","40551R","001","9:30-10:50am","Tue, Thu","110","15","0","Ricky Bluthenthal","THH102"
"HP-230","Nutrition and Health","","4.0 units","Lecture","40552D","001","12:00-1:50pm","Mon, Wed","40","1","0","","VKC152"
"HP-270","Introduction to Global Health","","4.0 units","Lecture","40572R","001","2:00-3:20pm","Mon, Wed","40","5","0","Laura Ferguson","THH210"
"","","","","Lecture","40575D","001","2:00-3:20pm","Mon, Wed","40","0","0","Heather Wipfli","VKC101"
"HP-290","Introduction to Research Apprenticeship","","2.0 units, max 8","Lecture","40557D","001","1:00-2:50pm","Friday","25","0","0","David Glasgow,<br />Elahe Nezami",""
"","","","","Lecture","40559D","001","1:00-2:50pm","Friday","30","0","0","Elahe Nezami",""
"HP-300","Theoretical Principles of Health Behavior","P","4.0 units","Lecture","40558R","001","11:00-12:20pm","Tue, Thu","56","24","0","David Black","THH210"
"HP-320","Biological and Behavioral Basis of Disease","P","4.0 units","Lecture","40564R","001","3:30-6:20pm","Thursday","85","47","0","",""
"HP-340Lg","Health Behavior Statistical Methods","","4.0 units","Lecture-Lab","40567R","001","3:30-4:50pm","Mon, Wed","80","23","0","Trevor Pickering","MRF340"
"","","","","Lecture-Lab","40574R","001","2:00-3:20pm","Tue, Thu","85","9","0","Jimi Huh","ZHS159"
"HP-350L","Health Behavior Research Methods","","4.0 units","Lecture-Lab","40569R","001","10:00-11:50am","Mon, Wed","76","42","0","Roksana Karim","SOSB2"
"HP-365mgw","Culture, Lifestyle, and Health","","4.0 units","Lecture","40594D","001","11:00-12:20pm","Tue, Thu","75","17","0","Sabrina Smiley,<br />Claradina Soto","LVL17"
"HP-370g","Introduction to Epidemiology: Methods and Applications","","4.0 units","Lecture","40566R","001","3:30-4:50pm","Tue, Thu","60","7","0","Mariana Stern","LVL17"
"HP-408","Environmental Health in the Community","","4.0 units","Lecture","40570R","001","12:30-1:50pm","Tue, Thu","47","16","0","Edward Avol","THH116"
"HP-420m","Gender and Minority Health Issues","","4.0 units","Lecture","40571R","001","12:00-1:50pm","Mon, Wed","40","12","0","Nancy Boley Cruz","VKC101"
"HP-421","Violence as a Public Health Issue","","4.0 units","Lecture","40573R","001","2:00-3:20pm","Tue, Thu","46","19","0","Joel Milam","THH114"
"HP-422","AIDS in Society","","4.0 units","Lecture","40561D","001","5:00-8:20pm","Tuesday","37","0","0","",""
"HP-430","Obesity and Health","","4.0 units","Lecture","40576R","001","9:30-10:50am","Tue, Thu","24","18","0","Paige Berger",""
"HP-432","Clinical Nutrition","P","4.0 units","Lecture","40581D","001","2:00-3:20pm","Mon, Wed","25","0","0","",""
"HP-441","Health Promotion in the Work Place","","4.0 units","Lecture","40590R","001","2:00-3:20pm","Tue, Thu","20","0","0","",""
"HP-442","Chronic Disease Epidemiology","","4.0 units","Lecture","40578D","001","5:00-8:20pm","Monday","35","0","0","",""
"HP-450","Traditional Eastern Medicine and Modern Health","","4.0 units","Lecture","40584R","001","10:00-11:50am","Mon, Wed","35","4","0","","VKC210"
"HP-460","Adolescent Health","","4.0 units","Lecture","40586R","001","6:00-8:50pm","Thursday","55","19","0","Panayiota Courelli","VKC150"
"HP-483","Global Health and Aging","","4.0 units","Lecture","36257R","001","10:00-11:50am","Tue, Thu","30","3","0","Jessica Ho","GER230"
"HP-490x","Directed Research","M","1.0-8.0 units, max 12","Lecture","40585D","001","1:00-2:50pm","Friday","85","0","0","David Glasgow,<br />Elahe Nezami",""
'
